               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13075,             0.12858,            0.049953,             0.25817,             0.13689,            0.066335,            0.023911,             0.11244,             0.23287,            0.041794,            0.070148,           0.0033169,           0.0033169
                   1,             0.11181,             0.16675,            0.037973,             0.19111,             0.18319,             0.10186,            0.041043,             0.10717,             0.23219,            0.038914,            0.040126,           0.0066283,           0.0066283
                   2,             0.10935,             0.16937,            0.035718,             0.25913,             0.18803,             0.13568,             0.05962,              0.1037,              0.2326,            0.037101,            0.010082,           0.0099177,           0.0099177
                   3,             0.10699,              0.1693,             0.03365,             0.38034,             0.19438,             0.15291,            0.067557,             0.10282,             0.23864,            0.036321,            0.009901,            0.009901,            0.009901
                   4,             0.10493,             0.17111,            0.032442,             0.45849,             0.21077,             0.17719,            0.083232,              0.1009,             0.23532,            0.035313,            0.009901,            0.009901,            0.009901
                   5,             0.10391,             0.16904,            0.031421,             0.44451,             0.22096,             0.19178,            0.091863,            0.099792,             0.23506,            0.034388,            0.009868,            0.009868,            0.009868
                   6,             0.10249,             0.16956,            0.030605,             0.39563,             0.23165,             0.20381,            0.098105,            0.099484,             0.23559,            0.034179,            0.009835,            0.009835,            0.009835
                   7,             0.10241,             0.16816,            0.030107,             0.38361,             0.23871,             0.21562,             0.10438,            0.099134,              0.2342,            0.033934,            0.009802,            0.009802,            0.009802
                   8,             0.10135,             0.16681,            0.029431,             0.35135,             0.24688,             0.21953,              0.1077,             0.09848,             0.23449,             0.03366,            0.009769,            0.009769,            0.009769
                   9,             0.10114,             0.16742,            0.029333,             0.33117,             0.26809,             0.23508,             0.11631,            0.097897,             0.23101,            0.032897,            0.009736,            0.009736,            0.009736
                  10,              0.1007,             0.16616,            0.028708,             0.34976,              0.2516,             0.22835,             0.11411,            0.097854,              0.2315,            0.033042,            0.009703,            0.009703,            0.009703
                  11,             0.10051,             0.16772,            0.028567,             0.36357,             0.27925,             0.24675,             0.12342,            0.097482,             0.23044,            0.032461,             0.00967,             0.00967,             0.00967
                  12,              0.1003,             0.16673,            0.028124,             0.35181,             0.27643,             0.24498,             0.12228,            0.097358,             0.23122,            0.032591,            0.009637,            0.009637,            0.009637
                  13,             0.10005,              0.1669,            0.027927,             0.34889,             0.28505,             0.24924,             0.12522,            0.097197,             0.23077,            0.032299,            0.009604,            0.009604,            0.009604
                  14,            0.099966,             0.16621,            0.027587,             0.37401,             0.27166,             0.25511,             0.12931,            0.096955,             0.22967,            0.032392,            0.009571,            0.009571,            0.009571
                  15,             0.09935,             0.16499,            0.027413,             0.36602,             0.28506,             0.25931,             0.13241,            0.096889,             0.23034,            0.032105,            0.009538,            0.009538,            0.009538
                  16,            0.098985,             0.16389,            0.027218,             0.34772,             0.28474,             0.25529,             0.13017,            0.096919,              0.2314,            0.032805,            0.009505,            0.009505,            0.009505
                  17,            0.098977,             0.16325,            0.027048,             0.37397,              0.2889,             0.26797,             0.13748,            0.096527,             0.22941,            0.031936,            0.009472,            0.009472,            0.009472
                  18,            0.098786,             0.16258,            0.026999,             0.39358,             0.28318,             0.26845,             0.13634,            0.096442,             0.22977,            0.031659,            0.009439,            0.009439,            0.009439
                  19,            0.098988,             0.16397,            0.026686,             0.36822,             0.29725,             0.26825,             0.13732,            0.096481,              0.2304,            0.031961,            0.009406,            0.009406,            0.009406
                  20,            0.098428,             0.16188,            0.026484,             0.38361,               0.291,              0.2737,                0.14,            0.096443,             0.22945,            0.032016,            0.009373,            0.009373,            0.009373
                  21,            0.098464,             0.16119,             0.02639,             0.37757,             0.29458,              0.2797,             0.14527,            0.096288,             0.22847,            0.031553,             0.00934,             0.00934,             0.00934
                  22,            0.098739,              0.1632,            0.026495,              0.3847,             0.30299,              0.2825,             0.14723,            0.096062,             0.22971,            0.031343,            0.009307,            0.009307,            0.009307
                  23,            0.098493,             0.16382,            0.026268,              0.3803,             0.29877,             0.28119,             0.14573,            0.095921,             0.22759,             0.03166,            0.009274,            0.009274,            0.009274
                  24,            0.098366,             0.16374,            0.026313,             0.38834,              0.3116,             0.28835,             0.14997,            0.095743,             0.22803,            0.031113,            0.009241,            0.009241,            0.009241
                  25,            0.098019,             0.16221,            0.026031,              0.3937,             0.30124,             0.28732,             0.14872,            0.095821,             0.22817,            0.031153,            0.009208,            0.009208,            0.009208
                  26,            0.097918,             0.16201,            0.025988,             0.40143,             0.30282,             0.28738,             0.14936,            0.095656,             0.22783,            0.031204,            0.009175,            0.009175,            0.009175
                  27,            0.097763,             0.16083,            0.025753,              0.3883,             0.30919,             0.28922,             0.15021,              0.0957,             0.22771,             0.03111,            0.009142,            0.009142,            0.009142
                  28,            0.097841,             0.16162,            0.025649,             0.39816,             0.30386,             0.28735,             0.14989,             0.09571,             0.22989,            0.031546,            0.009109,            0.009109,            0.009109
                  29,            0.097526,              0.1606,            0.025648,             0.42141,             0.30672,             0.29789,             0.15468,            0.095599,             0.22806,            0.030912,            0.009076,            0.009076,            0.009076
                  30,            0.097737,             0.16245,             0.02563,             0.39924,             0.30904,             0.29345,             0.15441,            0.095441,             0.22738,            0.031173,            0.009043,            0.009043,            0.009043
                  31,            0.097782,             0.16288,            0.025648,             0.40085,             0.30653,             0.29485,             0.15418,             0.09527,             0.22718,            0.030896,             0.00901,             0.00901,             0.00901
                  32,            0.097476,              0.1614,            0.025382,             0.41271,             0.30946,             0.30087,              0.1567,            0.095286,             0.22763,            0.031069,            0.008977,            0.008977,            0.008977
                  33,            0.097413,             0.15976,            0.025219,             0.40752,             0.31073,             0.29953,             0.15728,            0.095208,             0.22754,            0.030902,            0.008944,            0.008944,            0.008944
                  34,            0.097043,             0.16089,            0.025196,             0.41033,             0.30869,             0.29622,             0.15663,            0.095373,             0.22835,            0.031135,            0.008911,            0.008911,            0.008911
                  35,            0.097503,             0.16214,            0.025174,             0.39785,             0.31648,             0.30054,             0.15833,            0.095282,             0.22832,            0.030925,            0.008878,            0.008878,            0.008878
                  36,            0.097107,             0.15986,            0.025326,             0.41259,             0.31806,             0.30668,             0.16062,            0.095131,             0.22739,            0.030686,            0.008845,            0.008845,            0.008845
                  37,            0.097302,             0.16065,            0.024942,             0.41824,              0.3153,             0.30301,             0.16004,            0.095207,             0.22756,            0.030577,            0.008812,            0.008812,            0.008812
                  38,            0.096833,             0.15918,            0.024996,             0.40018,             0.32212,             0.30286,             0.16136,            0.095089,             0.22773,             0.03079,            0.008779,            0.008779,            0.008779
                  39,            0.097314,             0.15989,            0.025056,             0.40781,             0.30982,             0.29921,             0.15707,            0.095105,             0.22758,            0.030974,            0.008746,            0.008746,            0.008746
                  40,            0.097234,             0.16141,            0.024968,             0.41549,             0.31476,             0.30015,             0.15767,            0.095109,             0.22695,            0.030731,            0.008713,            0.008713,            0.008713
