               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13881,             0.12259,            0.052633,             0.76467,            0.043976,            0.026573,           0.0071683,             0.12552,             0.22409,            0.047584,            0.070148,           0.0033169,           0.0033169
                   1,             0.12122,             0.15077,            0.041001,             0.46611,             0.13459,            0.067055,            0.023114,             0.11333,             0.22407,            0.041099,            0.040126,           0.0066283,           0.0066283
                   2,             0.11476,             0.16184,            0.037813,             0.48527,             0.17551,            0.096602,            0.037694,             0.10853,             0.22617,            0.039466,            0.010082,           0.0099177,           0.0099177
                   3,              0.1114,             0.16463,            0.035866,             0.43656,             0.18866,             0.12173,            0.048853,             0.10639,             0.22951,             0.03827,            0.009901,            0.009901,            0.009901
                   4,             0.10914,              0.1651,            0.034346,             0.47775,             0.18459,             0.13798,             0.05777,             0.10444,             0.23006,            0.036838,            0.009901,            0.009901,            0.009901
                   5,             0.10762,             0.16618,            0.033412,             0.49017,             0.19329,             0.14823,             0.06284,             0.10358,             0.23364,            0.036264,            0.009868,            0.009868,            0.009868
                   6,             0.10667,             0.16481,            0.032484,             0.50726,             0.20046,             0.16671,            0.073196,             0.10256,             0.22973,            0.035508,            0.009835,            0.009835,            0.009835
                   7,             0.10582,             0.16421,            0.031837,             0.43189,              0.1935,             0.16493,             0.07133,             0.10266,             0.22748,            0.035435,            0.009802,            0.009802,            0.009802
                   8,             0.10542,             0.16523,            0.031439,             0.43522,             0.21481,             0.18542,            0.083298,              0.1016,              0.2285,            0.034558,            0.009769,            0.009769,            0.009769
                   9,             0.10477,             0.16462,            0.031269,             0.53163,             0.21462,             0.18959,            0.088527,             0.10106,             0.22828,            0.034488,            0.009736,            0.009736,            0.009736
                  10,             0.10427,             0.16469,            0.030636,             0.54331,             0.22075,             0.19612,            0.089335,             0.10081,             0.22979,            0.034043,            0.009703,            0.009703,            0.009703
