               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14181,             0.13413,            0.055129,           0.0003309,            0.003868,          0.00017993,          4.5542e-05,              0.1355,             0.22313,            0.052021,            0.070294,           0.0033007,           0.0033007
                   1,             0.13364,             0.14333,             0.04816,           0.0080876,            0.036723,           0.0060816,           0.0015318,             0.13049,             0.24737,            0.051306,            0.040272,           0.0066121,           0.0066121
                   2,             0.12643,              0.1592,            0.046453,             0.42412,            0.066765,            0.021806,           0.0065263,             0.12321,             0.33938,            0.050949,            0.010228,           0.0099015,           0.0099015
                   3,             0.12188,             0.16714,            0.043253,             0.54264,             0.10261,            0.042974,            0.013698,               0.118,             0.28494,            0.044171,            0.009901,            0.009901,            0.009901
                   4,             0.11891,             0.17082,            0.040747,             0.46562,             0.11752,            0.061523,            0.022034,             0.11508,             0.24318,            0.042328,            0.009901,            0.009901,            0.009901
                   5,             0.11685,             0.17151,            0.039729,             0.47657,             0.12859,            0.071533,            0.027026,             0.11289,              0.2477,            0.041814,            0.009868,            0.009868,            0.009868
                   6,             0.11539,             0.16959,            0.039163,             0.47563,              0.1232,            0.070421,            0.026257,             0.11281,             0.25557,            0.041126,            0.009835,            0.009835,            0.009835
                   7,              0.1146,             0.17194,            0.038424,             0.29191,             0.12923,            0.079532,            0.031267,             0.11165,             0.24481,            0.040965,            0.009802,            0.009802,            0.009802
                   8,             0.11387,             0.17153,            0.037723,             0.38585,             0.15715,            0.087438,            0.033948,             0.11064,             0.24114,            0.040111,            0.009769,            0.009769,            0.009769
                   9,             0.11316,             0.17162,             0.03731,             0.41268,              0.1508,            0.096726,            0.038538,              0.1097,             0.23469,            0.040832,            0.009736,            0.009736,            0.009736
                  10,             0.11226,             0.17163,            0.037046,             0.41412,             0.15678,             0.10035,            0.039305,             0.10954,             0.24082,             0.03916,            0.009703,            0.009703,            0.009703
                  11,             0.11171,             0.17073,             0.03661,             0.43418,             0.15595,             0.10453,            0.043655,             0.10869,             0.24373,            0.039435,             0.00967,             0.00967,             0.00967
                  12,             0.11141,             0.17042,            0.036117,             0.42683,             0.15109,             0.10496,             0.04195,              0.1087,             0.23787,            0.040011,            0.009637,            0.009637,            0.009637
                  13,             0.11099,             0.17048,            0.035853,             0.43642,             0.15019,              0.1109,            0.044212,             0.10855,             0.23745,             0.03887,            0.009604,            0.009604,            0.009604
                  14,             0.11075,             0.17015,            0.035613,              0.4604,             0.15555,             0.11974,            0.050055,             0.10736,             0.23586,            0.038498,            0.009571,            0.009571,            0.009571
                  15,             0.11053,             0.17063,            0.035561,             0.44762,             0.15577,             0.11207,            0.048354,             0.10738,             0.23952,            0.038916,            0.009538,            0.009538,            0.009538
                  16,             0.11029,             0.17165,              0.0351,             0.46324,             0.16555,             0.12734,            0.052923,              0.1072,             0.23465,            0.038305,            0.009505,            0.009505,            0.009505
                  17,              0.1101,              0.1715,            0.034858,              0.4763,             0.16351,             0.12923,            0.056039,             0.10685,             0.23641,            0.038535,            0.009472,            0.009472,            0.009472
                  18,             0.10971,              0.1721,            0.034874,             0.46915,             0.17696,             0.13405,             0.05794,             0.10626,             0.23519,             0.03773,            0.009439,            0.009439,            0.009439
                  19,             0.10927,             0.17023,            0.034429,             0.49171,             0.17946,             0.13973,            0.060548,             0.10587,             0.23296,            0.037467,            0.009406,            0.009406,            0.009406
                  20,              0.1087,             0.17051,            0.034068,             0.50325,             0.17482,             0.14298,            0.062712,             0.10565,             0.23318,            0.037279,            0.009373,            0.009373,            0.009373
                  21,             0.10867,             0.16881,             0.03387,             0.49717,             0.17578,             0.14399,            0.062888,             0.10547,             0.23264,            0.037026,             0.00934,             0.00934,             0.00934
                  22,              0.1086,             0.16971,            0.033812,               0.491,             0.18182,             0.14373,            0.063271,              0.1055,             0.23269,            0.037264,            0.009307,            0.009307,            0.009307
                  23,             0.10857,             0.17031,            0.033745,             0.39788,             0.18252,              0.1495,            0.066041,             0.10522,             0.23306,            0.037139,            0.009274,            0.009274,            0.009274
                  24,             0.10855,             0.16968,            0.033468,             0.48578,             0.17854,             0.14703,            0.066096,             0.10523,             0.23613,            0.036848,            0.009241,            0.009241,            0.009241
                  25,             0.10837,             0.17032,            0.033428,             0.40096,              0.1783,             0.14784,             0.06603,             0.10504,             0.23171,            0.036586,            0.009208,            0.009208,            0.009208
                  26,             0.10778,               0.169,             0.03325,             0.40592,             0.18994,             0.15537,            0.068266,             0.10482,             0.23127,            0.036732,            0.009175,            0.009175,            0.009175
                  27,             0.10817,             0.16986,            0.033245,             0.39999,             0.18834,             0.15591,             0.06978,             0.10453,             0.23192,            0.036299,            0.009142,            0.009142,            0.009142
                  28,             0.10769,             0.16831,            0.032863,             0.41392,             0.18742,             0.15953,            0.070594,             0.10468,             0.23007,             0.03625,            0.009109,            0.009109,            0.009109
                  29,             0.10753,             0.16953,            0.032729,             0.40167,             0.18938,             0.15834,            0.070272,             0.10468,             0.23132,            0.036573,            0.009076,            0.009076,            0.009076
                  30,             0.10747,             0.16691,             0.03311,             0.36594,             0.19709,             0.15714,            0.071009,             0.10439,             0.23357,            0.036403,            0.009043,            0.009043,            0.009043
