               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14038,             0.14094,             0.05516,          0.00038321,           0.0044795,          0.00020764,          5.2325e-05,             0.13451,             0.23517,            0.052131,            0.070294,           0.0033007,           0.0033007
                   1,             0.13249,             0.15077,            0.048228,            0.015308,            0.038057,           0.0097549,           0.0030758,             0.12862,             0.28999,            0.051445,            0.040272,           0.0066121,           0.0066121
                   2,             0.12512,             0.16501,            0.046989,             0.21922,            0.064097,            0.020374,           0.0059425,               0.121,             0.31747,            0.052251,            0.010228,           0.0099015,           0.0099015
                   3,             0.12008,             0.17115,             0.04453,             0.42752,            0.088942,            0.031751,            0.010274,              0.1189,              0.4019,            0.047656,            0.009901,            0.009901,            0.009901
                   4,             0.11725,             0.17438,            0.041454,             0.35863,             0.11325,             0.05544,            0.018652,             0.11481,             0.26473,            0.044263,            0.009901,            0.009901,            0.009901
                   5,             0.11545,             0.17398,            0.040053,             0.46473,             0.11569,            0.058747,            0.020515,             0.11395,             0.26153,             0.04166,            0.009868,            0.009868,            0.009868
                   6,             0.11344,             0.17558,            0.039245,             0.27675,             0.12904,            0.070541,             0.02588,             0.11184,             0.24987,            0.041643,            0.009835,            0.009835,            0.009835
                   7,             0.11277,             0.17614,            0.038446,             0.28871,             0.13955,            0.083667,            0.030713,             0.11048,             0.24847,            0.040854,            0.009802,            0.009802,            0.009802
                   8,              0.1117,             0.17394,            0.037784,              0.2987,             0.15432,            0.089201,            0.032904,             0.10906,             0.24398,            0.039908,            0.009769,            0.009769,            0.009769
                   9,             0.11098,             0.17491,            0.037635,             0.31712,             0.14708,            0.093318,            0.038525,             0.10762,             0.24298,            0.039898,            0.009736,            0.009736,            0.009736
                  10,             0.11045,             0.17614,            0.036929,             0.45794,             0.14823,             0.10298,            0.042633,             0.10759,             0.24245,            0.038932,            0.009703,            0.009703,            0.009703
                  11,             0.11004,             0.17604,            0.036515,             0.42886,             0.14891,            0.097749,             0.03757,             0.10863,             0.24371,            0.039133,             0.00967,             0.00967,             0.00967
                  12,             0.10934,             0.17531,            0.036313,             0.41382,             0.15453,            0.092582,            0.040286,             0.10775,             0.24735,            0.041125,            0.009637,            0.009637,            0.009637
                  13,             0.10952,             0.17575,            0.035872,             0.44531,             0.15456,             0.10976,            0.045673,             0.10745,             0.24421,            0.040093,            0.009604,            0.009604,            0.009604
                  14,             0.10899,             0.17621,            0.035494,             0.43869,             0.15725,             0.11706,            0.048608,              0.1066,             0.24521,            0.039815,            0.009571,            0.009571,            0.009571
                  15,             0.10829,             0.17318,            0.035127,             0.46339,             0.16146,             0.11901,            0.049585,             0.10579,              0.2433,            0.037858,            0.009538,            0.009538,            0.009538
                  16,             0.10808,             0.17386,             0.03501,             0.47021,             0.16956,             0.12515,            0.052868,             0.10542,             0.24136,            0.037874,            0.009505,            0.009505,            0.009505
                  17,             0.10739,             0.17427,             0.03481,             0.46426,             0.16582,             0.12352,            0.052604,             0.10531,             0.24289,            0.038568,            0.009472,            0.009472,            0.009472
                  18,             0.10739,             0.17245,            0.034562,             0.47631,             0.17885,              0.1379,            0.058433,             0.10446,             0.24529,            0.038215,            0.009439,            0.009439,            0.009439
                  19,             0.10741,             0.17339,            0.034275,             0.49792,              0.1783,             0.14054,            0.060748,              0.1039,             0.23853,            0.037137,            0.009406,            0.009406,            0.009406
                  20,             0.10688,             0.17199,            0.034161,             0.49247,             0.17463,             0.13705,             0.06072,             0.10393,             0.24147,            0.037615,            0.009373,            0.009373,            0.009373
                  21,             0.10694,             0.17331,            0.034077,             0.48148,              0.1789,             0.14594,            0.063516,             0.10405,             0.23756,            0.037208,             0.00934,             0.00934,             0.00934
                  22,             0.10688,              0.1736,            0.033827,             0.38663,             0.18085,             0.14173,            0.063307,             0.10387,             0.24006,            0.037365,            0.009307,            0.009307,            0.009307
                  23,             0.10665,             0.17398,            0.033746,             0.38714,              0.1934,             0.14592,            0.064538,              0.1034,             0.24029,            0.037143,            0.009274,            0.009274,            0.009274
                  24,              0.1065,             0.17466,            0.033413,             0.38342,             0.19169,             0.14755,            0.066758,             0.10307,             0.23908,            0.036797,            0.009241,            0.009241,            0.009241
                  25,             0.10614,             0.17235,            0.033302,             0.40323,             0.18842,             0.15456,             0.06926,             0.10284,             0.23761,            0.036354,            0.009208,            0.009208,            0.009208
                  26,             0.10605,             0.17202,            0.033286,             0.31302,             0.19551,             0.15423,            0.070219,             0.10262,             0.23809,            0.036308,            0.009175,            0.009175,            0.009175
                  27,              0.1058,             0.17272,               0.033,             0.49721,             0.18927,             0.15997,            0.071426,             0.10297,             0.23754,            0.037074,            0.009142,            0.009142,            0.009142
                  28,             0.10553,             0.17142,            0.032914,              0.4085,             0.18857,             0.15636,            0.071009,             0.10242,             0.23619,            0.036161,            0.009109,            0.009109,            0.009109
                  29,             0.10569,             0.17304,            0.032617,              0.3458,              0.2044,             0.16027,            0.070937,             0.10254,             0.23825,            0.036826,            0.009076,            0.009076,            0.009076
                  30,             0.10538,             0.17275,            0.032644,             0.41874,             0.19369,             0.16302,            0.073219,             0.10207,             0.23726,            0.036254,            0.009043,            0.009043,            0.009043
                  31,             0.10565,             0.17381,            0.032783,             0.31084,             0.19229,             0.16166,            0.073419,             0.10211,             0.23695,            0.035917,             0.00901,             0.00901,             0.00901
                  32,             0.10517,             0.17264,            0.032287,             0.30469,             0.19958,             0.16527,             0.07615,             0.10214,             0.23595,            0.036237,            0.008977,            0.008977,            0.008977
                  33,             0.10522,             0.17078,            0.032273,             0.31948,             0.19944,             0.16724,            0.075877,             0.10191,             0.23672,            0.036017,            0.008944,            0.008944,            0.008944
                  34,             0.10488,             0.17188,            0.032257,             0.52236,             0.18964,              0.1701,            0.076415,              0.1018,             0.23673,            0.035607,            0.008911,            0.008911,            0.008911
                  35,             0.10489,             0.17277,            0.032259,             0.32672,             0.20254,             0.17206,            0.078305,             0.10177,             0.23602,            0.035506,            0.008878,            0.008878,            0.008878
                  36,             0.10487,             0.17153,            0.032091,              0.4413,               0.199,             0.17234,            0.078762,             0.10175,             0.23645,            0.035824,            0.008845,            0.008845,            0.008845
                  37,             0.10474,             0.17066,            0.031885,             0.35248,             0.20298,             0.17467,            0.080277,             0.10159,             0.23499,            0.035928,            0.008812,            0.008812,            0.008812
