               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.59473,             0.14354,            0.056979,          0.00030353,           0.0035481,          0.00016697,          4.1072e-05,             0.56535,             0.22097,            0.052553,            0.070294,           0.0033007,           0.0033007
                   1,             0.55042,             0.16155,            0.048739,            0.015455,            0.040295,             0.01052,           0.0030589,             0.52335,             0.26236,            0.050861,            0.040272,           0.0066121,           0.0066121
                   2,             0.52048,             0.17411,            0.047095,             0.22508,             0.05747,            0.021638,           0.0068776,             0.50265,             0.43209,            0.050345,            0.010228,           0.0099015,           0.0099015
                   3,             0.50338,             0.18026,            0.045798,             0.43743,            0.099472,            0.042957,             0.01345,             0.47773,              0.2886,            0.047461,            0.009901,            0.009901,            0.009901
                   4,             0.49157,             0.18231,             0.04321,             0.46765,              0.1056,            0.058586,            0.019875,             0.46382,             0.25259,             0.04451,            0.009901,            0.009901,            0.009901
                   5,             0.48368,             0.18174,            0.041299,             0.47611,             0.13776,            0.078798,            0.030758,             0.45284,             0.25667,            0.042656,            0.009868,            0.009868,            0.009868
                   6,             0.47754,             0.17893,            0.040259,             0.48591,             0.13827,            0.086279,            0.033763,             0.44744,             0.25588,            0.041756,            0.009835,            0.009835,            0.009835
                   7,             0.47456,             0.18113,            0.039324,             0.49569,             0.12895,            0.082092,            0.032363,             0.44843,             0.25102,            0.041445,            0.009802,            0.009802,            0.009802
                   8,             0.47127,             0.18016,             0.03864,             0.38863,             0.15868,            0.095785,            0.036319,             0.44066,              0.2478,            0.040841,            0.009769,            0.009769,            0.009769
                   9,             0.46771,             0.17978,            0.038068,             0.43923,             0.15108,            0.094913,             0.03832,             0.44856,             0.24389,            0.041013,            0.009736,            0.009736,            0.009736
                  10,             0.46385,             0.17966,            0.037876,             0.44816,             0.17865,             0.10375,            0.043033,             0.43983,             0.24972,            0.040203,            0.009703,            0.009703,            0.009703
                  11,             0.46189,             0.17857,            0.037489,             0.46108,             0.17653,             0.11271,            0.049071,             0.43266,             0.24451,            0.039552,             0.00967,             0.00967,             0.00967
                  12,             0.46015,             0.17826,            0.037038,             0.56047,             0.15971,             0.10738,            0.043443,             0.43492,              0.2495,            0.039758,            0.009637,            0.009637,            0.009637
                  13,             0.45806,             0.17777,            0.036753,             0.46542,             0.18353,             0.11737,            0.051496,             0.42936,             0.24466,            0.039749,            0.009604,            0.009604,            0.009604
                  14,             0.45718,             0.17746,            0.036645,             0.33772,              0.1828,             0.11951,            0.052608,             0.42756,              0.2431,            0.039068,            0.009571,            0.009571,            0.009571
                  15,             0.45756,             0.17793,            0.036602,             0.34019,             0.18302,             0.11456,             0.05146,             0.42683,             0.24705,            0.040884,            0.009538,            0.009538,            0.009538
                  16,             0.45526,             0.17887,            0.036125,             0.34275,             0.19136,             0.12398,            0.054593,             0.42592,             0.24453,            0.039429,            0.009505,            0.009505,            0.009505
                  17,             0.45414,              0.1787,            0.035949,             0.45744,             0.19072,             0.12968,            0.058081,             0.42385,             0.24385,            0.038871,            0.009472,            0.009472,            0.009472
                  18,             0.45281,             0.17896,            0.036008,             0.46996,              0.1862,             0.12667,            0.057467,             0.42204,             0.24521,            0.038388,            0.009439,            0.009439,            0.009439
                  19,             0.45076,             0.17713,            0.035581,             0.42572,             0.18438,             0.13283,            0.060755,             0.42122,             0.23901,            0.038367,            0.009406,            0.009406,            0.009406
                  20,             0.44794,             0.17723,            0.035236,             0.36808,              0.1833,             0.12975,            0.059186,             0.41986,             0.23979,            0.038763,            0.009373,            0.009373,            0.009373
                  21,             0.44883,             0.17558,            0.035082,              0.4784,             0.18532,             0.14023,            0.063141,             0.41971,             0.23957,            0.038001,             0.00934,             0.00934,             0.00934
                  22,              0.4477,             0.17634,            0.035051,              0.4725,             0.18763,              0.1386,             0.06321,              0.4202,             0.24024,              0.0384,            0.009307,            0.009307,            0.009307
                  23,             0.44844,             0.17676,            0.034958,             0.51451,             0.18238,             0.14331,            0.064636,             0.41934,             0.23851,            0.037844,            0.009274,            0.009274,            0.009274
                  24,             0.44892,             0.17613,             0.03472,             0.37144,             0.19406,             0.14625,            0.066875,              0.4184,             0.23967,            0.037693,            0.009241,            0.009241,            0.009241
                  25,             0.44745,             0.17692,            0.034536,             0.37736,             0.19455,             0.14494,            0.065745,              0.4198,             0.24116,            0.038047,            0.009208,            0.009208,            0.009208
                  26,             0.44537,             0.17565,            0.034423,             0.38712,             0.19325,             0.14526,            0.066214,             0.41729,             0.23869,            0.038017,            0.009175,            0.009175,            0.009175
                  27,             0.44667,             0.17623,            0.034342,             0.49369,             0.19111,             0.15062,            0.067986,             0.41673,             0.23824,            0.037314,            0.009142,            0.009142,            0.009142
                  28,             0.44472,              0.1746,            0.033974,             0.38315,             0.20176,             0.15662,            0.071373,             0.41741,             0.23936,            0.037422,            0.009109,            0.009109,            0.009109
                  29,             0.44402,             0.17571,            0.033784,             0.49389,             0.19816,             0.15699,            0.072164,              0.4158,             0.23659,            0.037168,            0.009076,            0.009076,            0.009076
                  30,             0.44476,             0.17322,            0.034183,             0.30413,             0.21017,             0.16068,            0.073759,             0.41508,             0.23691,            0.036927,            0.009043,            0.009043,            0.009043
                  31,             0.44488,             0.17502,            0.033746,             0.30319,             0.20682,             0.16217,            0.075025,             0.41449,             0.23694,            0.036701,             0.00901,             0.00901,             0.00901
                  32,             0.44324,             0.17491,            0.033717,             0.50663,             0.19246,             0.16353,            0.074433,             0.41403,             0.23718,            0.036894,            0.008977,            0.008977,            0.008977
                  33,             0.44418,             0.17402,            0.033841,             0.41247,             0.20598,             0.16552,             0.07603,             0.41415,             0.23723,            0.036803,            0.008944,            0.008944,            0.008944
                  34,             0.44161,             0.17544,            0.033351,             0.41892,             0.20644,             0.17174,            0.078673,             0.41259,             0.23591,            0.036517,            0.008911,            0.008911,            0.008911
                  35,             0.44348,             0.17377,            0.033208,             0.41361,             0.21257,             0.17264,            0.081008,             0.41309,              0.2367,            0.036636,            0.008878,            0.008878,            0.008878
                  36,             0.44082,             0.17427,            0.033209,             0.38329,             0.20607,             0.17163,            0.080506,             0.41225,             0.23597,            0.036393,            0.008845,            0.008845,            0.008845
                  37,             0.43999,             0.17498,            0.033109,             0.31795,             0.20353,             0.17333,            0.080288,              0.4126,               0.236,            0.036369,            0.008812,            0.008812,            0.008812
                  38,             0.44056,             0.17271,            0.032984,             0.34417,              0.2115,              0.1745,            0.081837,             0.41222,             0.23588,            0.036194,            0.008779,            0.008779,            0.008779
                  39,             0.44183,             0.17551,            0.033008,             0.33125,             0.20516,             0.17727,            0.081619,             0.41262,             0.23697,            0.036259,            0.008746,            0.008746,            0.008746
                  40,             0.44025,             0.17271,            0.032673,             0.33055,             0.21373,             0.17182,            0.080006,             0.41222,             0.23686,            0.035985,            0.008713,            0.008713,            0.008713
                  41,             0.44109,             0.17521,             0.03282,              0.3532,             0.21181,             0.17742,             0.08312,             0.41124,              0.2355,            0.036038,             0.00868,             0.00868,             0.00868
                  42,             0.44061,              0.1727,             0.03275,             0.32521,             0.21016,             0.17462,            0.081128,             0.41141,              0.2358,             0.03635,            0.008647,            0.008647,            0.008647
                  43,             0.43862,             0.17346,            0.032582,             0.32617,             0.21676,             0.18024,            0.084716,             0.41055,             0.23561,            0.035976,            0.008614,            0.008614,            0.008614
                  44,             0.44006,               0.175,            0.032504,             0.32679,             0.21388,             0.17938,            0.083945,             0.41062,             0.23562,            0.036014,            0.008581,            0.008581,            0.008581
                  45,             0.44001,             0.17359,            0.032559,             0.36871,              0.2146,             0.18207,            0.086184,             0.41008,             0.23481,            0.035782,            0.008548,            0.008548,            0.008548
                  46,             0.43852,             0.17195,            0.032389,             0.42681,             0.21274,             0.18528,            0.087264,              0.4107,             0.23494,            0.035918,            0.008515,            0.008515,            0.008515
                  47,             0.43703,             0.17301,            0.032143,             0.36376,             0.21645,             0.18691,            0.088561,             0.40925,             0.23467,            0.035591,            0.008482,            0.008482,            0.008482
                  48,             0.43748,             0.17317,            0.032296,             0.37957,             0.21819,              0.1913,            0.088908,             0.40998,             0.23517,            0.035795,            0.008449,            0.008449,            0.008449
                  49,             0.43801,             0.17482,            0.032208,             0.38088,             0.22122,              0.1885,            0.089331,             0.40874,             0.23338,            0.035494,            0.008416,            0.008416,            0.008416
                  50,             0.43647,             0.17113,            0.032138,              0.3679,             0.22216,             0.19297,            0.090884,             0.40953,             0.23446,            0.035643,            0.008383,            0.008383,            0.008383
                  51,              0.4388,             0.17456,            0.032061,             0.36706,             0.22242,             0.19246,            0.091129,             0.40879,             0.23492,            0.035466,             0.00835,             0.00835,             0.00835
                  52,             0.43716,             0.17294,            0.032116,             0.35948,             0.22188,             0.19266,            0.092263,             0.40818,             0.23361,            0.035386,            0.008317,            0.008317,            0.008317
                  53,             0.43637,             0.17285,            0.031966,             0.37269,             0.22179,             0.19138,            0.090562,             0.40806,             0.23356,            0.035456,            0.008284,            0.008284,            0.008284
                  54,             0.43679,             0.17215,            0.032013,             0.35819,              0.2208,              0.1949,            0.093098,             0.40778,             0.23388,            0.035273,            0.008251,            0.008251,            0.008251
                  55,             0.43646,             0.17114,             0.03188,             0.35622,             0.21748,             0.19451,            0.091645,             0.40759,             0.23397,            0.035322,            0.008218,            0.008218,            0.008218
                  56,              0.4369,             0.17172,            0.031753,              0.3228,             0.22769,             0.19424,              0.0929,             0.40767,             0.23359,            0.035351,            0.008185,            0.008185,            0.008185
                  57,             0.43815,             0.17129,            0.031829,              0.3645,              0.2185,             0.19918,            0.094975,             0.40732,             0.23405,            0.035246,            0.008152,            0.008152,            0.008152
                  58,             0.43473,             0.17172,            0.031635,             0.37552,             0.21727,             0.19603,            0.093408,             0.40723,             0.23377,            0.035201,            0.008119,            0.008119,            0.008119
                  59,             0.43608,             0.17285,            0.031694,             0.38607,             0.22649,             0.19905,            0.094547,             0.40794,             0.23324,            0.035155,            0.008086,            0.008086,            0.008086
                  60,             0.43539,             0.17257,            0.031393,             0.27974,             0.22453,             0.19912,            0.095138,             0.40713,              0.2331,             0.03517,            0.008053,            0.008053,            0.008053
                  61,             0.43448,             0.17226,            0.031524,             0.38586,             0.22734,             0.19975,            0.095449,             0.40729,             0.23308,             0.03528,             0.00802,             0.00802,             0.00802
                  62,             0.43562,             0.17054,            0.031682,              0.2796,             0.22911,             0.19891,            0.095967,             0.40676,             0.23362,            0.035084,            0.007987,            0.007987,            0.007987
                  63,             0.43679,             0.17321,            0.031409,             0.37689,             0.22252,             0.20293,            0.097889,             0.40661,             0.23248,            0.034972,            0.007954,            0.007954,            0.007954
                  64,             0.43552,             0.17293,            0.031238,             0.40596,             0.22088,             0.20421,            0.098754,             0.40635,             0.23325,            0.034897,            0.007921,            0.007921,            0.007921
                  65,             0.43402,             0.17209,            0.031402,             0.27984,             0.23365,             0.20551,            0.098533,             0.40588,             0.23292,            0.034915,            0.007888,            0.007888,            0.007888
                  66,             0.43105,             0.17224,            0.031322,             0.30946,             0.23161,             0.20609,            0.099786,             0.40602,             0.23272,             0.03489,            0.007855,            0.007855,            0.007855
                  67,             0.43488,             0.17185,            0.031023,             0.36589,             0.23473,             0.20642,             0.09994,             0.40572,             0.23239,            0.034844,            0.007822,            0.007822,            0.007822
                  68,             0.43247,             0.17344,            0.031059,             0.33079,             0.22867,             0.20608,            0.099535,             0.40555,              0.2318,            0.034767,            0.007789,            0.007789,            0.007789
                  69,             0.43279,              0.1716,            0.031103,             0.39069,             0.23501,             0.20724,              0.1008,             0.40559,             0.23255,            0.034758,            0.007756,            0.007756,            0.007756
                  70,             0.43177,             0.17051,            0.030956,             0.29802,             0.23568,             0.21007,             0.10162,               0.405,             0.23197,            0.034622,            0.007723,            0.007723,            0.007723
                  71,             0.43235,             0.16993,            0.030987,             0.28894,             0.23538,             0.20847,             0.10185,             0.40519,             0.23269,            0.034744,             0.00769,             0.00769,             0.00769
                  72,             0.43576,             0.16899,            0.030995,             0.29506,             0.23003,             0.20985,             0.10229,             0.40472,             0.23232,            0.034591,            0.007657,            0.007657,            0.007657
                  73,             0.43406,             0.17198,            0.030841,              0.3351,             0.23317,             0.21083,              0.1027,             0.40477,             0.23214,              0.0346,            0.007624,            0.007624,            0.007624
                  74,             0.43383,              0.1702,            0.030804,             0.33928,             0.23466,             0.21052,             0.10234,              0.4047,             0.23209,            0.034564,            0.007591,            0.007591,            0.007591
                  75,             0.43291,             0.16988,            0.030775,             0.34966,             0.23555,             0.21338,             0.10388,             0.40461,             0.23214,            0.034564,            0.007558,            0.007558,            0.007558
                  76,             0.43477,             0.17205,            0.030678,             0.34662,             0.23491,             0.21134,             0.10215,             0.40461,             0.23239,            0.034595,            0.007525,            0.007525,            0.007525
