               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.5917,             0.14893,            0.057101,          0.00031509,           0.0036832,          0.00017444,          4.5467e-05,             0.56336,             0.22673,             0.05248,            0.070294,           0.0033007,           0.0033007
                   1,             0.55381,             0.16416,            0.049124,            0.014563,            0.050548,            0.010896,           0.0032637,             0.51547,              0.2682,            0.050795,            0.040272,           0.0066121,           0.0066121
                   2,             0.51876,             0.17799,            0.047475,             0.12644,            0.067441,            0.020959,           0.0058013,             0.49933,              0.4566,            0.049758,            0.010228,           0.0099015,           0.0099015
                   3,             0.49972,             0.18374,            0.045711,             0.54166,            0.097181,            0.041104,            0.013501,             0.48183,             0.32146,            0.047118,            0.009901,            0.009901,            0.009901
                   4,             0.48726,             0.18502,            0.043383,             0.55735,              0.1208,            0.057875,            0.020766,             0.46555,             0.25781,            0.044575,            0.009901,            0.009901,            0.009901
                   5,             0.47866,             0.18408,            0.041567,             0.46542,             0.11136,            0.065644,            0.025399,             0.46655,             0.26456,            0.043286,            0.009868,            0.009868,            0.009868
                   6,             0.47277,             0.18334,             0.04026,             0.48438,             0.14216,            0.083793,             0.03409,             0.44959,             0.25585,            0.042276,            0.009835,            0.009835,            0.009835
                   7,             0.46931,             0.18171,            0.039261,             0.36821,             0.15249,             0.08185,            0.031564,             0.45486,             0.25878,            0.042099,            0.009802,            0.009802,            0.009802
                   8,             0.46676,             0.18301,            0.038734,             0.29163,             0.15851,            0.095347,            0.038728,             0.43849,             0.24615,            0.040486,            0.009769,            0.009769,            0.009769
                   9,             0.46429,             0.18272,            0.038304,             0.39152,             0.14902,            0.090227,            0.035131,             0.43978,             0.25572,            0.040858,            0.009736,            0.009736,            0.009736
                  10,             0.45946,             0.18099,            0.037576,             0.39582,             0.14245,            0.089726,            0.038292,             0.44444,             0.25883,            0.040852,            0.009703,            0.009703,            0.009703
                  11,             0.45754,             0.18169,            0.037308,              0.4294,             0.18063,             0.10814,            0.047425,             0.43251,             0.25366,            0.039705,             0.00967,             0.00967,             0.00967
                  12,              0.4558,              0.1825,            0.036984,             0.43406,             0.18231,             0.11211,            0.049213,             0.42851,             0.24496,            0.039577,            0.009637,            0.009637,            0.009637
                  13,             0.45438,               0.181,            0.036674,             0.44464,             0.17954,             0.11637,            0.051839,             0.42655,             0.24905,            0.039002,            0.009604,            0.009604,            0.009604
                  14,             0.45314,             0.18041,            0.036396,             0.44281,             0.17942,              0.1173,            0.049191,             0.42637,             0.25273,            0.038829,            0.009571,            0.009571,            0.009571
                  15,             0.45209,             0.18213,            0.036253,             0.45381,             0.18123,             0.12005,            0.052326,             0.42642,             0.24573,            0.038979,            0.009538,            0.009538,            0.009538
                  16,             0.45193,             0.18048,            0.035855,             0.45903,             0.18926,             0.12341,            0.054798,             0.42284,             0.24423,             0.03847,            0.009505,            0.009505,            0.009505
                  17,             0.45099,             0.17966,            0.035831,             0.46441,             0.18821,             0.12963,            0.057912,             0.42102,               0.244,            0.038151,            0.009472,            0.009472,            0.009472
                  18,             0.44837,             0.17832,            0.035305,             0.45061,             0.20036,             0.13174,            0.058402,             0.42426,             0.24524,            0.038524,            0.009439,            0.009439,            0.009439
                  19,             0.44959,             0.17777,              0.0354,             0.47652,              0.1928,             0.13627,            0.060911,             0.42158,             0.24635,             0.03838,            0.009406,            0.009406,            0.009406
                  20,             0.44847,             0.17925,            0.035226,             0.47235,             0.19818,             0.13795,            0.062318,             0.41946,             0.24555,            0.038063,            0.009373,            0.009373,            0.009373
                  21,              0.4481,             0.17816,            0.034868,             0.45916,             0.18218,             0.13214,            0.059987,             0.42231,             0.25154,            0.038022,             0.00934,             0.00934,             0.00934
                  22,             0.44673,             0.17804,            0.034559,             0.49267,             0.20357,             0.14819,            0.067883,             0.41608,             0.24421,            0.037302,            0.009307,            0.009307,            0.009307
                  23,             0.44407,             0.17899,            0.034443,             0.48983,             0.19849,             0.15049,            0.067658,             0.41655,               0.241,            0.037454,            0.009274,            0.009274,            0.009274
                  24,             0.44238,             0.17807,             0.03437,             0.49354,             0.19909,             0.15474,            0.070223,             0.41779,             0.23984,            0.037109,            0.009241,            0.009241,            0.009241
                  25,             0.44398,             0.17958,            0.034062,             0.50096,             0.20463,             0.15733,            0.071293,             0.41541,             0.24099,            0.036722,            0.009208,            0.009208,            0.009208
                  26,             0.44393,             0.17694,            0.034169,               0.396,             0.20686,             0.15843,             0.07179,             0.41537,             0.23998,            0.036656,            0.009175,            0.009175,            0.009175
                  27,             0.44226,             0.17742,            0.033907,             0.40348,             0.20395,             0.15607,            0.069682,             0.41648,              0.2419,            0.037049,            0.009142,            0.009142,            0.009142
                  28,             0.44239,             0.17618,            0.033685,             0.40773,             0.20198,              0.1635,            0.074556,             0.41359,             0.24099,            0.036607,            0.009109,            0.009109,            0.009109
                  29,              0.4406,             0.17744,            0.033401,             0.40198,             0.20326,              0.1641,            0.076416,             0.41375,             0.23946,            0.036834,            0.009076,            0.009076,            0.009076
                  30,             0.44002,             0.17599,            0.033618,             0.51686,             0.19926,             0.16382,            0.074411,             0.41378,             0.24013,            0.036467,            0.009043,            0.009043,            0.009043
                  31,             0.44097,             0.17828,            0.033357,             0.51424,             0.19995,             0.16802,            0.076738,             0.41237,             0.23957,            0.036478,             0.00901,             0.00901,             0.00901
                  32,             0.44096,             0.17642,            0.032948,             0.51075,             0.20325,             0.16938,            0.078455,             0.41259,             0.23892,            0.036332,            0.008977,            0.008977,            0.008977
                  33,             0.43966,             0.17688,            0.033129,             0.52591,             0.19909,             0.17457,            0.079478,             0.41178,             0.23809,            0.036066,            0.008944,            0.008944,            0.008944
                  34,              0.4399,             0.17668,            0.032978,             0.43266,             0.20448,             0.17189,            0.080805,             0.41076,             0.23871,            0.036077,            0.008911,            0.008911,            0.008911
                  35,             0.43845,             0.17643,             0.03304,             0.52246,               0.204,             0.17384,            0.081235,              0.4101,             0.23813,            0.035892,            0.008878,            0.008878,            0.008878
                  36,             0.43792,             0.17522,            0.032809,             0.42309,             0.20701,              0.1744,            0.080127,             0.41102,             0.23752,            0.035987,            0.008845,            0.008845,            0.008845
                  37,             0.43734,             0.17736,            0.032713,             0.43843,             0.20333,             0.18054,            0.083082,             0.40966,             0.23827,            0.035674,            0.008812,            0.008812,            0.008812
                  38,             0.43569,             0.17684,            0.032757,             0.42077,             0.20689,             0.17741,            0.081913,             0.41017,             0.23754,            0.035763,            0.008779,            0.008779,            0.008779
                  39,             0.43619,             0.17562,            0.032673,             0.44549,             0.20723,             0.18207,            0.084514,              0.4091,             0.23811,            0.035676,            0.008746,            0.008746,            0.008746
                  40,             0.43749,              0.1754,            0.032769,             0.43305,             0.21734,             0.18331,            0.085912,             0.40883,             0.23807,            0.035644,            0.008713,            0.008713,            0.008713
                  41,             0.43726,             0.17588,            0.032455,              0.4325,             0.20289,             0.18268,            0.085263,             0.40909,             0.23737,             0.03557,             0.00868,             0.00868,             0.00868
                  42,             0.43563,              0.1758,            0.032571,             0.33177,             0.20613,              0.1853,            0.086881,             0.40759,             0.23769,             0.03542,            0.008647,            0.008647,            0.008647
                  43,              0.4362,             0.17594,            0.032507,             0.42833,             0.21113,             0.18063,            0.084921,             0.40811,              0.2383,            0.035782,            0.008614,            0.008614,            0.008614
                  44,             0.43626,             0.17473,            0.032189,             0.44228,             0.20672,             0.18537,            0.086014,             0.40775,             0.23751,            0.035365,            0.008581,            0.008581,            0.008581
                  45,             0.43545,             0.17616,            0.032199,             0.35471,             0.20976,             0.18944,            0.088276,             0.40777,             0.23731,            0.035289,            0.008548,            0.008548,            0.008548
                  46,             0.43412,             0.17406,            0.032177,             0.38535,             0.21035,             0.18971,            0.089129,             0.40719,               0.237,            0.035251,            0.008515,            0.008515,            0.008515
                  47,             0.43653,             0.17414,            0.031992,              0.3927,             0.20868,             0.19289,            0.090751,              0.4074,             0.23643,            0.035227,            0.008482,            0.008482,            0.008482
                  48,             0.43483,             0.17508,            0.032079,             0.36735,             0.20815,             0.18926,            0.089821,             0.40645,             0.23712,            0.035101,            0.008449,            0.008449,            0.008449
                  49,             0.43615,             0.17408,            0.031811,             0.40499,             0.20751,             0.19398,            0.092552,             0.40608,              0.2366,            0.035157,            0.008416,            0.008416,            0.008416
                  50,             0.43302,             0.17279,            0.031723,             0.39753,              0.2088,              0.1943,            0.091199,             0.40634,             0.23624,            0.034864,            0.008383,            0.008383,            0.008383
                  51,             0.43337,             0.17537,             0.03186,             0.29065,             0.21936,             0.19907,            0.094421,             0.40592,             0.23637,            0.034935,             0.00835,             0.00835,             0.00835
                  52,             0.43544,             0.17507,            0.031692,             0.40103,             0.21514,             0.19806,            0.093555,             0.40539,             0.23631,            0.034845,            0.008317,            0.008317,            0.008317
                  53,             0.43332,             0.17227,            0.031709,              0.3853,              0.2199,             0.19798,            0.094923,             0.40556,             0.23666,            0.034787,            0.008284,            0.008284,            0.008284
                  54,               0.432,             0.17298,            0.031548,             0.40303,             0.21773,             0.19676,            0.093896,             0.40493,             0.23632,             0.03495,            0.008251,            0.008251,            0.008251
                  55,             0.43469,             0.17503,            0.031483,             0.39408,             0.21978,             0.20148,             0.09559,             0.40463,              0.2357,            0.034872,            0.008218,            0.008218,            0.008218
                  56,             0.43342,             0.17633,            0.031583,             0.38919,             0.21876,             0.19985,            0.095087,             0.40499,             0.23583,            0.034788,            0.008185,            0.008185,            0.008185
                  57,             0.43344,              0.1759,            0.031398,             0.38521,             0.22106,             0.20269,            0.096652,             0.40447,             0.23585,            0.034808,            0.008152,            0.008152,            0.008152
                  58,             0.43197,             0.17384,            0.031211,             0.28139,             0.22588,             0.20192,            0.096849,             0.40424,              0.2354,            0.034608,            0.008119,            0.008119,            0.008119
                  59,             0.43255,              0.1741,            0.031157,             0.38653,             0.22213,             0.20495,            0.098314,             0.40431,             0.23567,             0.03454,            0.008086,            0.008086,            0.008086
                  60,             0.43017,             0.17355,            0.031348,             0.38656,             0.22098,             0.20393,            0.098084,             0.40402,              0.2364,            0.034485,            0.008053,            0.008053,            0.008053
                  61,             0.42979,             0.17364,            0.031189,              0.2782,             0.22088,             0.20265,            0.098102,             0.40397,             0.23592,            0.034583,             0.00802,             0.00802,             0.00802
                  62,             0.43104,             0.17392,            0.031259,             0.29083,             0.22224,             0.20464,            0.098983,             0.40357,             0.23604,            0.034446,            0.007987,            0.007987,            0.007987
                  63,             0.43406,             0.17483,            0.031091,             0.29866,             0.22727,             0.20773,            0.099987,             0.40311,             0.23501,            0.034454,            0.007954,            0.007954,            0.007954
                  64,             0.43253,             0.17331,            0.031101,             0.40112,             0.21995,              0.2071,             0.10025,             0.40328,             0.23521,            0.034432,            0.007921,            0.007921,            0.007921
                  65,             0.43199,             0.17327,             0.03104,             0.29004,             0.23115,             0.20945,            0.099911,              0.4033,              0.2352,            0.034401,            0.007888,            0.007888,            0.007888
                  66,             0.43116,             0.17331,            0.030821,             0.33554,             0.23442,             0.21247,             0.10197,             0.40309,             0.23526,            0.034338,            0.007855,            0.007855,            0.007855
                  67,             0.42966,             0.17281,            0.030859,             0.35258,             0.23297,             0.21103,             0.10168,             0.40302,             0.23505,            0.034367,            0.007822,            0.007822,            0.007822
                  68,             0.43025,             0.17547,            0.030957,             0.29047,             0.22627,             0.20866,             0.10133,             0.40266,             0.23469,             0.03433,            0.007789,            0.007789,            0.007789
                  69,             0.42769,             0.17246,            0.030825,             0.30904,             0.23528,             0.21049,             0.10203,              0.4027,             0.23445,            0.034255,            0.007756,            0.007756,            0.007756
                  70,             0.43021,             0.17376,            0.030788,             0.32456,              0.2352,             0.21216,             0.10309,             0.40232,             0.23482,            0.034233,            0.007723,            0.007723,            0.007723
                  71,             0.43165,             0.17407,            0.030793,             0.33493,              0.2321,             0.21119,             0.10247,             0.40216,             0.23489,            0.034204,             0.00769,             0.00769,             0.00769
                  72,             0.43083,             0.17249,            0.030698,             0.34317,             0.24103,             0.21259,             0.10387,             0.40213,             0.23457,            0.034149,            0.007657,            0.007657,            0.007657
                  73,             0.42845,             0.17273,            0.030841,             0.33536,             0.23832,             0.21459,             0.10432,             0.40221,              0.2347,            0.034165,            0.007624,            0.007624,            0.007624
                  74,             0.42953,             0.17401,            0.030636,             0.32641,             0.23677,             0.21617,             0.10485,              0.4019,             0.23439,            0.034035,            0.007591,            0.007591,            0.007591
                  75,             0.42818,             0.17213,            0.030638,             0.31834,             0.23707,             0.21522,             0.10393,             0.40219,             0.23454,            0.034027,            0.007558,            0.007558,            0.007558
