               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.6127,             0.14053,            0.057454,          0.00031083,           0.0036334,          0.00021566,          4.9358e-05,             0.58951,             0.22179,            0.052784,            0.070294,           0.0033007,           0.0033007
                   1,             0.56793,             0.16362,            0.048668,            0.012233,            0.051066,            0.010202,           0.0026409,             0.55158,              0.2724,            0.051149,            0.040272,           0.0066121,           0.0066121
                   2,             0.53679,              0.1753,            0.047104,            0.018692,             0.06132,            0.018068,           0.0050397,             0.53598,             0.31043,            0.049917,            0.010228,           0.0099015,           0.0099015
                   3,             0.52042,             0.18002,            0.046091,              0.4383,            0.095752,            0.041847,            0.013558,              0.5075,             0.27082,            0.047165,            0.009901,            0.009901,            0.009901
                   4,             0.50813,             0.18234,            0.043825,             0.45442,            0.095322,            0.052664,            0.019931,             0.50372,             0.25843,            0.046054,            0.009901,            0.009901,            0.009901
                   5,              0.4998,             0.18166,            0.041927,             0.47715,             0.12711,            0.075757,            0.029424,             0.48324,             0.25539,            0.043056,            0.009868,            0.009868,            0.009868
                   6,             0.49323,             0.17879,            0.040759,             0.38246,             0.14578,            0.084115,            0.032972,             0.48018,             0.25515,            0.042258,            0.009835,            0.009835,            0.009835
                   7,             0.49031,             0.18083,            0.039852,             0.40544,             0.12839,            0.080749,            0.032159,             0.47978,             0.24821,            0.043321,            0.009802,            0.009802,            0.009802
                   8,             0.48711,             0.17993,            0.039146,             0.38913,             0.15838,            0.094376,            0.038593,             0.47278,             0.24489,            0.041584,            0.009769,            0.009769,            0.009769
                   9,             0.48373,             0.17954,            0.038586,             0.50096,                0.16,            0.097088,            0.040461,             0.47046,             0.24317,            0.041626,            0.009736,            0.009736,            0.009736
                  10,             0.48003,              0.1794,            0.038377,             0.38532,             0.16378,            0.092637,            0.036968,             0.47434,             0.24637,            0.040898,            0.009703,            0.009703,            0.009703
                  11,             0.47759,             0.17836,            0.038009,             0.40426,             0.16623,             0.10324,            0.046219,             0.46351,             0.24941,            0.040692,             0.00967,             0.00967,             0.00967
                  12,             0.47589,             0.17807,            0.037532,             0.40336,               0.169,              0.1037,            0.044199,             0.46596,             0.24464,            0.041466,            0.009637,            0.009637,            0.009637
                  13,              0.4742,             0.17753,            0.037244,             0.40396,             0.18527,              0.1115,            0.050384,             0.45915,             0.24898,            0.040008,            0.009604,            0.009604,            0.009604
                  14,              0.4733,             0.17758,            0.037092,             0.32427,             0.17999,             0.11431,            0.048903,             0.46016,             0.24417,            0.039856,            0.009571,            0.009571,            0.009571
                  15,             0.47238,             0.17789,            0.036989,             0.43447,             0.17735,             0.11406,            0.050141,             0.45934,             0.24244,            0.039444,            0.009538,            0.009538,            0.009538
                  16,             0.47159,             0.17858,            0.036535,             0.44064,             0.18639,             0.12277,            0.054405,             0.45456,             0.24217,            0.039192,            0.009505,            0.009505,            0.009505
                  17,             0.47053,             0.17817,            0.036285,             0.44528,             0.17566,             0.12311,            0.054006,             0.45476,             0.24295,            0.039516,            0.009472,            0.009472,            0.009472
                  18,             0.46849,             0.17881,            0.036361,             0.46284,             0.19053,             0.12801,             0.05791,             0.45255,             0.24267,            0.038837,            0.009439,            0.009439,            0.009439
                  19,             0.46716,               0.177,            0.035935,             0.49387,             0.17438,             0.12724,            0.057641,             0.45362,             0.24042,            0.038811,            0.009406,            0.009406,            0.009406
                  20,              0.4642,              0.1768,            0.035555,             0.48226,             0.17914,             0.13068,            0.060076,             0.45109,              0.2438,             0.03905,            0.009373,            0.009373,            0.009373
                  21,             0.46402,             0.17498,            0.035378,             0.50326,             0.18538,             0.14025,            0.063028,             0.44946,             0.24005,            0.038419,             0.00934,             0.00934,             0.00934
                  22,             0.46354,             0.17597,            0.035388,             0.49322,             0.18674,             0.13926,            0.062261,             0.44924,             0.24069,            0.038301,            0.009307,            0.009307,            0.009307
                  23,              0.4636,             0.17639,            0.035305,             0.50758,              0.1774,             0.13851,            0.062814,             0.44841,              0.2384,            0.037816,            0.009274,            0.009274,            0.009274
                  24,             0.46381,             0.17584,            0.035102,             0.50153,             0.19169,             0.14597,            0.067031,              0.4462,             0.23716,            0.037852,            0.009241,            0.009241,            0.009241
                  25,             0.46278,             0.17639,            0.034977,             0.50872,             0.18327,             0.14413,            0.065571,             0.44734,             0.24078,            0.037675,            0.009208,            0.009208,            0.009208
                  26,             0.46043,             0.17504,            0.034805,             0.50144,             0.18541,             0.14263,            0.065433,             0.44638,             0.23688,            0.037864,            0.009175,            0.009175,            0.009175
                  27,             0.46172,             0.17582,            0.034766,             0.50404,             0.18262,             0.14853,            0.067855,             0.44496,             0.23734,            0.037531,            0.009142,            0.009142,            0.009142
                  28,             0.45979,             0.17406,            0.034462,             0.51455,             0.19496,             0.15472,            0.070247,             0.44454,             0.23562,            0.037474,            0.009109,            0.009109,            0.009109
                  29,             0.45916,             0.17518,            0.034263,             0.51677,             0.19264,             0.15875,            0.072435,             0.44489,             0.23581,            0.037376,            0.009076,            0.009076,            0.009076
                  30,             0.45868,             0.17266,            0.034655,             0.51163,             0.19343,             0.15554,            0.072221,             0.44328,             0.23498,            0.037213,            0.009043,            0.009043,            0.009043
                  31,             0.46018,             0.17452,             0.03419,             0.52004,              0.1881,             0.16032,            0.074265,             0.44349,             0.23592,            0.037135,             0.00901,             0.00901,             0.00901
                  32,             0.45782,             0.17425,            0.034075,             0.50453,             0.19536,             0.16009,            0.073716,             0.44308,             0.23596,            0.036931,            0.008977,            0.008977,            0.008977
                  33,             0.45841,             0.17324,            0.034155,             0.50523,             0.19734,              0.1578,            0.073823,              0.4423,             0.23751,            0.037266,            0.008944,            0.008944,            0.008944
                  34,             0.45636,             0.17463,            0.033661,             0.40845,              0.2066,              0.1653,            0.077768,             0.44228,             0.23405,            0.036793,            0.008911,            0.008911,            0.008911
                  35,              0.4574,             0.17306,            0.033547,             0.51825,             0.21089,             0.17023,             0.07921,             0.44078,             0.23505,            0.036958,            0.008878,            0.008878,            0.008878
                  36,             0.45531,             0.17349,            0.033556,             0.41899,             0.21048,             0.16875,            0.079458,             0.44028,             0.23429,            0.036582,            0.008845,            0.008845,            0.008845
                  37,              0.4546,             0.17416,            0.033404,             0.41874,             0.20604,             0.17119,            0.080147,              0.4409,             0.23433,            0.036653,            0.008812,            0.008812,            0.008812
                  38,             0.45523,             0.17188,            0.033205,             0.41176,             0.20948,             0.16873,            0.078801,             0.44036,             0.23508,             0.03691,            0.008779,            0.008779,            0.008779
