               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.60917,             0.14635,            0.057685,          0.00028954,           0.0033845,          0.00022539,          6.9584e-05,              0.5868,             0.22663,            0.052703,            0.070294,           0.0033007,           0.0033007
                   1,             0.57551,              0.1627,            0.049129,            0.024642,            0.044902,            0.016359,           0.0044812,             0.54304,             0.39497,            0.051111,            0.040272,           0.0066121,           0.0066121
                   2,             0.53639,             0.17847,            0.047477,             0.22621,            0.071353,            0.021464,            0.006354,             0.52868,             0.38794,            0.050098,            0.010228,           0.0099015,           0.0099015
                   3,             0.51666,             0.18404,            0.046407,             0.43672,              0.1061,            0.045232,            0.015173,              0.5005,             0.30085,            0.048549,            0.009901,            0.009901,            0.009901
                   4,              0.5034,             0.18513,            0.045019,             0.45754,             0.12052,            0.063269,            0.023701,             0.48897,             0.26266,            0.046503,            0.009901,            0.009901,            0.009901
                   5,             0.49433,             0.18411,            0.043045,             0.26438,              0.1218,            0.068567,            0.027104,             0.48818,             0.25643,            0.044988,            0.009868,            0.009868,            0.009868
                   6,             0.48887,             0.18286,            0.041455,             0.38709,             0.14325,            0.086679,            0.034525,             0.47266,             0.24992,            0.042782,            0.009835,            0.009835,            0.009835
                   7,             0.48443,             0.18134,            0.040281,             0.37554,             0.16731,            0.088285,            0.036688,             0.47109,             0.25971,            0.043536,            0.009802,            0.009802,            0.009802
                   8,             0.48176,             0.18265,            0.039647,             0.40069,             0.14647,            0.090718,             0.03674,             0.46936,             0.24987,            0.041346,            0.009769,            0.009769,            0.009769
                   9,             0.47933,             0.18264,            0.039189,             0.39336,             0.14676,            0.092151,            0.037158,             0.46884,             0.25229,            0.041098,            0.009736,            0.009736,            0.009736
                  10,             0.47442,             0.18084,             0.03844,             0.39718,             0.16191,            0.097336,            0.041813,             0.46322,             0.25446,            0.040961,            0.009703,            0.009703,            0.009703
                  11,             0.47251,             0.18168,            0.038255,             0.38746,             0.18032,            0.099639,            0.043808,             0.46045,             0.25549,            0.042099,             0.00967,             0.00967,             0.00967
                  12,             0.47056,             0.18228,             0.03789,             0.40682,             0.16898,             0.10514,            0.046531,             0.45696,             0.24569,            0.040333,            0.009637,            0.009637,            0.009637
                  13,             0.46821,             0.18091,            0.037588,             0.41943,             0.17809,             0.11183,             0.05123,             0.45295,              0.2461,            0.039972,            0.009604,            0.009604,            0.009604
                  14,             0.46707,             0.18047,            0.037306,             0.41187,             0.18747,             0.11038,            0.049433,              0.4525,             0.24764,            0.039551,            0.009571,            0.009571,            0.009571
                  15,             0.46598,             0.18211,             0.03714,             0.41297,             0.18898,             0.11476,            0.051222,             0.45258,             0.24633,            0.039437,            0.009538,            0.009538,            0.009538
                  16,             0.46522,             0.18049,            0.036711,             0.42376,             0.18457,             0.11497,            0.052149,             0.45057,              0.2438,            0.039231,            0.009505,            0.009505,            0.009505
                  17,              0.4643,              0.1795,            0.036754,              0.3335,             0.18407,             0.11396,            0.053232,             0.45119,             0.25484,            0.039516,            0.009472,            0.009472,            0.009472
                  18,             0.46122,             0.17809,            0.036234,             0.43445,             0.20646,             0.12719,            0.057167,             0.44624,             0.24258,            0.038986,            0.009439,            0.009439,            0.009439
                  19,             0.46204,             0.17773,             0.03636,             0.44005,             0.19663,              0.1279,             0.05756,             0.44676,             0.24257,            0.038759,            0.009406,            0.009406,            0.009406
