               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13075,             0.12858,            0.049953,             0.25817,             0.13689,            0.066335,            0.023911,             0.11244,             0.23287,            0.041794,            0.070148,           0.0033169,           0.0033169
                   1,             0.11178,             0.16673,            0.037987,             0.19704,             0.18293,             0.10203,               0.041,             0.10758,             0.23317,            0.038918,            0.040016,           0.0065186,           0.0065186
                   2,             0.10935,             0.16925,            0.035742,             0.36739,             0.18628,             0.13538,            0.059676,             0.10374,             0.23306,            0.037055,           0.0097524,           0.0095882,           0.0095882
                   3,             0.10691,             0.16888,             0.03362,             0.39048,             0.20297,             0.15718,            0.071099,             0.10186,             0.23634,            0.036283,            0.009406,            0.009406,            0.009406
                   4,             0.10488,             0.17106,            0.032432,             0.44518,             0.20569,             0.17507,             0.08187,             0.10084,             0.23415,            0.035165,            0.009406,            0.009406,            0.009406
                   5,             0.10382,             0.16887,            0.031359,             0.43629,             0.21902,             0.18901,             0.09022,             0.10025,             0.23811,            0.034492,            0.009208,            0.009208,            0.009208
                   6,             0.10233,             0.16924,            0.030563,             0.35766,             0.23154,             0.20492,            0.098222,            0.099589,             0.23409,            0.033942,             0.00901,             0.00901,             0.00901
                   7,             0.10224,              0.1679,            0.030082,             0.39949,             0.23807,             0.21842,             0.10423,            0.099033,             0.23184,            0.033571,            0.008812,            0.008812,            0.008812
                   8,             0.10118,             0.16637,            0.029429,             0.33395,             0.25102,             0.21778,              0.1066,            0.098546,             0.23296,            0.033557,            0.008614,            0.008614,            0.008614
                   9,             0.10092,             0.16703,            0.029279,             0.33342,             0.26418,              0.2334,             0.11579,            0.097749,             0.23081,            0.032904,            0.008416,            0.008416,            0.008416
                  10,             0.10048,             0.16558,            0.028617,             0.34933,              0.2593,             0.23083,             0.11439,            0.097804,             0.23128,            0.032924,            0.008218,            0.008218,            0.008218
                  11,             0.10027,             0.16699,            0.028474,             0.35333,             0.27641,             0.24856,             0.12504,            0.097343,             0.23037,            0.032474,             0.00802,             0.00802,             0.00802
                  12,             0.10004,             0.16594,            0.028055,             0.35953,             0.28072,             0.25185,             0.12763,            0.097176,             0.22901,            0.032373,            0.007822,            0.007822,            0.007822
                  13,            0.099774,             0.16609,            0.027816,             0.35777,             0.28496,             0.25049,             0.12708,            0.097209,             0.23032,            0.032423,            0.007624,            0.007624,            0.007624
                  14,            0.099659,             0.16531,            0.027456,             0.36715,             0.27666,              0.2574,             0.13049,            0.097142,             0.22907,            0.032299,            0.007426,            0.007426,            0.007426
                  15,            0.099018,             0.16411,            0.027291,             0.36794,             0.28119,             0.25965,             0.13314,            0.096718,             0.22954,            0.031877,            0.007228,            0.007228,            0.007228
                  16,             0.09859,             0.16282,            0.027085,              0.3711,             0.28974,              0.2635,             0.13501,            0.096774,             0.23082,            0.032103,             0.00703,             0.00703,             0.00703
                  17,            0.098596,             0.16231,            0.026902,              0.3683,             0.29024,             0.26658,             0.13851,            0.096396,             0.22859,            0.032169,            0.006832,            0.006832,            0.006832
                  18,            0.098317,             0.16137,            0.026803,             0.37211,             0.29139,             0.27238,             0.13866,            0.096417,             0.22883,            0.031626,            0.006634,            0.006634,            0.006634
                  19,            0.098506,             0.16277,            0.026518,             0.37755,             0.29427,             0.27077,              0.1397,            0.096314,             0.23025,            0.031941,            0.006436,            0.006436,            0.006436
                  20,            0.097911,             0.16053,            0.026305,             0.38948,             0.29453,             0.27675,             0.14274,            0.096163,             0.22748,            0.031777,            0.006238,            0.006238,            0.006238
                  21,            0.097934,             0.15983,            0.026167,              0.3878,             0.29928,             0.27999,             0.14509,            0.095952,             0.22769,            0.031554,             0.00604,             0.00604,             0.00604
                  22,            0.098172,             0.16176,            0.026246,             0.38705,             0.29996,             0.28122,             0.14725,            0.095868,             0.22829,             0.03166,            0.005842,            0.005842,            0.005842
                  23,            0.097927,             0.16212,            0.026044,             0.38506,             0.30518,              0.2805,             0.14691,            0.095727,             0.22724,             0.03156,            0.005644,            0.005644,            0.005644
                  24,            0.097753,             0.16214,            0.026041,             0.39965,             0.30929,             0.29109,             0.15235,            0.095578,             0.22735,            0.031158,            0.005446,            0.005446,            0.005446
                  25,            0.097384,             0.16043,            0.025782,             0.39458,             0.30668,              0.2898,             0.15235,            0.095475,             0.22707,            0.031087,            0.005248,            0.005248,            0.005248
