               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.533,             0.14887,            0.050927,             0.15683,             0.14693,            0.078266,            0.033137,             0.45212,             0.24594,            0.045356,            0.070148,           0.0033169,           0.0033169
                   1,             0.47384,             0.16913,            0.040819,             0.18612,             0.17012,             0.09493,            0.038121,             0.44057,             0.23493,            0.041621,            0.040016,           0.0065186,           0.0065186
                   2,              0.4665,             0.17077,            0.038466,             0.28934,             0.20395,             0.11027,            0.047905,              0.4323,             0.24314,            0.040263,           0.0097524,           0.0095882,           0.0095882
                   3,             0.45554,             0.17054,            0.036843,             0.33988,             0.21667,             0.13783,            0.064381,             0.41776,             0.23488,            0.039393,            0.009406,            0.009406,            0.009406
                   4,             0.44878,             0.17235,            0.035356,             0.38169,             0.20588,             0.14913,            0.070195,             0.41592,              0.2345,            0.037936,            0.009406,            0.009406,            0.009406
                   5,             0.44289,             0.17191,            0.034306,             0.39091,             0.20527,             0.15641,            0.074224,             0.41416,             0.23339,            0.038212,            0.009208,            0.009208,            0.009208
                   6,              0.4381,             0.16861,            0.033688,             0.40297,             0.21121,             0.17195,             0.08294,             0.41011,              0.2323,            0.036329,             0.00901,             0.00901,             0.00901
                   7,             0.43763,             0.17039,            0.032676,             0.43951,             0.21621,              0.1897,            0.090921,             0.40581,             0.23153,            0.035663,            0.008812,            0.008812,            0.008812
                   8,             0.43488,             0.16975,            0.031905,             0.44693,             0.22423,             0.19791,             0.09709,             0.40588,             0.23119,            0.035311,            0.008614,            0.008614,            0.008614
                   9,              0.4323,             0.16877,            0.031574,             0.34797,             0.22579,             0.19886,             0.09771,             0.40279,             0.23143,            0.035003,            0.008416,            0.008416,            0.008416
                  10,             0.43004,             0.16958,            0.031178,              0.3809,              0.2371,             0.21191,             0.10449,             0.40467,             0.23244,            0.034785,            0.008218,            0.008218,            0.008218
                  11,             0.42816,             0.16849,            0.031009,               0.382,             0.24129,             0.22105,             0.10882,             0.40159,             0.22979,             0.03437,             0.00802,             0.00802,             0.00802
                  12,             0.42743,             0.16755,            0.030603,             0.30454,             0.23971,             0.21872,             0.10943,             0.39998,             0.23031,            0.034131,            0.007822,            0.007822,            0.007822
                  13,              0.4256,              0.1666,             0.03023,             0.33569,             0.24725,              0.2204,             0.11006,             0.39994,             0.23119,            0.034234,            0.007624,            0.007624,            0.007624
                  14,             0.42555,             0.16601,            0.029919,             0.34462,             0.24913,             0.22905,             0.11594,             0.39822,             0.22896,            0.034081,            0.007426,            0.007426,            0.007426
                  15,             0.42678,             0.16716,            0.029925,             0.35075,             0.25994,             0.23023,             0.11587,             0.39893,             0.23035,            0.033893,            0.007228,            0.007228,            0.007228
                  16,             0.42477,             0.16664,            0.029399,             0.36907,             0.26162,             0.23681,             0.12121,             0.39787,             0.22867,            0.033709,             0.00703,             0.00703,             0.00703
                  17,             0.42269,             0.16721,            0.029294,             0.35933,             0.26252,             0.23861,             0.12221,             0.39721,             0.23081,             0.03352,            0.006832,            0.006832,            0.006832
                  18,             0.42121,             0.16678,            0.029406,             0.36476,             0.27244,             0.24414,               0.126,             0.39667,             0.22866,            0.033156,            0.006634,            0.006634,            0.006634
                  19,             0.41978,             0.16647,             0.02903,             0.36383,             0.27865,             0.24771,               0.127,             0.39487,             0.22862,            0.032972,            0.006436,            0.006436,            0.006436
                  20,             0.41797,             0.16391,            0.028656,              0.3678,             0.27161,             0.24857,             0.12789,             0.39537,             0.22849,            0.033138,            0.006238,            0.006238,            0.006238
                  21,             0.41807,             0.16389,            0.028326,             0.38459,             0.28004,             0.25919,             0.13433,             0.39409,             0.22748,            0.033123,             0.00604,             0.00604,             0.00604
                  22,             0.41815,             0.16261,            0.028335,             0.37655,             0.27957,             0.25438,             0.13027,             0.39438,             0.22771,            0.032958,            0.005842,            0.005842,            0.005842
                  23,             0.41744,             0.16453,            0.028293,              0.3731,             0.28493,              0.2606,             0.13437,             0.39534,              0.2291,            0.033139,            0.005644,            0.005644,            0.005644
                  24,             0.41669,             0.16249,            0.027974,             0.38945,             0.28394,             0.26804,             0.13987,             0.39349,             0.22713,            0.032565,            0.005446,            0.005446,            0.005446
                  25,              0.4167,             0.16322,            0.027963,             0.38091,             0.28962,             0.26588,             0.13837,             0.39337,              0.2284,            0.032786,            0.005248,            0.005248,            0.005248
                  26,             0.41504,              0.1622,            0.027848,             0.37751,             0.28606,             0.26684,             0.13761,             0.39275,             0.22736,            0.032668,             0.00505,             0.00505,             0.00505
                  27,             0.41423,             0.16265,            0.027583,             0.38948,             0.28804,             0.27208,             0.14026,             0.39298,             0.22749,            0.032454,            0.004852,            0.004852,            0.004852
                  28,             0.41457,             0.16294,            0.027552,             0.39588,             0.28775,             0.27206,             0.14292,             0.39174,             0.22764,            0.032335,            0.004654,            0.004654,            0.004654
                  29,             0.41213,             0.16158,            0.027404,             0.38758,             0.29651,             0.27823,             0.14452,             0.39211,             0.22677,            0.032375,            0.004456,            0.004456,            0.004456
                  30,             0.41481,             0.16109,            0.027338,             0.38332,              0.2979,             0.27597,             0.14491,             0.39231,             0.22711,            0.032265,            0.004258,            0.004258,            0.004258
                  31,             0.41375,             0.16133,            0.027005,             0.39032,             0.29365,             0.28041,             0.14808,             0.39118,             0.22694,            0.032081,             0.00406,             0.00406,             0.00406
                  32,             0.41211,             0.16069,            0.027186,             0.39326,             0.29323,              0.2791,             0.14703,              0.3913,             0.22677,            0.032141,            0.003862,            0.003862,            0.003862
                  33,              0.4123,             0.15968,            0.027048,             0.39729,              0.2997,             0.28052,             0.14832,             0.39051,             0.22673,            0.032072,            0.003664,            0.003664,            0.003664
                  34,             0.41154,             0.16079,            0.026762,             0.39273,             0.29894,             0.28282,             0.15074,             0.39027,             0.22723,            0.032147,            0.003466,            0.003466,            0.003466
                  35,             0.41083,             0.15946,            0.026607,             0.40561,             0.29743,             0.28304,             0.14915,             0.39018,             0.22655,            0.032157,            0.003268,            0.003268,            0.003268
                  36,             0.40901,             0.16037,            0.026604,             0.39792,             0.30116,             0.28586,             0.15187,             0.38998,             0.22703,            0.032029,             0.00307,             0.00307,             0.00307
                  37,             0.40977,             0.15879,            0.026401,             0.39555,             0.30212,             0.28478,             0.15026,             0.38954,             0.22694,            0.031955,            0.002872,            0.002872,            0.002872
                  38,             0.40887,             0.15853,            0.026296,             0.38886,             0.30557,             0.28603,             0.15201,              0.3895,             0.22661,             0.03181,            0.002674,            0.002674,            0.002674
                  39,             0.40953,             0.15953,            0.026335,             0.39635,              0.3058,             0.29223,             0.15542,             0.38911,             0.22602,            0.031886,            0.002476,            0.002476,            0.002476
                  40,             0.40899,             0.15735,             0.02624,              0.4122,             0.30323,              0.2913,             0.15537,             0.38899,             0.22681,             0.03192,            0.002278,            0.002278,            0.002278
                  41,             0.40866,             0.15892,            0.026097,             0.40223,             0.30506,             0.29001,             0.15577,             0.38825,             0.22537,            0.031862,             0.00208,             0.00208,             0.00208
                  42,             0.40729,             0.15736,             0.02619,             0.39314,             0.31266,              0.2928,             0.15729,             0.38895,             0.22633,             0.03181,            0.001882,            0.001882,            0.001882
                  43,             0.40873,             0.15819,            0.026027,             0.39116,             0.30768,             0.29183,             0.15561,              0.3884,             0.22583,            0.031762,            0.001684,            0.001684,            0.001684
