               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13888,             0.12368,            0.053282,            0.030746,            0.084764,            0.028192,           0.0076313,             0.12541,             0.20561,            0.049015,            0.070148,           0.0033169,           0.0033169
                   1,             0.12236,             0.14459,             0.04148,             0.46176,             0.14833,            0.068743,            0.024087,             0.11477,              0.2154,            0.041409,            0.040016,           0.0065186,           0.0065186
                   2,             0.11621,             0.15722,            0.037848,             0.47734,             0.17452,            0.095428,            0.037639,             0.11014,             0.22622,            0.039911,           0.0097524,           0.0095882,           0.0095882
                   3,             0.11265,             0.15971,            0.036276,             0.42934,             0.18246,             0.11687,            0.047284,             0.10731,             0.22446,            0.038218,            0.009406,            0.009406,            0.009406
                   4,             0.11062,             0.16294,            0.034655,              0.4716,             0.17469,             0.12791,            0.054628,             0.10612,             0.22555,            0.037246,            0.009406,            0.009406,            0.009406
                   5,             0.10892,             0.16323,            0.033548,             0.46575,             0.19586,             0.14383,            0.060383,             0.10516,             0.22504,             0.03687,            0.009208,            0.009208,            0.009208
                   6,             0.10765,              0.1607,            0.032929,              0.5038,             0.19204,             0.15612,            0.068659,             0.10416,             0.22535,            0.035982,             0.00901,             0.00901,             0.00901
                   7,             0.10727,             0.16278,            0.032107,             0.51148,             0.20466,             0.17046,            0.076409,             0.10321,             0.22486,            0.035606,            0.008812,            0.008812,            0.008812
                   8,             0.10661,             0.16228,            0.031502,             0.52265,             0.21122,             0.17509,             0.07846,             0.10308,             0.22537,            0.035964,            0.008614,            0.008614,            0.008614
                   9,             0.10589,             0.16193,            0.031193,             0.51523,              0.2166,             0.18034,            0.081938,             0.10228,              0.2257,            0.035243,            0.008416,            0.008416,            0.008416
                  10,             0.10539,             0.16275,             0.03084,             0.53705,              0.2241,             0.19588,            0.089853,             0.10215,             0.22612,            0.034568,            0.008218,            0.008218,            0.008218
                  11,             0.10487,              0.1619,              0.0307,              0.4365,             0.22228,             0.19952,            0.092686,             0.10181,             0.22461,            0.035037,             0.00802,             0.00802,             0.00802
                  12,             0.10465,             0.16103,            0.030327,             0.48018,             0.21639,             0.19954,            0.092889,             0.10148,             0.22382,            0.034094,            0.007822,            0.007822,            0.007822
                  13,             0.10422,             0.16048,            0.030008,             0.39847,             0.22473,             0.20672,            0.098557,             0.10115,             0.22381,            0.034128,            0.007624,            0.007624,            0.007624
                  14,             0.10407,             0.15993,              0.0297,             0.38976,             0.22668,             0.20857,            0.098601,             0.10113,             0.22412,            0.033814,            0.007426,            0.007426,            0.007426
                  15,             0.10416,             0.16119,            0.029789,             0.49389,             0.23602,             0.21813,             0.10374,             0.10077,             0.22324,            0.033445,            0.007228,            0.007228,            0.007228
                  16,             0.10391,             0.16069,            0.029307,             0.29258,             0.24444,             0.21929,             0.10559,             0.10071,              0.2232,            0.033527,             0.00703,             0.00703,             0.00703
                  17,             0.10342,             0.16141,            0.029189,             0.40428,             0.24043,             0.21835,             0.10389,             0.10065,             0.22541,            0.033774,            0.006832,            0.006832,            0.006832
                  18,             0.10316,              0.1611,             0.02927,             0.32437,             0.26451,             0.22968,             0.11187,             0.10028,             0.22217,            0.033274,            0.006634,            0.006634,            0.006634
                  19,             0.10282,             0.16102,            0.028932,             0.40135,             0.24655,             0.22914,             0.10975,             0.10012,              0.2228,            0.033185,            0.006436,            0.006436,            0.006436
                  20,             0.10236,             0.15864,            0.028579,             0.31034,             0.26698,               0.233,              0.1133,            0.099957,             0.22319,            0.032968,            0.006238,            0.006238,            0.006238
                  21,             0.10228,             0.15844,            0.028245,             0.32858,             0.26693,             0.24129,             0.11869,            0.099825,             0.22251,            0.033173,             0.00604,             0.00604,             0.00604
                  22,             0.10224,             0.15735,            0.028236,             0.34871,             0.27553,             0.24127,             0.11754,            0.099748,             0.22283,            0.032811,            0.005842,            0.005842,            0.005842
                  23,             0.10216,             0.15933,            0.028218,             0.35473,             0.26773,             0.24367,              0.1194,            0.099695,             0.22237,            0.033153,            0.005644,            0.005644,            0.005644
                  24,             0.10183,             0.15751,            0.027891,             0.34253,             0.27901,             0.24732,             0.12167,            0.099469,             0.22166,            0.032671,            0.005446,            0.005446,            0.005446
                  25,             0.10195,             0.15817,            0.027938,             0.36094,             0.28508,             0.24814,             0.12345,            0.099363,             0.22172,            0.032476,            0.005248,            0.005248,            0.005248
                  26,             0.10152,             0.15716,            0.027824,             0.34395,             0.28777,             0.24701,             0.12184,            0.099213,             0.22113,            0.032535,             0.00505,             0.00505,             0.00505
                  27,             0.10142,             0.15783,            0.027599,             0.35699,             0.28441,             0.25222,             0.12433,            0.099214,             0.22175,            0.032662,            0.004852,            0.004852,            0.004852
                  28,             0.10143,             0.15799,             0.02756,             0.35198,             0.28981,             0.25622,             0.12522,            0.099091,             0.22192,            0.032123,            0.004654,            0.004654,            0.004654
                  29,             0.10099,             0.15693,            0.027394,             0.35436,             0.29203,             0.25504,             0.12818,            0.098974,             0.22156,            0.032449,            0.004456,            0.004456,            0.004456
                  30,             0.10139,             0.15644,            0.027357,             0.35888,             0.28791,             0.25728,             0.12763,            0.098964,             0.22099,            0.032299,            0.004258,            0.004258,            0.004258
                  31,             0.10123,             0.15681,             0.02706,             0.34738,             0.29375,             0.26081,              0.1303,            0.098836,              0.2214,            0.032276,             0.00406,             0.00406,             0.00406
                  32,             0.10089,             0.15598,            0.027215,             0.36354,             0.29177,             0.26015,             0.13041,            0.098781,             0.22154,            0.032251,            0.003862,            0.003862,            0.003862
                  33,             0.10091,             0.15518,             0.02709,             0.36733,             0.29445,             0.26284,             0.13103,            0.098688,             0.22121,            0.032185,            0.003664,            0.003664,            0.003664
                  34,             0.10084,              0.1565,            0.026847,             0.37178,             0.29446,             0.26648,             0.13347,            0.098713,             0.22124,            0.032205,            0.003466,            0.003466,            0.003466
                  35,              0.1006,              0.1551,            0.026677,             0.37306,             0.29223,              0.2671,             0.13429,            0.098589,             0.22067,            0.032104,            0.003268,            0.003268,            0.003268
                  36,             0.10024,             0.15602,            0.026715,              0.3585,             0.29832,             0.26394,             0.13271,            0.098594,             0.22125,            0.032197,             0.00307,             0.00307,             0.00307
                  37,             0.10034,             0.15455,            0.026476,             0.36951,             0.29573,             0.26536,             0.13364,            0.098464,             0.22083,            0.032114,            0.002872,            0.002872,            0.002872
                  38,             0.10016,             0.15437,            0.026368,             0.36765,             0.30269,             0.27243,             0.13773,            0.098393,             0.22094,            0.031803,            0.002674,            0.002674,            0.002674
                  39,             0.10031,             0.15523,            0.026384,              0.3707,             0.30344,             0.27328,             0.13816,            0.098355,             0.22083,            0.031957,            0.002476,            0.002476,            0.002476
                  40,             0.10012,             0.15335,            0.026328,             0.37109,             0.29957,              0.2694,             0.13655,            0.098322,             0.22087,            0.032013,            0.002278,            0.002278,            0.002278
                  41,             0.10024,             0.15505,            0.026256,             0.37383,             0.30609,             0.27464,             0.13887,            0.098233,             0.22088,            0.031885,             0.00208,             0.00208,             0.00208
                  42,            0.099815,             0.15338,            0.026294,             0.36949,             0.30559,             0.27332,             0.13913,             0.09824,             0.22072,            0.031933,            0.001882,            0.001882,            0.001882
                  43,             0.10007,             0.15432,            0.026157,             0.36548,              0.3046,             0.27535,             0.14064,            0.098177,             0.22035,            0.031851,            0.001684,            0.001684,            0.001684
                  44,            0.099182,             0.15361,            0.025937,             0.37892,             0.30361,              0.2762,             0.14056,             0.09813,             0.22038,            0.031841,            0.001486,            0.001486,            0.001486
                  45,             0.10027,             0.15382,            0.026112,             0.37895,               0.301,             0.27818,             0.14184,             0.09813,             0.22055,             0.03182,            0.001288,            0.001288,            0.001288
                  46,            0.099342,             0.15185,            0.025936,             0.37736,             0.30579,             0.27854,             0.14232,            0.098119,             0.22039,            0.031747,             0.00109,             0.00109,             0.00109
                  47,            0.099492,             0.15241,            0.025867,             0.38109,             0.30198,             0.27754,             0.14176,            0.098074,             0.22049,            0.031703,            0.000892,            0.000892,            0.000892
                  48,            0.099416,             0.15138,            0.025505,             0.38069,             0.30801,             0.27851,             0.14268,            0.098103,             0.22032,            0.031746,            0.000694,            0.000694,            0.000694
                  49,            0.099103,             0.15411,             0.02581,             0.37992,             0.30304,             0.27791,             0.14202,            0.098056,             0.22055,            0.031746,            0.000496,            0.000496,            0.000496
