               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.55119,              0.1495,            0.053095,            0.037532,             0.11314,             0.04474,            0.014962,             0.47767,             0.23002,            0.049105,            0.070148,           0.0033169,           0.0033169
                   1,              0.4888,             0.16585,            0.043717,             0.25908,             0.15398,            0.073355,            0.027854,             0.44962,             0.23437,            0.043557,            0.040016,           0.0065186,           0.0065186
                   2,             0.47495,             0.16921,            0.040334,             0.47802,             0.17972,            0.095332,            0.036168,             0.43999,             0.23754,            0.041239,           0.0097524,           0.0095882,           0.0095882
                   3,             0.46382,             0.17132,            0.038146,             0.49287,             0.20028,             0.11051,            0.047578,             0.42532,             0.23582,            0.040382,            0.009406,            0.009406,            0.009406
                   4,             0.45461,             0.17181,            0.036961,             0.42869,             0.20785,             0.12015,             0.05491,             0.41973,             0.23632,            0.039333,            0.009406,            0.009406,            0.009406
                   5,             0.44725,             0.17257,            0.036174,             0.45327,              0.2148,             0.12744,            0.057736,             0.41695,             0.23698,            0.039056,            0.009208,            0.009208,            0.009208
                   6,             0.44376,               0.171,            0.035452,             0.45045,             0.21691,             0.13505,            0.062221,             0.41292,              0.2362,            0.038584,             0.00901,             0.00901,             0.00901
                   7,             0.43969,             0.17007,            0.034854,             0.46352,             0.20921,             0.14269,            0.065647,             0.41213,              0.2343,            0.037965,            0.008812,            0.008812,            0.008812
                   8,             0.43841,             0.17111,            0.034491,             0.36945,             0.22221,             0.14917,            0.069294,             0.40876,             0.23447,             0.03753,            0.008614,            0.008614,            0.008614
                   9,             0.43516,             0.17048,            0.034237,             0.47774,             0.22158,              0.1581,            0.073559,             0.40694,             0.23407,            0.037133,            0.008416,            0.008416,            0.008416
                  10,             0.43336,              0.1701,            0.033468,              0.4856,             0.22001,             0.16544,            0.077156,             0.40527,             0.23405,            0.036693,            0.008218,            0.008218,            0.008218
                  11,             0.43018,              0.1688,            0.033171,             0.39533,             0.21876,             0.17413,            0.081946,             0.40336,             0.23317,            0.036078,             0.00802,             0.00802,             0.00802
                  12,             0.43035,             0.17026,            0.032669,             0.52229,             0.22088,             0.18306,            0.086858,             0.40277,             0.23199,            0.036061,            0.007822,            0.007822,            0.007822
                  13,              0.4277,              0.1686,             0.03226,             0.52843,             0.22177,             0.18785,            0.089215,             0.40256,             0.23387,            0.035657,            0.007624,            0.007624,            0.007624
                  14,             0.42749,             0.16779,            0.031921,             0.53175,             0.22581,             0.19228,            0.092626,             0.39994,             0.23254,            0.035263,            0.007426,            0.007426,            0.007426
                  15,             0.42582,             0.17052,            0.031661,             0.55191,              0.2223,              0.2031,            0.098037,             0.39908,             0.23153,            0.034841,            0.007228,            0.007228,            0.007228
                  16,             0.42549,             0.16833,            0.031231,             0.44278,             0.23069,             0.20668,             0.10073,              0.3986,             0.23139,            0.035302,             0.00703,             0.00703,             0.00703
                  17,             0.42413,             0.16775,            0.031125,              0.5599,             0.22833,             0.21397,             0.10453,             0.39834,             0.23151,            0.034631,            0.006832,            0.006832,            0.006832
                  18,             0.42325,             0.16677,            0.030624,             0.43284,             0.23139,             0.21417,              0.1055,             0.39691,             0.23124,            0.034297,            0.006634,            0.006634,            0.006634
                  19,             0.42252,             0.16579,            0.030774,             0.50215,             0.23325,             0.21593,             0.10627,             0.39593,             0.23095,            0.034275,            0.006436,            0.006436,            0.006436
                  20,             0.42254,             0.16708,            0.030477,             0.46447,             0.23204,             0.22274,             0.11066,             0.39541,             0.23047,            0.034224,            0.006238,            0.006238,            0.006238
                  21,             0.42199,             0.16566,            0.030371,             0.41263,             0.24212,             0.22445,             0.11142,             0.39491,              0.2301,            0.033949,             0.00604,             0.00604,             0.00604
                  22,             0.42068,             0.16692,            0.030119,             0.52032,             0.23897,             0.22867,             0.11314,             0.39463,             0.23072,            0.033632,            0.005842,            0.005842,            0.005842
                  23,             0.41686,             0.16533,            0.029804,              0.5099,             0.24093,             0.22936,             0.11509,             0.39359,             0.23018,            0.033881,            0.005644,            0.005644,            0.005644
                  24,             0.41675,             0.16425,            0.029953,             0.52441,             0.24442,              0.2338,             0.11676,             0.39399,             0.22889,            0.033553,            0.005446,            0.005446,            0.005446
                  25,             0.41661,              0.1677,            0.029673,             0.42732,             0.24703,             0.23787,             0.11898,             0.39339,             0.22917,            0.033458,            0.005248,            0.005248,            0.005248
                  26,             0.41653,             0.16519,             0.02972,             0.33635,              0.2541,             0.23757,             0.11956,             0.39281,             0.22834,            0.033287,             0.00505,             0.00505,             0.00505
                  27,             0.41561,             0.16484,            0.029395,             0.33836,             0.25573,             0.23862,             0.11989,             0.39285,             0.22936,            0.033402,            0.004852,            0.004852,            0.004852
                  28,             0.41483,             0.16415,            0.029332,             0.31299,             0.25489,             0.23873,             0.11963,               0.392,             0.22941,            0.033153,            0.004654,            0.004654,            0.004654
                  29,             0.41494,             0.16335,            0.029034,             0.43527,             0.24961,             0.24157,             0.12193,             0.39175,             0.22896,            0.033123,            0.004456,            0.004456,            0.004456
                  30,             0.41276,             0.16372,            0.029125,             0.35564,             0.26178,             0.24656,             0.12373,             0.39138,             0.22894,            0.033092,            0.004258,            0.004258,            0.004258
                  31,             0.41418,             0.16412,            0.028836,             0.35706,             0.26375,              0.2473,             0.12608,             0.39086,             0.22814,             0.03279,             0.00406,             0.00406,             0.00406
                  32,             0.41488,             0.16326,            0.028755,             0.33861,             0.26896,              0.2483,             0.12609,             0.39096,             0.22796,            0.032745,            0.003862,            0.003862,            0.003862
                  33,             0.41117,              0.1619,            0.028298,             0.34379,             0.26413,             0.24831,             0.12664,             0.39073,             0.22875,            0.032899,            0.003664,            0.003664,            0.003664
                  34,             0.41195,             0.16212,            0.028419,             0.33568,             0.26711,             0.25042,             0.12761,             0.39015,             0.22841,            0.032877,            0.003466,            0.003466,            0.003466
                  35,             0.41094,             0.16283,            0.028507,             0.37257,             0.27171,             0.25318,             0.12977,             0.39031,             0.22827,            0.032756,            0.003268,            0.003268,            0.003268
                  36,             0.40998,             0.16067,            0.028218,             0.36965,             0.27634,             0.25557,             0.13021,             0.38926,             0.22766,            0.032689,             0.00307,             0.00307,             0.00307
                  37,             0.40968,             0.16104,            0.028154,              0.3651,             0.27634,             0.25593,             0.13096,             0.38986,             0.22757,             0.03256,            0.002872,            0.002872,            0.002872
                  38,              0.4068,             0.16275,            0.028087,             0.34929,             0.27817,             0.25783,              0.1317,             0.38923,             0.22752,            0.032623,            0.002674,            0.002674,            0.002674
                  39,             0.40939,             0.16045,            0.027948,             0.35593,             0.28025,             0.26029,             0.13329,             0.38906,             0.22729,            0.032564,            0.002476,            0.002476,            0.002476
                  40,             0.41043,             0.16032,            0.028052,             0.35237,             0.29009,             0.26163,             0.13385,             0.38878,             0.22799,            0.032363,            0.002278,            0.002278,            0.002278
                  41,             0.40725,             0.16032,            0.027866,             0.35827,             0.28248,             0.26273,             0.13514,             0.38832,             0.22721,            0.032304,             0.00208,             0.00208,             0.00208
                  42,             0.40839,             0.15984,             0.02784,             0.35172,             0.28694,             0.26113,             0.13543,             0.38864,             0.22769,            0.032398,            0.001882,            0.001882,            0.001882
                  43,             0.41008,             0.16139,            0.027826,             0.35437,             0.28941,             0.26351,             0.13542,             0.38874,             0.22776,            0.032333,            0.001684,            0.001684,            0.001684
                  44,             0.40732,             0.15934,             0.02765,             0.34777,             0.29147,             0.26375,             0.13476,             0.38822,             0.22778,            0.032346,            0.001486,            0.001486,            0.001486
                  45,             0.40574,             0.15958,            0.027283,             0.35384,             0.29456,             0.26341,             0.13526,              0.3883,             0.22769,            0.032343,            0.001288,            0.001288,            0.001288
                  46,             0.40816,             0.15882,             0.02762,             0.35751,              0.2928,             0.26338,             0.13573,             0.38807,             0.22754,            0.032227,             0.00109,             0.00109,             0.00109
                  47,             0.40679,             0.15888,            0.027391,              0.3693,             0.28418,             0.26554,             0.13722,               0.388,             0.22757,             0.03227,            0.000892,            0.000892,            0.000892
                  48,             0.40752,             0.15758,            0.027329,             0.36353,             0.29228,             0.26579,             0.13696,             0.38779,             0.22727,            0.032251,            0.000694,            0.000694,            0.000694
