               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13103,                0.13,            0.048962,             0.37099,             0.15046,            0.084338,            0.034434,             0.10952,             0.22367,             0.04221,            0.070056,           0.0033272,           0.0033272
                   1,             0.11244,             0.16445,            0.038199,             0.21156,             0.18892,             0.10717,            0.044713,              0.1061,             0.22999,            0.039677,             0.03999,           0.0065946,           0.0065946
                   2,             0.11023,             0.16738,            0.035953,              0.3617,             0.18602,             0.13735,            0.061372,              0.1038,             0.22837,            0.037419,           0.0098577,           0.0097959,           0.0097959
                   3,             0.10823,             0.16792,            0.034211,             0.39817,             0.19598,             0.16406,            0.077754,             0.10213,             0.22666,            0.036563,            0.009703,            0.009703,            0.009703
                   4,             0.10657,             0.16966,            0.032681,             0.43648,             0.20262,             0.17737,            0.084907,             0.10104,             0.22701,            0.035488,            0.009703,            0.009703,            0.009703
                   5,             0.10519,               0.167,            0.031806,             0.44537,             0.21281,             0.18799,            0.089531,             0.10097,             0.22843,            0.034954,            0.009604,            0.009604,            0.009604
                   6,             0.10428,             0.16514,             0.03116,             0.43354,              0.2236,             0.20215,            0.098191,            0.099822,             0.22651,            0.034105,            0.009505,            0.009505,            0.009505
                   7,             0.10401,             0.16652,             0.03054,             0.38609,             0.22957,             0.20735,             0.10021,            0.099567,             0.22718,            0.033979,            0.009406,            0.009406,            0.009406
                   8,             0.10347,             0.16613,            0.029957,             0.30689,              0.2444,             0.22027,             0.10861,            0.099173,             0.22753,            0.033845,            0.009307,            0.009307,            0.009307
                   9,             0.10278,              0.1652,            0.029674,             0.29506,             0.24945,             0.22323,             0.11085,            0.098836,             0.22735,            0.033478,            0.009208,            0.009208,            0.009208
                  10,             0.10242,             0.16542,            0.029351,             0.33287,             0.26506,             0.23395,             0.11605,            0.098598,             0.22609,            0.033228,            0.009109,            0.009109,            0.009109
                  11,             0.10195,             0.16337,            0.029077,             0.31929,             0.27263,             0.23987,              0.1207,            0.098322,             0.22503,            0.033013,             0.00901,             0.00901,             0.00901
                  12,             0.10188,             0.16381,            0.028771,             0.35944,             0.25852,             0.23492,             0.11851,            0.098133,             0.22519,            0.033382,            0.008911,            0.008911,            0.008911
                  13,             0.10141,             0.16222,            0.028587,             0.34535,             0.27935,             0.24413,             0.12305,            0.097971,             0.22419,            0.033017,            0.008812,            0.008812,            0.008812
                  14,             0.10137,             0.16162,            0.028149,             0.35043,              0.2864,             0.25414,             0.12779,            0.097921,             0.22419,            0.032505,            0.008713,            0.008713,            0.008713
                  15,             0.10141,             0.16269,            0.028277,             0.34841,             0.27993,             0.25804,             0.13019,            0.097768,             0.22471,            0.032635,            0.008614,            0.008614,            0.008614
