               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12433,             0.06151,            0.053791,            0.027402,            0.083872,            0.029413,           0.0090557,             0.10927,            0.081039,            0.049904,            0.070056,           0.0033272,           0.0033272
                   1,             0.10366,            0.056649,            0.041596,              0.4593,             0.16401,            0.078321,               0.025,            0.097268,            0.079395,            0.040057,             0.03999,           0.0065946,           0.0065946
                   2,            0.097349,             0.05743,             0.03686,             0.37193,              0.2051,             0.10399,            0.044657,            0.089517,             0.07921,            0.037864,           0.0098577,           0.0097959,           0.0097959
                   3,            0.093098,            0.057198,            0.034639,             0.46316,             0.21643,             0.15402,            0.069481,            0.085678,            0.078206,            0.035555,            0.009703,            0.009703,            0.009703
                   4,            0.090378,            0.057791,            0.032399,             0.51102,             0.21545,             0.17687,            0.081698,            0.084127,            0.077403,            0.033974,            0.009703,            0.009703,            0.009703
                   5,            0.088724,            0.056441,            0.031198,             0.52735,             0.22525,             0.18968,             0.08664,            0.083742,            0.077004,            0.033259,            0.009604,            0.009604,            0.009604
                   6,             0.08735,            0.055762,            0.030353,             0.54845,             0.23186,             0.20683,            0.098549,            0.082228,            0.076756,            0.032237,            0.009505,            0.009505,            0.009505
                   7,            0.086529,            0.056297,            0.029536,             0.54783,              0.2358,             0.21311,            0.099202,            0.082127,            0.076396,            0.032164,            0.009406,            0.009406,            0.009406
                   8,            0.085949,            0.055968,            0.028875,             0.56311,             0.24335,             0.22312,             0.10961,            0.080765,            0.076478,            0.031854,            0.009307,            0.009307,            0.009307
                   9,            0.085141,            0.055588,            0.028472,             0.57609,             0.25301,             0.23928,             0.11809,            0.080487,            0.075784,             0.03163,            0.009208,            0.009208,            0.009208
                  10,            0.084619,            0.055665,            0.028213,             0.55091,             0.25786,             0.24871,             0.12292,            0.080266,            0.075758,             0.03101,            0.009109,            0.009109,            0.009109
                  11,             0.08408,             0.05482,            0.027795,             0.53892,             0.26577,             0.25322,             0.12678,            0.079714,            0.075412,            0.030865,             0.00901,             0.00901,             0.00901
                  12,            0.083828,             0.05499,            0.027448,             0.45872,              0.2541,             0.25412,             0.12891,            0.079601,            0.075464,            0.031035,            0.008911,            0.008911,            0.008911
                  13,            0.083355,            0.054385,            0.027152,             0.33957,             0.27624,             0.26765,             0.13635,            0.079349,            0.075324,            0.030334,            0.008812,            0.008812,            0.008812
