               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12391,             0.05909,            0.052274,            0.036609,            0.092016,              0.0371,            0.012044,             0.10847,            0.077508,            0.048419,            0.070056,           0.0033272,           0.0033272
                   1,             0.10312,            0.056261,            0.041379,             0.46778,              0.1698,            0.086096,            0.030719,            0.095615,            0.078907,             0.03993,             0.03999,           0.0065946,           0.0065946
                   2,            0.097232,             0.05731,            0.036628,             0.37932,             0.21008,             0.10825,             0.04665,            0.090086,            0.079011,            0.037365,           0.0098577,           0.0097959,           0.0097959
                   3,            0.092652,            0.057318,            0.034325,             0.37108,             0.21478,             0.15911,            0.072329,            0.085605,            0.077816,            0.035254,            0.009703,            0.009703,            0.009703
                   4,            0.090007,            0.057861,            0.032098,             0.50681,             0.21882,             0.17957,             0.08374,             0.08392,            0.077676,            0.033746,            0.009703,            0.009703,            0.009703
                   5,            0.088359,            0.056527,            0.030828,              0.5282,             0.23209,               0.194,            0.090196,            0.083441,            0.077001,             0.03286,            0.009604,            0.009604,            0.009604
                   6,            0.087056,            0.055839,            0.029978,             0.55386,             0.23954,             0.21155,              0.1025,             0.08199,            0.076779,            0.032019,            0.009505,            0.009505,            0.009505
                   7,            0.086206,            0.056405,            0.029197,             0.55557,             0.23834,             0.21701,              0.1006,            0.082223,            0.076606,            0.031784,            0.009406,            0.009406,            0.009406
                   8,            0.085637,            0.056078,            0.028563,             0.57237,             0.24653,             0.23203,             0.11277,            0.080692,            0.076758,            0.031395,            0.009307,            0.009307,            0.009307
                   9,            0.084769,            0.055673,            0.028156,             0.56354,             0.26084,             0.24414,             0.12148,             0.08022,            0.076058,            0.031183,            0.009208,            0.009208,            0.009208
                  10,            0.084352,            0.055738,             0.02784,             0.36203,             0.27305,             0.25259,             0.12578,            0.080049,            0.075752,            0.030725,            0.009109,            0.009109,            0.009109
                  11,            0.083784,            0.054914,            0.027439,             0.43268,             0.27835,             0.25608,             0.12847,            0.079645,            0.075485,            0.030512,             0.00901,             0.00901,             0.00901
                  12,            0.083589,            0.055092,             0.02704,             0.34982,              0.2682,             0.25827,             0.13091,            0.079389,            0.075586,            0.030601,            0.008911,            0.008911,            0.008911
                  13,            0.083065,            0.054494,            0.026757,              0.3519,               0.287,             0.27309,             0.13947,            0.079087,            0.075303,            0.030039,            0.008812,            0.008812,            0.008812
                  14,            0.082679,            0.054377,            0.026297,             0.36685,             0.30438,             0.27972,              0.1432,            0.078931,            0.075096,            0.029666,            0.008713,            0.008713,            0.008713
                  15,             0.08274,            0.054685,            0.026287,             0.38078,             0.30096,             0.28272,             0.14357,            0.078733,            0.075217,            0.029967,            0.008614,            0.008614,            0.008614
                  16,            0.082281,            0.054805,            0.025692,             0.35994,             0.31696,             0.28894,             0.14703,            0.078701,             0.07526,            0.029579,            0.008515,            0.008515,            0.008515
                  17,            0.082014,            0.054855,            0.025644,             0.37105,             0.32882,             0.29776,             0.15487,            0.078084,            0.074947,            0.029246,            0.008416,            0.008416,            0.008416
                  18,            0.081965,              0.0544,             0.02563,             0.37851,             0.32452,             0.30102,             0.15671,            0.078096,            0.075036,             0.02916,            0.008317,            0.008317,            0.008317
                  19,            0.081506,            0.054288,            0.025223,             0.39533,             0.32905,               0.305,             0.15701,            0.077914,            0.075054,            0.029071,            0.008218,            0.008218,            0.008218
                  20,            0.081032,            0.053507,            0.024944,             0.38069,              0.3328,             0.30867,             0.15884,            0.077957,            0.074987,            0.028994,            0.008119,            0.008119,            0.008119
