               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.51897,            0.070794,            0.052818,            0.040339,             0.13045,            0.055811,            0.022754,             0.42709,            0.086161,            0.049467,            0.070056,           0.0033272,           0.0033272
                   1,              0.4417,            0.062314,            0.045054,            0.062678,             0.16612,            0.081995,            0.035071,             0.39672,            0.084766,            0.045066,             0.03999,           0.0065946,           0.0065946
                   2,             0.42597,            0.061534,            0.041189,             0.18184,             0.20344,             0.10971,            0.046902,             0.38512,             0.08357,            0.041425,           0.0098577,           0.0097959,           0.0097959
                   3,              0.4136,            0.060935,            0.038362,             0.30255,             0.22519,             0.12519,            0.056148,             0.37363,            0.081284,            0.039085,            0.009703,            0.009703,            0.009703
                   4,             0.40324,            0.061147,            0.036289,             0.32766,             0.23287,             0.13629,            0.063708,              0.3681,            0.081608,            0.037731,            0.009703,            0.009703,            0.009703
                   5,             0.39546,            0.059595,            0.035169,             0.46907,             0.23813,             0.15107,            0.069739,             0.36288,             0.08043,            0.037111,            0.009604,            0.009604,            0.009604
                   6,             0.39066,            0.058801,            0.034451,             0.37719,             0.24847,             0.16437,            0.080237,             0.35797,            0.079954,            0.036283,            0.009505,            0.009505,            0.009505
                   7,             0.38761,            0.059245,            0.033704,             0.48643,             0.23788,             0.17623,            0.085621,             0.35563,            0.079325,            0.035702,            0.009406,            0.009406,            0.009406
                   8,             0.38418,            0.058866,            0.032961,             0.38697,             0.24257,             0.18157,            0.090188,             0.35304,            0.078977,            0.035367,            0.009307,            0.009307,            0.009307
                   9,             0.38041,            0.058383,            0.032537,             0.50758,             0.23427,             0.19486,            0.096388,             0.34998,            0.079101,            0.034738,            0.009208,            0.009208,            0.009208
                  10,             0.37786,            0.058286,            0.032118,             0.41705,             0.24342,             0.20337,            0.098964,             0.35095,            0.078424,            0.034319,            0.009109,            0.009109,            0.009109
                  11,             0.37507,            0.057478,            0.031658,             0.44139,             0.23806,             0.21418,             0.10758,             0.34666,            0.077657,            0.033691,             0.00901,             0.00901,             0.00901
                  12,             0.37438,            0.057644,            0.031135,             0.56835,             0.23462,             0.21714,             0.11002,             0.34626,            0.077926,            0.033307,            0.008911,            0.008911,            0.008911
                  13,             0.37165,            0.056999,            0.030711,             0.45889,             0.24203,             0.22733,              0.1159,             0.34444,            0.077679,            0.032837,            0.008812,            0.008812,            0.008812
                  14,             0.37076,            0.056859,            0.030237,             0.46711,             0.24443,             0.22821,             0.11596,             0.34331,             0.07732,            0.032627,            0.008713,            0.008713,            0.008713
                  15,             0.37059,             0.05707,            0.030238,             0.47914,             0.25074,             0.23778,             0.12082,              0.3428,             0.07711,            0.032533,            0.008614,            0.008614,            0.008614
                  16,             0.36782,            0.057176,            0.029562,             0.55814,             0.24922,             0.24287,             0.12388,             0.34163,            0.077007,             0.03216,            0.008515,            0.008515,            0.008515
                  17,             0.36653,             0.05722,            0.029547,             0.43841,             0.25961,              0.2483,             0.12846,                0.34,            0.076865,            0.031966,            0.008416,            0.008416,            0.008416
                  18,             0.36623,            0.056659,            0.029503,             0.54626,             0.25653,              0.2509,             0.12982,             0.34033,            0.076857,            0.031829,            0.008317,            0.008317,            0.008317
                  19,             0.36376,            0.056554,            0.029088,             0.41992,             0.26415,             0.25684,             0.13313,             0.33792,            0.076781,            0.031496,            0.008218,            0.008218,            0.008218
                  20,             0.36139,             0.05575,            0.028827,             0.41699,             0.26397,             0.25387,              0.1305,             0.33799,            0.076652,            0.031644,            0.008119,            0.008119,            0.008119
                  21,             0.36196,            0.055902,            0.028412,             0.54858,              0.2657,             0.26437,             0.13872,             0.33745,             0.07629,            0.031475,             0.00802,             0.00802,             0.00802
                  22,             0.36161,            0.055507,            0.028448,             0.36911,             0.27409,             0.26557,             0.13922,             0.33726,             0.07656,             0.03145,            0.007921,            0.007921,            0.007921
                  23,             0.36001,            0.055802,            0.028199,              0.3496,             0.28829,              0.2709,             0.14041,             0.33674,            0.076134,            0.031202,            0.007822,            0.007822,            0.007822
                  24,              0.3597,            0.055503,            0.028044,             0.37274,             0.28796,             0.27377,             0.14056,             0.33586,            0.076092,            0.031017,            0.007723,            0.007723,            0.007723
                  25,             0.35954,            0.055917,            0.027812,             0.38091,             0.27726,             0.27579,              0.1456,             0.33578,            0.076415,            0.031012,            0.007624,            0.007624,            0.007624
                  26,             0.35782,            0.054773,             0.02767,             0.34958,             0.29153,             0.28189,             0.14783,             0.33492,            0.075884,            0.030744,            0.007525,            0.007525,            0.007525
                  27,             0.35723,            0.055683,            0.027509,             0.36786,             0.29476,             0.27959,             0.14666,             0.33477,            0.075639,            0.030728,            0.007426,            0.007426,            0.007426
                  28,             0.35714,            0.055388,            0.027323,             0.36012,             0.30494,             0.28274,             0.14898,             0.33412,            0.075984,            0.030657,            0.007327,            0.007327,            0.007327
                  29,             0.35494,            0.055099,            0.027123,             0.35648,             0.30784,             0.28193,             0.14856,             0.33339,            0.075762,            0.030618,            0.007228,            0.007228,            0.007228
