               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1245,             0.06144,            0.053853,            0.025914,            0.078925,             0.02485,           0.0073377,             0.11055,             0.08568,            0.050872,            0.070074,           0.0033251,           0.0033251
                   1,             0.10387,            0.056663,            0.041565,             0.47073,             0.17035,            0.088534,            0.036422,            0.094459,            0.079041,            0.040496,            0.040008,           0.0065925,           0.0065925
                   2,             0.09754,            0.057209,            0.036681,             0.26915,             0.19377,            0.096438,            0.038469,            0.092822,            0.078391,            0.038073,           0.0098762,           0.0097939,           0.0097939
                   3,            0.093794,            0.057576,            0.034544,             0.45605,             0.20399,              0.1458,            0.061209,            0.087856,            0.077405,            0.035499,            0.009703,            0.009703,            0.009703
                   4,            0.090808,            0.057401,            0.032378,             0.49792,             0.20161,             0.16347,            0.067089,            0.086949,             0.07729,            0.034094,            0.009703,            0.009703,            0.009703
                   5,            0.088694,            0.056338,            0.031147,             0.52691,             0.22226,             0.19359,            0.091693,            0.083853,            0.076658,            0.033213,            0.009604,            0.009604,            0.009604
                   6,             0.08761,            0.055772,            0.030284,             0.54352,             0.22525,             0.20645,            0.098107,            0.082951,            0.076185,            0.032418,            0.009505,            0.009505,            0.009505
                   7,            0.086839,            0.056117,            0.029415,             0.55835,              0.2328,             0.21575,             0.10475,            0.082076,            0.076339,            0.032091,            0.009406,            0.009406,            0.009406
                   8,            0.086094,            0.055714,            0.028739,             0.56693,             0.22921,             0.21863,             0.10401,            0.082236,            0.076078,            0.031782,            0.009307,            0.009307,            0.009307
                   9,            0.085267,            0.055202,            0.028401,             0.49877,             0.25013,             0.23768,             0.11673,            0.081104,            0.075527,            0.031478,            0.009208,            0.009208,            0.009208
                  10,            0.084634,            0.055556,            0.028083,             0.54034,             0.25306,             0.24984,             0.12377,            0.080938,            0.075724,            0.031081,            0.009109,            0.009109,            0.009109
                  11,            0.084404,            0.054987,            0.027779,             0.53637,              0.2633,             0.25166,             0.12723,            0.080361,            0.075175,            0.031041,             0.00901,             0.00901,             0.00901
                  12,            0.084087,            0.054751,            0.027306,             0.44022,             0.26309,             0.26023,             0.13025,            0.080243,            0.075558,            0.030563,            0.008911,            0.008911,            0.008911
                  13,             0.08348,             0.05444,            0.026929,             0.34447,             0.27443,              0.2653,             0.13224,            0.079983,            0.075215,            0.030479,            0.008812,            0.008812,            0.008812
                  14,            0.083185,             0.05447,            0.026637,             0.37872,             0.28154,             0.27191,             0.13743,            0.079779,            0.075051,            0.030088,            0.008713,            0.008713,            0.008713
                  15,            0.083167,            0.054677,            0.026519,             0.36583,             0.29118,             0.27551,             0.14099,            0.079607,            0.075008,            0.030037,            0.008614,            0.008614,            0.008614
                  16,            0.082859,            0.054288,            0.026005,             0.39796,             0.29502,             0.28548,             0.14629,            0.079165,            0.074795,            0.029865,            0.008515,            0.008515,            0.008515
                  17,            0.082723,            0.054761,            0.025832,             0.41347,             0.30205,             0.28931,             0.14788,            0.079237,            0.074775,            0.029841,            0.008416,            0.008416,            0.008416
                  18,            0.082474,            0.054464,            0.025882,             0.39942,             0.30701,              0.2943,             0.14919,            0.079045,            0.074931,            0.029398,            0.008317,            0.008317,            0.008317
                  19,            0.081895,            0.054194,            0.025474,              0.3975,             0.31727,             0.29809,             0.15399,             0.07878,            0.074556,            0.029334,            0.008218,            0.008218,            0.008218
                  20,            0.081379,            0.053543,            0.025138,             0.38492,             0.31294,             0.29788,             0.15491,            0.078648,            0.074274,             0.02929,            0.008119,            0.008119,            0.008119
                  21,            0.081343,             0.05337,            0.024751,               0.385,             0.32244,             0.30767,              0.1602,            0.078458,             0.07408,            0.029157,             0.00802,             0.00802,             0.00802
                  22,            0.081325,            0.053291,             0.02471,             0.40627,             0.31884,             0.30945,             0.15993,            0.078431,            0.074335,            0.029042,            0.007921,            0.007921,            0.007921
                  23,            0.081085,            0.053795,            0.024541,             0.40911,              0.3304,               0.315,             0.16424,            0.078196,             0.07422,            0.028891,            0.007822,            0.007822,            0.007822
                  24,            0.081126,            0.053163,            0.024322,             0.42657,             0.32898,             0.31966,             0.16746,            0.078027,             0.07408,            0.028606,            0.007723,            0.007723,            0.007723
                  25,            0.080723,            0.053123,            0.024248,             0.40876,              0.3276,             0.31654,             0.16434,            0.078236,            0.074664,            0.028856,            0.007624,            0.007624,            0.007624
                  26,            0.080556,            0.052803,            0.023998,             0.40141,             0.32761,             0.31606,             0.16484,            0.077931,            0.074028,            0.029029,            0.007525,            0.007525,            0.007525
                  27,            0.080362,            0.053017,            0.023845,             0.40411,             0.33458,             0.31971,             0.16789,             0.07787,            0.073899,             0.02883,            0.007426,            0.007426,            0.007426
                  28,             0.08066,            0.053661,            0.023742,             0.41779,             0.33709,             0.32457,             0.16929,            0.077697,            0.073899,            0.028746,            0.007327,            0.007327,            0.007327
                  29,            0.080085,            0.052828,            0.023567,             0.41394,             0.34144,             0.32957,             0.17335,            0.077663,            0.073888,            0.028533,            0.007228,            0.007228,            0.007228
                  30,            0.080279,            0.052779,            0.023435,              0.4224,             0.34131,             0.32791,             0.17132,            0.077594,            0.073977,            0.028347,            0.007129,            0.007129,            0.007129
                  31,            0.080072,             0.05256,            0.023157,             0.41987,             0.34348,             0.33578,             0.17573,            0.077296,            0.073781,            0.028461,             0.00703,             0.00703,             0.00703
                  32,            0.079816,            0.052548,            0.023209,             0.42649,             0.34064,             0.33177,             0.17403,            0.077349,            0.073762,            0.028419,            0.006931,            0.006931,            0.006931
                  33,            0.079775,            0.052408,            0.023035,             0.42374,             0.34253,             0.33246,              0.1748,            0.077247,            0.073921,            0.028175,            0.006832,            0.006832,            0.006832
                  34,            0.079851,            0.052589,             0.02296,              0.4332,             0.34536,             0.33511,              0.1773,            0.077236,            0.073845,            0.028168,            0.006733,            0.006733,            0.006733
                  35,             0.07945,            0.052197,            0.022735,              0.4316,              0.3438,             0.33432,             0.17712,            0.077165,            0.073507,            0.028209,            0.006634,            0.006634,            0.006634
                  36,            0.079223,            0.052631,            0.022704,             0.42547,              0.3495,             0.33655,             0.17811,            0.076994,            0.073825,            0.028176,            0.006535,            0.006535,            0.006535
                  37,            0.079168,            0.052022,            0.022661,             0.43537,             0.34849,             0.34217,             0.18186,            0.076883,            0.073911,            0.027948,            0.006436,            0.006436,            0.006436
                  38,            0.079201,            0.052161,            0.022413,             0.44328,             0.34524,             0.34492,             0.18196,            0.076742,            0.073519,             0.02779,            0.006337,            0.006337,            0.006337
                  39,             0.07915,             0.05256,             0.02229,              0.4472,             0.35093,             0.34922,             0.18564,            0.076785,            0.073613,            0.027931,            0.006238,            0.006238,            0.006238
                  40,            0.078844,            0.051604,            0.022345,             0.44347,             0.34887,             0.34492,             0.18306,            0.076739,            0.073486,            0.028053,            0.006139,            0.006139,            0.006139
                  41,            0.078949,            0.052382,            0.022189,             0.43692,             0.35556,             0.34921,             0.18395,            0.076678,            0.073648,            0.027758,             0.00604,             0.00604,             0.00604
                  42,            0.078698,            0.051717,            0.022191,             0.45032,             0.34989,              0.3456,             0.18241,            0.076659,            0.073403,            0.027718,            0.005941,            0.005941,            0.005941
                  43,            0.078614,            0.051955,            0.022101,              0.4414,             0.35462,             0.34654,             0.18503,            0.076545,            0.073652,            0.027791,            0.005842,            0.005842,            0.005842
                  44,            0.078322,            0.051778,            0.021775,             0.45921,             0.34945,             0.35038,             0.18718,            0.076453,            0.073446,            0.027673,            0.005743,            0.005743,            0.005743
                  45,            0.078914,             0.05232,            0.021942,             0.45938,             0.34414,             0.35148,             0.18735,            0.076543,            0.073598,            0.027704,            0.005644,            0.005644,            0.005644
                  46,            0.077943,            0.051082,            0.021726,             0.44235,             0.35867,             0.35401,             0.18806,            0.076414,            0.073461,            0.027644,            0.005545,            0.005545,            0.005545
                  47,            0.078143,             0.05148,            0.021695,             0.45175,              0.3527,             0.34754,             0.18565,            0.076427,            0.073555,            0.027828,            0.005446,            0.005446,            0.005446
                  48,            0.078182,            0.051094,            0.021378,             0.45634,             0.34953,              0.3526,             0.18884,            0.076397,            0.073463,            0.027671,            0.005347,            0.005347,            0.005347
                  49,            0.077813,            0.051766,            0.021539,             0.45904,             0.35938,             0.35935,             0.19166,            0.076205,             0.07346,            0.027433,            0.005248,            0.005248,            0.005248
                  50,             0.07787,            0.051424,            0.021535,             0.46024,              0.3532,             0.35478,             0.19059,            0.076232,            0.073282,            0.027549,            0.005149,            0.005149,            0.005149
                  51,            0.078074,             0.05115,            0.021298,             0.45301,             0.36126,             0.35563,             0.19196,            0.076205,            0.073437,            0.027471,             0.00505,             0.00505,             0.00505
                  52,            0.077576,            0.051126,            0.021293,             0.45366,             0.35728,             0.35654,             0.19081,            0.076105,            0.073368,            0.027522,            0.004951,            0.004951,            0.004951
                  53,            0.077959,            0.051219,            0.021273,             0.45462,             0.35925,             0.35827,             0.19293,            0.076081,            0.073463,            0.027582,            0.004852,            0.004852,            0.004852
                  54,            0.077888,            0.051412,            0.021082,             0.46532,             0.36113,             0.36083,             0.19398,            0.075994,            0.073231,            0.027449,            0.004753,            0.004753,            0.004753
                  55,            0.077432,            0.050574,            0.021085,             0.46711,             0.35584,             0.35966,             0.19325,            0.076004,            0.073262,            0.027434,            0.004654,            0.004654,            0.004654
                  56,            0.077566,            0.051025,            0.020948,             0.44987,             0.36478,             0.36192,             0.19456,            0.075966,            0.073171,            0.027431,            0.004555,            0.004555,            0.004555
                  57,            0.077512,            0.050811,            0.020863,             0.45737,             0.36359,             0.36076,             0.19389,            0.075931,            0.073281,             0.02751,            0.004456,            0.004456,            0.004456
                  58,            0.077294,            0.050589,            0.020937,             0.46774,              0.3544,             0.35798,             0.19308,            0.075901,            0.073235,            0.027535,            0.004357,            0.004357,            0.004357
                  59,            0.077061,            0.050754,            0.020707,             0.47372,             0.35736,             0.36177,             0.19504,            0.075848,            0.073225,            0.027479,            0.004258,            0.004258,            0.004258
                  60,            0.077498,            0.051069,            0.020786,             0.46444,             0.35618,             0.36079,             0.19467,            0.075818,            0.073085,            0.027431,            0.004159,            0.004159,            0.004159
                  61,            0.077195,            0.050686,            0.020641,              0.4701,             0.35769,             0.36149,              0.1964,            0.075816,            0.073289,            0.027489,             0.00406,             0.00406,             0.00406
                  62,            0.077162,              0.0506,            0.020557,             0.47042,             0.36221,             0.36369,              0.1972,            0.075763,            0.073147,            0.027474,            0.003961,            0.003961,            0.003961
                  63,            0.077023,            0.050416,            0.020554,             0.46928,             0.36041,             0.36481,             0.19677,            0.075766,             0.07315,            0.027567,            0.003862,            0.003862,            0.003862
                  64,            0.077238,             0.05156,            0.020528,             0.46414,             0.36772,             0.36554,             0.19723,            0.075733,            0.073229,            0.027508,            0.003763,            0.003763,            0.003763
                  65,            0.076791,            0.050407,            0.020316,             0.46578,             0.36389,             0.36409,              0.1969,            0.075688,            0.073123,            0.027568,            0.003664,            0.003664,            0.003664
                  66,            0.076472,            0.050187,            0.020281,               0.471,             0.36152,             0.36555,             0.19805,            0.075619,            0.073152,            0.027471,            0.003565,            0.003565,            0.003565
                  67,            0.076657,            0.050915,            0.020346,             0.46696,             0.36268,             0.36596,             0.19808,            0.075619,            0.073155,            0.027563,            0.003466,            0.003466,            0.003466
                  68,            0.076538,            0.050389,            0.020058,             0.47506,             0.36226,             0.36682,             0.19881,            0.075622,            0.073126,            0.027518,            0.003367,            0.003367,            0.003367
                  69,            0.076473,            0.050394,            0.020143,             0.46504,              0.3629,              0.3642,              0.1969,            0.075566,            0.073165,            0.027475,            0.003268,            0.003268,            0.003268
                  70,            0.076189,            0.049899,            0.020048,             0.48113,             0.36039,             0.36762,             0.19857,             0.07551,            0.073041,            0.027342,            0.003169,            0.003169,            0.003169
                  71,             0.07655,            0.050258,            0.020102,             0.48144,             0.36015,             0.36539,              0.1984,             0.07551,            0.073082,            0.027501,             0.00307,             0.00307,             0.00307
                  72,            0.076584,            0.049813,            0.019859,             0.47128,             0.36464,             0.36672,             0.19861,            0.075436,             0.07309,            0.027395,            0.002971,            0.002971,            0.002971
                  73,            0.076726,            0.050194,            0.019882,             0.48337,             0.36091,             0.36767,             0.19888,            0.075485,            0.073114,            0.027421,            0.002872,            0.002872,            0.002872
                  74,            0.076309,            0.050135,            0.019783,             0.48653,             0.36173,             0.36801,             0.20008,            0.075451,            0.073207,            0.027435,            0.002773,            0.002773,            0.002773
                  75,            0.075972,            0.049032,            0.019733,             0.49447,             0.35796,              0.3695,             0.20131,            0.075444,            0.073244,            0.027438,            0.002674,            0.002674,            0.002674
                  76,            0.076151,            0.050246,            0.019687,             0.47973,             0.36409,             0.37017,             0.20155,            0.075388,              0.0732,            0.027481,            0.002575,            0.002575,            0.002575
                  77,            0.076243,            0.049927,            0.019633,             0.47341,              0.3711,             0.37084,             0.20136,            0.075436,            0.073172,            0.027402,            0.002476,            0.002476,            0.002476
                  78,            0.076177,            0.049787,            0.019612,             0.47602,             0.36858,              0.3692,             0.20157,            0.075402,             0.07318,            0.027495,            0.002377,            0.002377,            0.002377
                  79,            0.076039,             0.05006,            0.019645,             0.47411,             0.36691,             0.36927,             0.20177,             0.07535,            0.073206,            0.027512,            0.002278,            0.002278,            0.002278
                  80,            0.075849,            0.049985,            0.019553,             0.47561,             0.36735,             0.36954,             0.20169,            0.075318,            0.073085,            0.027487,            0.002179,            0.002179,            0.002179
                  81,            0.075939,            0.049564,            0.019446,              0.4778,             0.36673,             0.36825,             0.20105,             0.07537,            0.073175,            0.027566,             0.00208,             0.00208,             0.00208
                  82,             0.07589,            0.049634,            0.019295,             0.48245,             0.36727,             0.37057,             0.20191,             0.07537,             0.07317,            0.027551,            0.001981,            0.001981,            0.001981
                  83,            0.076012,            0.049894,            0.019248,             0.47843,              0.3676,             0.37032,              0.2027,            0.075345,            0.073164,            0.027523,            0.001882,            0.001882,            0.001882
                  84,            0.076096,            0.050496,            0.019269,             0.46372,             0.37292,             0.37088,              0.2028,            0.075354,            0.073132,            0.027498,            0.001783,            0.001783,            0.001783
