               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13133,             0.12928,               0.049,             0.27238,             0.16033,            0.080312,            0.031838,             0.11092,             0.22449,            0.042186,            0.070074,           0.0033251,           0.0033251
                   1,             0.11274,             0.16428,            0.038232,             0.19114,             0.19126,             0.10577,            0.043592,             0.10664,             0.22555,            0.040025,            0.039942,           0.0065266,           0.0065266
                   2,             0.11062,             0.16675,            0.035826,             0.37325,             0.17794,             0.12831,            0.055264,             0.10597,             0.22764,            0.037516,           0.0096784,           0.0095961,           0.0095961
                   3,             0.10868,             0.16849,            0.034097,             0.39375,             0.18693,             0.15738,            0.072593,             0.10302,             0.22654,            0.036542,            0.009406,            0.009406,            0.009406
                   4,             0.10689,             0.16866,            0.032647,             0.42065,               0.193,             0.16925,            0.079072,             0.10263,             0.22771,            0.035605,            0.009406,            0.009406,            0.009406
                   5,             0.10539,             0.16676,            0.031794,             0.43736,             0.21639,             0.19111,            0.093562,               0.101,             0.22566,            0.035413,            0.009208,            0.009208,            0.009208
                   6,             0.10454,             0.16518,            0.031114,             0.44649,             0.22912,             0.20568,             0.10058,             0.10056,             0.22503,             0.03427,             0.00901,             0.00901,             0.00901
                   7,             0.10409,             0.16623,            0.030385,             0.39444,             0.22564,             0.20983,             0.10379,              0.1001,             0.22619,            0.034133,            0.008812,            0.008812,            0.008812
                   8,             0.10335,              0.1653,            0.029799,             0.44302,             0.23692,             0.22035,             0.10799,            0.099828,             0.22532,            0.033753,            0.008614,            0.008614,            0.008614
                   9,             0.10275,             0.16407,            0.029466,             0.33091,             0.25527,             0.22735,             0.11298,            0.099369,             0.22486,             0.03355,            0.008416,            0.008416,            0.008416
                  10,             0.10249,             0.16494,            0.029279,              0.3551,             0.25556,             0.23187,             0.11579,            0.099261,             0.22406,             0.03326,            0.008218,            0.008218,            0.008218
                  11,             0.10212,             0.16352,            0.028992,             0.33328,             0.26637,             0.23641,              0.1196,            0.098751,              0.2231,            0.033289,             0.00802,             0.00802,             0.00802
                  12,             0.10193,             0.16297,            0.028578,             0.36616,             0.27055,             0.24743,             0.12535,            0.098744,             0.22391,            0.032691,            0.007822,            0.007822,            0.007822
                  13,              0.1014,             0.16191,            0.028267,             0.34854,             0.28098,             0.24534,             0.12405,            0.098533,             0.22364,            0.033053,            0.007624,            0.007624,            0.007624
                  14,             0.10142,             0.16156,            0.028084,             0.35841,             0.28018,             0.25566,             0.12931,            0.098636,             0.22362,            0.032907,            0.007426,            0.007426,            0.007426
                  15,             0.10138,             0.16276,            0.028107,             0.36906,             0.28231,             0.25481,             0.13119,            0.098355,             0.22266,            0.032657,            0.007228,            0.007228,            0.007228
                  16,             0.10118,              0.1616,            0.027567,             0.36501,             0.29348,             0.26596,             0.13586,            0.098019,             0.22287,            0.032353,             0.00703,             0.00703,             0.00703
                  17,             0.10099,             0.16295,            0.027467,              0.3739,                 0.3,             0.26998,             0.13832,            0.098067,             0.22279,            0.032392,            0.006832,            0.006832,            0.006832
                  18,             0.10089,             0.16194,            0.027626,             0.37524,             0.29921,             0.27024,             0.13856,            0.097994,             0.22308,            0.032244,            0.006634,            0.006634,            0.006634
                  19,              0.1002,             0.16168,            0.027275,             0.38103,             0.28838,             0.26983,             0.13908,            0.097703,             0.22207,            0.032118,            0.006436,            0.006436,            0.006436
                  20,            0.099775,             0.16007,            0.027012,              0.3841,             0.29889,             0.27588,             0.14151,            0.097651,             0.22203,             0.03194,            0.006238,            0.006238,            0.006238
                  21,            0.099726,             0.15924,            0.026618,             0.37725,             0.29709,             0.27729,             0.14375,            0.097586,             0.22221,            0.031967,             0.00604,             0.00604,             0.00604
                  22,            0.099788,             0.15858,            0.026659,             0.38906,             0.29637,             0.27922,             0.14547,            0.097663,              0.2215,            0.032134,            0.005842,            0.005842,            0.005842
                  23,            0.099651,             0.16001,            0.026604,             0.37394,             0.30152,             0.28023,             0.14562,            0.097416,             0.22217,            0.031926,            0.005644,            0.005644,            0.005644
                  24,             0.09962,             0.15857,            0.026433,             0.40572,             0.30714,             0.28755,             0.15091,            0.097241,             0.22138,             0.03173,            0.005446,            0.005446,            0.005446
                  25,            0.099403,             0.15807,            0.026365,             0.39031,             0.30857,              0.2838,             0.14795,            0.097393,             0.22174,            0.032003,            0.005248,            0.005248,            0.005248
                  26,            0.099023,             0.15761,            0.026234,             0.40694,             0.30337,             0.28638,             0.14825,            0.097178,             0.22101,            0.031774,             0.00505,             0.00505,             0.00505
                  27,            0.098985,             0.15791,            0.026123,             0.39607,             0.30682,             0.28476,             0.14805,            0.097161,             0.22154,            0.031793,            0.004852,            0.004852,            0.004852
                  28,            0.099292,             0.15922,            0.025962,             0.39188,             0.31102,             0.29007,             0.15097,            0.097102,             0.22184,            0.031605,            0.004654,            0.004654,            0.004654
                  29,            0.098771,              0.1571,            0.025914,             0.40529,             0.30498,             0.29011,               0.153,            0.096994,             0.22163,            0.031638,            0.004456,            0.004456,            0.004456
                  30,            0.099105,             0.15655,            0.025821,             0.41376,             0.30578,             0.29014,             0.15358,            0.096896,              0.2215,            0.031495,            0.004258,            0.004258,            0.004258
                  31,            0.098881,             0.15608,            0.025604,             0.41029,             0.31316,              0.2988,             0.15639,            0.096802,             0.22155,            0.031524,             0.00406,             0.00406,             0.00406
                  32,            0.098575,              0.1562,            0.025673,             0.41279,             0.31037,             0.29796,             0.15666,            0.096763,             0.22125,            0.031553,            0.003862,            0.003862,            0.003862
                  33,            0.098459,             0.15577,            0.025532,             0.40939,             0.31348,             0.29781,             0.15742,            0.096755,             0.22162,            0.031484,            0.003664,            0.003664,            0.003664
                  34,            0.098709,             0.15591,            0.025464,             0.41165,             0.31435,             0.30229,             0.15971,            0.096705,             0.22176,            0.031278,            0.003466,            0.003466,            0.003466
                  35,            0.098277,               0.155,            0.025248,              0.4079,             0.31386,             0.29723,             0.15751,            0.096671,             0.22126,            0.031496,            0.003268,            0.003268,            0.003268
                  36,            0.097905,             0.15627,            0.025278,             0.39818,             0.31238,             0.29775,             0.15753,            0.096578,               0.221,            0.031333,             0.00307,             0.00307,             0.00307
                  37,            0.097959,             0.15469,            0.025209,             0.40805,              0.3174,             0.30209,              0.1591,            0.096489,             0.22116,            0.031117,            0.002872,            0.002872,            0.002872
                  38,            0.098015,             0.15492,            0.025086,             0.40525,             0.31663,             0.30346,             0.16041,            0.096416,             0.22081,            0.031173,            0.002674,            0.002674,            0.002674
                  39,            0.098049,             0.15522,            0.024894,             0.41555,             0.31939,             0.30561,             0.16313,            0.096386,             0.22076,            0.031219,            0.002476,            0.002476,            0.002476
                  40,            0.097743,             0.15335,            0.024951,             0.41428,             0.31603,             0.30294,             0.16244,              0.0964,             0.22084,            0.031198,            0.002278,            0.002278,            0.002278
                  41,               0.098,             0.15483,             0.02483,             0.41479,             0.32163,             0.30556,             0.16388,            0.096311,             0.22106,            0.031075,             0.00208,             0.00208,             0.00208
                  42,            0.097606,             0.15295,            0.024845,             0.40702,             0.32765,             0.30491,             0.16372,            0.096252,             0.22067,            0.031014,            0.001882,            0.001882,            0.001882
                  43,            0.097598,             0.15357,            0.024765,             0.41699,             0.32518,             0.30691,             0.16466,            0.096269,             0.22069,            0.031139,            0.001684,            0.001684,            0.001684
                  44,            0.097201,             0.15334,            0.024485,             0.41202,             0.32886,             0.30907,              0.1647,             0.09619,             0.22028,            0.031115,            0.001486,            0.001486,            0.001486
                  45,            0.098142,             0.15398,            0.024716,             0.41392,              0.3324,             0.31015,             0.16538,            0.096215,             0.22046,            0.030999,            0.001288,            0.001288,            0.001288
                  46,            0.096885,             0.15142,             0.02449,              0.4132,             0.32838,             0.31147,             0.16701,            0.096141,             0.22053,             0.03102,             0.00109,             0.00109,             0.00109
                  47,            0.097227,             0.15221,            0.024486,             0.41385,             0.32672,             0.30946,             0.16529,            0.096101,             0.22106,            0.031011,            0.000892,            0.000892,            0.000892
                  48,            0.097295,             0.15072,             0.02413,             0.41515,             0.32745,             0.31142,             0.16751,            0.096098,              0.2205,            0.031054,            0.000694,            0.000694,            0.000694
                  49,            0.096853,             0.15304,             0.02435,             0.41469,             0.32466,             0.31073,              0.1671,            0.096109,             0.22068,            0.030991,            0.000496,            0.000496,            0.000496
