               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1245,             0.06144,            0.053853,            0.025914,            0.078925,             0.02485,           0.0073377,             0.11055,             0.08568,            0.050872,            0.070074,           0.0033251,           0.0033251
                   1,             0.10395,             0.05664,            0.041588,             0.46931,             0.16956,            0.085857,            0.035596,            0.094445,            0.079238,            0.040523,            0.039942,           0.0065266,           0.0065266
                   2,            0.097505,            0.057228,            0.036704,              0.3725,             0.18956,            0.095241,            0.036729,            0.091436,            0.079091,            0.038015,           0.0096784,           0.0095961,           0.0095961
                   3,            0.093795,            0.057555,            0.034579,             0.45165,             0.20504,             0.14312,            0.060331,             0.08769,            0.077429,            0.035486,            0.009406,            0.009406,            0.009406
                   4,            0.090795,            0.057398,             0.03243,             0.49569,                 0.2,             0.16017,            0.065312,            0.087108,            0.077451,            0.034122,            0.009406,            0.009406,            0.009406
                   5,            0.088627,            0.056327,            0.031203,              0.5223,             0.21958,             0.18844,            0.088697,            0.084357,            0.077001,            0.033261,            0.009208,            0.009208,            0.009208
                   6,            0.087606,             0.05578,            0.030336,             0.54126,             0.22581,             0.20517,            0.098168,            0.082887,            0.076105,            0.032463,             0.00901,             0.00901,             0.00901
                   7,            0.086797,            0.056118,             0.02947,             0.55376,             0.23337,             0.21487,             0.10433,            0.082061,            0.076396,            0.032169,            0.008812,            0.008812,            0.008812
                   8,            0.086064,            0.055701,            0.028795,              0.5607,             0.23017,             0.21713,             0.10332,            0.082248,            0.076167,            0.031829,            0.008614,            0.008614,            0.008614
                   9,            0.085156,            0.055157,            0.028439,             0.50954,             0.24856,              0.2349,             0.11575,            0.081112,            0.075473,            0.031577,            0.008416,            0.008416,            0.008416
                  10,            0.084626,            0.055515,            0.028135,             0.52932,             0.25588,             0.24747,             0.12179,            0.080819,            0.075717,            0.031091,            0.008218,            0.008218,            0.008218
                  11,            0.084285,            0.054959,            0.027839,             0.53731,             0.26382,             0.25001,              0.1269,            0.080396,            0.075089,            0.031141,             0.00802,             0.00802,             0.00802
                  12,            0.083967,            0.054692,            0.027362,             0.54886,             0.26028,             0.25864,             0.12903,            0.080254,            0.075804,            0.030625,            0.007822,            0.007822,            0.007822
                  13,            0.083359,            0.054353,            0.027005,              0.3401,             0.27003,             0.26376,             0.13187,            0.079989,            0.075091,            0.030612,            0.007624,            0.007624,            0.007624
                  14,            0.083032,            0.054366,            0.026713,              0.3623,              0.2822,               0.269,             0.13515,            0.079894,            0.074827,             0.03024,            0.007426,            0.007426,            0.007426
                  15,             0.08302,            0.054593,            0.026611,             0.37692,             0.28574,             0.27624,              0.1399,            0.079609,            0.074725,            0.030096,            0.007228,            0.007228,            0.007228
                  16,            0.082721,            0.054182,             0.02607,             0.43777,             0.28695,             0.28338,             0.14504,            0.079168,             0.07466,             0.02992,             0.00703,             0.00703,             0.00703
                  17,            0.082541,            0.054625,            0.025912,             0.39468,             0.30114,             0.28662,             0.14659,            0.079262,             0.07458,            0.029823,            0.006832,            0.006832,            0.006832
                  18,            0.082287,            0.054324,            0.025966,             0.41032,             0.30664,             0.29063,             0.14903,            0.079042,            0.074824,            0.029508,            0.006634,            0.006634,            0.006634
                  19,            0.081728,            0.054071,            0.025563,              0.3984,              0.3067,             0.29481,             0.15343,            0.078861,            0.074507,            0.029486,            0.006436,            0.006436,            0.006436
                  20,             0.08118,            0.053373,            0.025196,             0.38752,             0.30938,             0.29634,             0.15339,            0.078776,            0.074275,            0.029399,            0.006238,            0.006238,            0.006238
                  21,            0.081127,            0.053183,            0.024832,             0.40445,             0.31093,             0.30483,             0.15855,            0.078625,             0.07419,             0.02932,             0.00604,             0.00604,             0.00604
                  22,            0.081044,            0.053083,              0.0248,             0.42283,             0.31574,             0.30824,             0.16062,             0.07851,            0.074096,            0.029241,            0.005842,            0.005842,            0.005842
                  23,              0.0809,            0.053601,            0.024649,             0.40349,             0.32545,             0.31098,             0.16296,            0.078307,            0.074079,             0.02905,            0.005644,            0.005644,            0.005644
                  24,            0.080829,            0.052955,            0.024404,             0.41024,             0.33261,             0.31878,             0.16642,            0.078187,            0.074032,            0.028671,            0.005446,            0.005446,            0.005446
                  25,            0.080468,            0.052853,            0.024326,             0.41953,             0.32352,             0.31675,             0.16553,            0.078196,            0.074378,            0.028878,            0.005248,            0.005248,            0.005248
                  26,            0.080254,            0.052564,            0.024089,             0.40324,             0.32878,             0.31572,             0.16553,            0.077992,            0.073922,            0.029039,             0.00505,             0.00505,             0.00505
                  27,            0.080076,            0.052793,            0.023956,             0.41488,             0.33123,             0.32244,             0.16894,            0.077934,             0.07379,            0.028732,            0.004852,            0.004852,            0.004852
                  28,            0.080386,            0.053339,            0.023809,              0.4274,             0.33495,             0.32472,             0.16909,            0.077827,            0.073788,            0.028666,            0.004654,            0.004654,            0.004654
                  29,            0.079784,            0.052522,             0.02367,             0.43154,             0.33509,             0.33072,             0.17432,             0.07777,            0.073765,            0.028611,            0.004456,            0.004456,            0.004456
                  30,            0.079973,            0.052443,            0.023511,             0.41098,             0.34492,             0.32812,              0.1717,            0.077686,             0.07376,            0.028473,            0.004258,            0.004258,            0.004258
                  31,            0.079772,            0.052267,            0.023273,             0.42357,             0.33946,             0.33197,             0.17461,            0.077512,            0.073548,            0.028518,             0.00406,             0.00406,             0.00406
                  32,            0.079564,            0.052211,            0.023318,             0.41469,             0.34368,             0.32981,             0.17429,            0.077507,             0.07357,            0.028395,            0.003862,            0.003862,            0.003862
                  33,            0.079399,             0.05205,            0.023135,             0.42642,             0.34574,             0.33272,             0.17539,            0.077436,            0.073649,            0.028363,            0.003664,            0.003664,            0.003664
                  34,            0.079595,            0.052241,             0.02306,             0.42713,              0.3475,             0.33402,             0.17637,            0.077391,            0.073565,            0.028377,            0.003466,            0.003466,            0.003466
                  35,            0.079168,            0.051814,            0.022829,             0.43902,             0.33716,             0.33414,             0.17665,            0.077311,            0.073415,            0.028425,            0.003268,            0.003268,            0.003268
                  36,            0.078838,             0.05221,            0.022787,             0.43452,             0.33831,             0.33446,             0.17638,            0.077275,            0.073547,            0.028326,             0.00307,             0.00307,             0.00307
                  37,            0.078869,            0.051664,            0.022762,             0.43428,             0.34455,             0.33691,             0.17872,            0.077141,             0.07358,            0.028133,            0.002872,            0.002872,            0.002872
                  38,            0.078816,            0.051728,            0.022525,             0.44083,             0.34493,             0.34105,             0.18002,            0.077086,            0.073534,            0.028012,            0.002674,            0.002674,            0.002674
                  39,            0.078822,            0.052093,            0.022382,             0.43637,             0.35261,             0.34549,             0.18303,            0.077021,             0.07333,            0.028046,            0.002476,            0.002476,            0.002476
                  40,            0.078566,            0.051171,             0.02244,             0.44174,             0.34424,             0.34117,             0.18108,            0.077023,            0.073297,            0.028119,            0.002278,            0.002278,            0.002278
                  41,            0.078736,            0.051919,            0.022267,             0.44297,             0.34581,             0.34401,             0.18308,            0.076883,            0.073287,            0.027881,             0.00208,             0.00208,             0.00208
                  42,            0.078378,            0.051221,            0.022285,             0.44142,             0.34892,             0.34527,             0.18252,            0.076927,            0.073347,            0.027879,            0.001882,            0.001882,            0.001882
                  43,            0.078374,            0.051512,            0.022184,             0.43988,             0.35056,             0.34504,             0.18369,            0.076846,            0.073271,            0.027914,            0.001684,            0.001684,            0.001684
                  44,            0.078103,            0.051283,            0.021906,             0.44236,             0.34758,             0.34666,              0.1852,            0.076821,            0.073187,            0.027861,            0.001486,            0.001486,            0.001486
                  45,            0.078793,            0.051908,            0.022103,             0.43768,             0.35066,             0.34634,             0.18457,            0.076864,            0.073221,            0.027945,            0.001288,            0.001288,            0.001288
                  46,            0.077756,            0.050636,            0.021905,               0.443,             0.34863,             0.34676,             0.18452,            0.076825,            0.073286,            0.027932,             0.00109,             0.00109,             0.00109
                  47,            0.077998,            0.051039,             0.02187,             0.43893,             0.35017,             0.34639,             0.18329,            0.076816,             0.07319,            0.027908,            0.000892,            0.000892,            0.000892
                  48,            0.078108,            0.050655,             0.02158,              0.4365,             0.35302,             0.34774,             0.18533,            0.076779,            0.073215,             0.02794,            0.000694,            0.000694,            0.000694
                  49,             0.07776,            0.051309,            0.021727,             0.43863,             0.35349,             0.34793,             0.18557,             0.07672,             0.07321,            0.027838,            0.000496,            0.000496,            0.000496
