               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12386,            0.061938,            0.054041,             0.03364,             0.09462,            0.033774,            0.010877,             0.10822,            0.077773,            0.048807,            0.070019,           0.0033313,           0.0033313
                   1,             0.10305,            0.057971,            0.042306,             0.47243,             0.17394,            0.090006,            0.036881,            0.092897,            0.080149,            0.040014,            0.039997,           0.0066426,           0.0066426
                   2,            0.097001,            0.059093,            0.037495,             0.27897,             0.21029,             0.10419,            0.044654,            0.089099,            0.079927,            0.038033,           0.0099526,            0.009932,            0.009932
                   3,            0.092615,            0.058245,            0.035436,             0.44899,             0.22069,             0.14422,            0.062975,            0.085561,             0.07829,            0.035894,            0.009901,            0.009901,            0.009901
                   4,            0.089927,            0.058117,            0.033409,             0.49508,             0.21603,              0.1731,            0.079785,            0.083754,            0.077736,            0.034083,            0.009901,            0.009901,            0.009901
                   5,            0.087957,            0.057252,            0.032079,             0.52303,             0.21557,              0.1876,            0.088276,            0.082364,            0.076728,            0.033023,            0.009868,            0.009868,            0.009868
                   6,             0.08677,            0.056875,            0.031184,             0.54517,             0.22631,              0.2003,            0.096166,            0.081868,            0.076783,            0.032498,            0.009835,            0.009835,            0.009835
                   7,            0.086216,            0.056732,            0.030488,             0.55666,             0.23036,             0.21198,              0.1016,             0.08097,            0.076257,            0.031953,            0.009802,            0.009802,            0.009802
                   8,            0.085583,            0.056556,            0.029626,             0.56762,             0.22893,             0.21489,              0.1037,            0.080758,            0.076295,            0.031545,            0.009769,            0.009769,            0.009769
                   9,            0.084857,            0.056875,              0.0294,             0.57457,             0.24251,             0.22887,             0.11338,            0.080133,            0.076176,            0.031293,            0.009736,            0.009736,            0.009736
                  10,            0.083678,            0.055659,            0.028657,             0.57542,             0.25215,             0.23584,             0.11678,            0.079985,            0.075696,             0.03098,            0.009703,            0.009703,            0.009703
                  11,            0.083593,            0.055996,            0.028553,             0.44742,             0.25172,             0.24649,             0.12404,            0.079195,            0.075742,             0.03078,             0.00967,             0.00967,             0.00967
