               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13681,             0.11797,            0.049965,            0.045548,             0.13657,            0.048557,            0.015695,             0.11981,             0.20207,            0.043602,            0.070074,           0.0033251,           0.0033251
                   1,             0.11816,             0.15211,            0.039088,             0.17482,             0.19424,              0.0959,            0.039018,             0.11064,             0.21746,            0.040825,            0.039942,           0.0065266,           0.0065266
                   2,             0.11369,             0.15967,            0.036543,             0.30385,             0.16349,             0.11217,            0.043004,             0.10913,             0.22117,            0.038298,           0.0096784,           0.0095961,           0.0095961
                   3,             0.11107,              0.1635,            0.034874,             0.49923,             0.16028,             0.14598,            0.061238,             0.10513,             0.22346,            0.036866,            0.009406,            0.009406,            0.009406
                   4,             0.10886,             0.16481,            0.033181,             0.39875,             0.19627,             0.15278,            0.065669,             0.10466,             0.22467,            0.036077,            0.009406,            0.009406,            0.009406
                   5,              0.1073,             0.16357,            0.032301,              0.4093,               0.221,             0.17796,            0.082711,             0.10269,              0.2217,            0.035436,            0.009208,            0.009208,            0.009208
                   6,             0.10625,             0.16261,            0.031655,             0.41873,             0.21879,             0.18732,            0.086605,             0.10224,             0.22184,             0.03465,             0.00901,             0.00901,             0.00901
                   7,             0.10564,             0.16394,            0.030957,             0.44573,              0.2142,             0.19231,            0.090966,             0.10191,               0.224,            0.034606,            0.008812,            0.008812,            0.008812
                   8,             0.10497,             0.16338,            0.030431,             0.44764,              0.2225,             0.19948,            0.093437,             0.10139,              0.2229,            0.034311,            0.008614,            0.008614,            0.008614
                   9,              0.1042,             0.16215,            0.030144,             0.44566,             0.23875,             0.21054,             0.10181,             0.10062,             0.22173,            0.034322,            0.008416,            0.008416,            0.008416
                  10,             0.10395,             0.16337,            0.029972,             0.45549,              0.2387,             0.21753,             0.10456,             0.10037,             0.22245,            0.033632,            0.008218,            0.008218,            0.008218
                  11,             0.10349,             0.16196,             0.02973,             0.35924,             0.23713,             0.21402,             0.10475,             0.10001,             0.22126,            0.034112,             0.00802,             0.00802,             0.00802
                  12,             0.10326,             0.16154,            0.029331,             0.42174,             0.24291,             0.22741,             0.11145,            0.099755,             0.22259,            0.032992,            0.007822,            0.007822,            0.007822
                  13,             0.10276,             0.16056,            0.028993,              0.4335,             0.24317,              0.2271,             0.11022,            0.099963,              0.2222,            0.033515,            0.007624,            0.007624,            0.007624
                  14,             0.10271,             0.16033,            0.028818,             0.30275,              0.2595,             0.23451,             0.11439,            0.099673,             0.22146,            0.033091,            0.007426,            0.007426,            0.007426
                  15,             0.10263,             0.16139,            0.028844,             0.40336,             0.25957,             0.24296,             0.11928,            0.099375,             0.22007,            0.033051,            0.007228,            0.007228,            0.007228
                  16,             0.10242,             0.16029,            0.028299,              0.3797,             0.27914,             0.24685,             0.12211,            0.099156,             0.22084,            0.032876,             0.00703,             0.00703,             0.00703
                  17,             0.10224,             0.16178,            0.028206,             0.33792,             0.27653,             0.25382,             0.12596,              0.0992,             0.22034,            0.032956,            0.006832,            0.006832,            0.006832
                  18,             0.10212,             0.16065,            0.028341,             0.35084,             0.28323,             0.25133,             0.12457,            0.099031,             0.22102,            0.032561,            0.006634,            0.006634,            0.006634
                  19,             0.10141,             0.16057,            0.027981,             0.32411,             0.29021,             0.25017,             0.12437,            0.098804,             0.22089,            0.032627,            0.006436,            0.006436,            0.006436
                  20,             0.10093,             0.15892,            0.027719,             0.35287,             0.29331,              0.2577,             0.12786,            0.098844,             0.22021,            0.032598,            0.006238,            0.006238,            0.006238
                  21,             0.10091,             0.15817,            0.027339,             0.33028,             0.30092,             0.25842,             0.12924,            0.098652,             0.22036,            0.032504,             0.00604,             0.00604,             0.00604
                  22,             0.10093,             0.15762,            0.027388,             0.35788,             0.29716,             0.26586,             0.13375,            0.098521,             0.21975,             0.03234,            0.005842,            0.005842,            0.005842
                  23,             0.10079,             0.15886,            0.027283,             0.35727,             0.29785,             0.26964,             0.13595,            0.098422,             0.21996,            0.032463,            0.005644,            0.005644,            0.005644
                  24,             0.10074,             0.15759,            0.027118,             0.35042,             0.30854,             0.27281,             0.13717,             0.09825,             0.21985,            0.032119,            0.005446,            0.005446,            0.005446
                  25,             0.10053,             0.15721,            0.027064,             0.35305,             0.29149,             0.26613,             0.13393,            0.098365,             0.22038,            0.032364,            0.005248,            0.005248,            0.005248
                  26,             0.10013,             0.15673,            0.026905,             0.36556,             0.29958,             0.27234,             0.13729,            0.098124,                0.22,            0.032205,             0.00505,             0.00505,             0.00505
                  27,             0.10009,             0.15704,            0.026795,             0.36905,              0.2958,             0.27165,             0.13842,            0.098093,             0.22011,            0.032272,            0.004852,            0.004852,            0.004852
                  28,             0.10039,             0.15851,             0.02667,             0.35576,             0.30635,             0.27545,             0.13901,            0.098063,             0.21943,            0.031911,            0.004654,            0.004654,            0.004654
                  29,            0.099865,             0.15627,            0.026579,             0.35917,               0.309,             0.28158,             0.14272,            0.097988,             0.21998,            0.031945,            0.004456,            0.004456,            0.004456
                  30,             0.10017,             0.15576,            0.026499,             0.36548,             0.31073,              0.2798,             0.14202,             0.09779,             0.21933,            0.031798,            0.004258,            0.004258,            0.004258
                  31,            0.099945,             0.15529,            0.026201,             0.37178,             0.31223,             0.28402,             0.14426,            0.097736,             0.21937,            0.031984,             0.00406,             0.00406,             0.00406
                  32,            0.099657,             0.15542,            0.026308,             0.37713,             0.31132,               0.284,             0.14468,            0.097719,             0.21898,            0.031831,            0.003862,            0.003862,            0.003862
                  33,            0.099528,             0.15498,            0.026169,             0.36757,             0.31458,             0.28394,             0.14509,            0.097662,             0.21952,            0.031825,            0.003664,            0.003664,            0.003664
                  34,            0.099773,              0.1551,            0.026063,              0.3802,             0.31478,             0.29156,              0.1491,            0.097547,             0.21946,            0.031618,            0.003466,            0.003466,            0.003466
                  35,            0.099353,              0.1544,            0.025837,             0.37755,             0.31079,              0.2861,             0.14714,            0.097535,             0.21946,            0.031807,            0.003268,            0.003268,            0.003268
                  36,            0.098972,             0.15556,            0.025895,              0.3785,             0.31346,              0.2867,             0.14791,            0.097438,             0.21908,            0.031698,             0.00307,             0.00307,             0.00307
                  37,             0.09901,             0.15395,            0.025828,             0.37347,             0.31475,             0.28605,             0.14684,            0.097345,             0.21918,             0.03148,            0.002872,            0.002872,            0.002872
                  38,            0.099057,             0.15411,            0.025665,             0.38395,             0.31406,             0.29208,              0.1514,            0.097345,             0.21891,            0.031496,            0.002674,            0.002674,            0.002674
                  39,            0.099121,             0.15453,            0.025501,             0.39383,             0.31172,              0.2921,             0.15088,            0.097308,             0.21899,            0.031713,            0.002476,            0.002476,            0.002476
                  40,            0.098811,             0.15257,            0.025564,             0.38347,             0.31589,             0.29109,             0.15043,            0.097283,             0.21933,            0.031708,            0.002278,            0.002278,            0.002278
                  41,            0.099074,             0.15427,            0.025434,             0.38378,             0.32321,             0.29514,             0.15292,            0.097117,             0.21935,            0.031557,             0.00208,             0.00208,             0.00208
                  42,            0.098682,             0.15221,            0.025473,             0.38518,             0.32163,             0.29636,             0.15316,            0.097076,             0.21877,            0.031374,            0.001882,            0.001882,            0.001882
                  43,            0.098678,               0.153,            0.025395,             0.38091,             0.32117,             0.29649,             0.15379,            0.097054,             0.21864,            0.031525,            0.001684,            0.001684,            0.001684
                  44,            0.098275,              0.1528,            0.025104,             0.39689,             0.31741,             0.29837,             0.15399,            0.097025,             0.21863,            0.031431,            0.001486,            0.001486,            0.001486
                  45,            0.099196,             0.15344,            0.025309,             0.39611,              0.3195,             0.30081,             0.15562,            0.097035,             0.21886,            0.031396,            0.001288,            0.001288,            0.001288
                  46,             0.09795,             0.15083,            0.025128,             0.39439,             0.31627,             0.30064,             0.15698,            0.097003,             0.21884,            0.031449,             0.00109,             0.00109,             0.00109
                  47,            0.098316,             0.15154,             0.02509,             0.38739,             0.32265,             0.29905,             0.15436,            0.096985,             0.21889,            0.031452,            0.000892,            0.000892,            0.000892
                  48,            0.098376,             0.15018,             0.02476,             0.39196,             0.32266,             0.30212,             0.15631,            0.096995,             0.21859,            0.031427,            0.000694,            0.000694,            0.000694
                  49,            0.097939,             0.15253,            0.024957,             0.39244,              0.3206,             0.30029,             0.15563,            0.096956,             0.21858,            0.031412,            0.000496,            0.000496,            0.000496
