               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12401,            0.060601,            0.052241,             0.33901,            0.088038,            0.031812,           0.0094781,             0.10951,            0.080551,            0.047168,            0.070074,           0.0033251,           0.0033251
                   1,             0.10375,            0.056381,            0.040376,             0.37174,             0.17312,              0.0883,            0.036402,            0.094358,            0.078604,            0.040004,            0.039942,           0.0065266,           0.0065266
                   2,            0.097487,            0.057052,            0.036373,             0.37643,             0.18585,             0.10043,            0.035004,            0.094035,            0.078179,            0.037766,           0.0096784,           0.0095961,           0.0095961
                   3,            0.093369,            0.057569,             0.03416,             0.46371,             0.21327,             0.15568,            0.064933,            0.086805,            0.077792,            0.035042,            0.009406,            0.009406,            0.009406
                   4,            0.090428,            0.057402,            0.031929,             0.49827,             0.21639,             0.17177,            0.078559,            0.085085,            0.077052,            0.033721,            0.009406,            0.009406,            0.009406
                   5,            0.088413,             0.05635,            0.030666,              0.5225,             0.23181,             0.19497,            0.091885,            0.083824,            0.077359,            0.032883,            0.009208,            0.009208,            0.009208
                   6,            0.087343,            0.055849,            0.029835,              0.5439,             0.24158,             0.21048,            0.099453,            0.082673,            0.076242,            0.032191,             0.00901,             0.00901,             0.00901
                   7,            0.086553,             0.05616,            0.029061,             0.56238,              0.2393,             0.22252,             0.10788,            0.081802,            0.076196,            0.031779,            0.008812,            0.008812,            0.008812
                   8,            0.085765,            0.055748,            0.028477,             0.56953,             0.24104,             0.22305,             0.10613,               0.082,            0.075937,            0.031547,            0.008614,            0.008614,            0.008614
                   9,            0.084913,            0.055219,             0.02817,             0.57503,             0.25791,             0.24434,             0.12023,            0.080916,            0.075421,            0.031244,            0.008416,            0.008416,            0.008416
                  10,            0.084343,            0.055585,            0.027874,             0.42847,             0.26419,             0.25484,             0.12689,            0.080744,             0.07549,             0.03099,            0.008218,            0.008218,            0.008218
                  11,            0.083983,            0.054968,            0.027549,             0.42821,             0.27113,             0.25797,             0.13077,            0.080125,            0.075021,            0.030914,             0.00802,             0.00802,             0.00802
                  12,            0.083708,             0.05475,            0.027141,             0.51818,             0.27271,             0.26347,             0.13308,            0.080055,            0.075273,            0.030428,            0.007822,            0.007822,            0.007822
                  13,            0.083083,            0.054378,            0.026781,             0.40512,             0.28351,             0.27138,              0.1379,            0.079668,            0.075042,            0.030288,            0.007624,            0.007624,            0.007624
                  14,            0.082784,            0.054409,            0.026528,             0.34255,             0.29543,             0.27691,             0.14083,            0.079768,            0.074844,            0.030055,            0.007426,            0.007426,            0.007426
                  15,            0.082765,            0.054643,            0.026426,             0.34347,             0.29956,             0.28224,             0.14406,            0.079302,            0.074572,            0.029866,            0.007228,            0.007228,            0.007228
                  16,            0.082456,            0.054192,            0.025879,             0.37449,             0.30181,             0.28892,             0.14966,            0.078981,            0.074762,            0.029777,             0.00703,             0.00703,             0.00703
                  17,            0.082268,            0.054632,            0.025738,             0.34405,             0.31149,             0.29278,             0.15079,            0.079012,             0.07456,             0.02981,            0.006832,            0.006832,            0.006832
                  18,            0.082039,            0.054355,            0.025797,             0.37624,             0.31198,             0.29577,             0.15248,            0.078783,            0.074732,            0.029333,            0.006634,            0.006634,            0.006634
                  19,            0.081494,            0.054137,            0.025438,             0.37277,             0.32295,             0.29669,             0.15379,            0.078747,             0.07435,              0.0294,            0.006436,            0.006436,            0.006436
                  20,            0.080945,            0.053412,             0.02504,             0.37449,             0.32177,             0.30285,             0.15687,            0.078521,            0.074202,            0.029188,            0.006238,            0.006238,            0.006238
                  21,            0.080843,            0.053183,            0.024658,             0.38363,             0.32522,              0.3073,             0.16074,            0.078416,            0.074179,            0.029103,             0.00604,             0.00604,             0.00604
                  22,            0.080799,            0.053115,            0.024636,             0.38677,             0.33304,             0.31242,             0.16355,            0.078316,            0.074277,            0.029049,            0.005842,            0.005842,            0.005842
                  23,             0.08063,            0.053591,            0.024475,             0.39556,             0.32371,             0.31053,             0.16394,            0.078056,            0.074066,            0.029024,            0.005644,            0.005644,            0.005644
                  24,            0.080602,             0.05298,            0.024284,             0.38783,             0.33193,              0.3178,             0.16701,            0.077982,             0.07406,            0.028749,            0.005446,            0.005446,            0.005446
                  25,            0.080206,            0.052877,            0.024172,             0.39393,             0.33125,             0.31912,             0.16705,            0.078028,            0.074332,            0.028795,            0.005248,            0.005248,            0.005248
                  26,             0.07998,            0.052564,            0.023956,             0.41535,             0.32406,             0.31849,               0.168,             0.07789,            0.074046,            0.029003,             0.00505,             0.00505,             0.00505
                  27,            0.079821,            0.052798,            0.023824,             0.41293,             0.32886,             0.32096,             0.16955,            0.077766,             0.07386,            0.028579,            0.004852,            0.004852,            0.004852
                  28,            0.080127,            0.053356,            0.023675,             0.40204,             0.33734,             0.32201,             0.16915,            0.077713,            0.073902,            0.028762,            0.004654,            0.004654,            0.004654
                  29,             0.07954,            0.052531,            0.023567,             0.40875,             0.33806,              0.3282,             0.17304,            0.077585,            0.073878,            0.028455,            0.004456,            0.004456,            0.004456
                  30,            0.079712,            0.052466,             0.02342,             0.40442,              0.3402,             0.32699,             0.17181,            0.077562,            0.073847,            0.028437,            0.004258,            0.004258,            0.004258
                  31,            0.079554,            0.052286,            0.023191,             0.41549,             0.33671,             0.32906,             0.17408,             0.07731,            0.073717,            0.028531,             0.00406,             0.00406,             0.00406
                  32,            0.079318,            0.052215,            0.023235,             0.41487,             0.33843,             0.32907,             0.17451,            0.077305,            0.073676,            0.028374,            0.003862,            0.003862,            0.003862
                  33,            0.079148,            0.052044,            0.023049,             0.41332,             0.34292,             0.32953,             0.17631,            0.077261,            0.073638,            0.028368,            0.003664,            0.003664,            0.003664
                  34,            0.079331,             0.05223,            0.022968,             0.43136,             0.33978,             0.33156,             0.17709,            0.077195,            0.073612,            0.028345,            0.003466,            0.003466,            0.003466
                  35,            0.078954,            0.051828,            0.022752,             0.42301,             0.33713,              0.3307,             0.17631,            0.077106,            0.073674,            0.028364,            0.003268,            0.003268,            0.003268
