               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13982,             0.14264,            0.055442,          0.00036314,           0.0042449,          0.00019372,          5.0005e-05,             0.13293,             0.23944,            0.053496,            0.070294,           0.0033007,           0.0033007
                   1,             0.13086,             0.15497,            0.048163,            0.018069,            0.051763,            0.014208,           0.0037249,             0.12312,             0.24066,            0.052523,            0.040272,           0.0066121,           0.0066121
                   2,             0.12319,             0.17035,            0.046561,             0.62452,            0.021068,            0.019421,           0.0058229,             0.11988,             0.31222,              0.0525,            0.010228,           0.0099015,           0.0099015
                   3,             0.11815,             0.17438,            0.044159,             0.44467,             0.10098,            0.046388,            0.015611,             0.11435,             0.26362,            0.047461,            0.009901,            0.009901,            0.009901
                   4,             0.11522,             0.17806,            0.041119,             0.36566,             0.11559,            0.060453,            0.020747,              0.1118,             0.24917,            0.045397,            0.009901,            0.009901,            0.009901
                   5,             0.11332,             0.17665,            0.039837,             0.47147,             0.12992,            0.069826,            0.026341,             0.10963,             0.25091,            0.040633,            0.009868,            0.009868,            0.009868
                   6,             0.11187,             0.17617,            0.038692,             0.38662,             0.13321,            0.078826,            0.031756,             0.10825,             0.24922,            0.040529,            0.009835,            0.009835,            0.009835
                   7,             0.11098,             0.17517,            0.038197,             0.49155,             0.12857,            0.079394,            0.030806,             0.10751,             0.23923,            0.039561,            0.009802,            0.009802,            0.009802
                   8,              0.1101,             0.17654,            0.037635,              0.3976,             0.16253,            0.093856,            0.038038,             0.10636,             0.23964,            0.038862,            0.009769,            0.009769,            0.009769
                   9,             0.10918,             0.17599,            0.037062,             0.33184,             0.16231,             0.10128,            0.041714,             0.10555,             0.23712,            0.039315,            0.009736,            0.009736,            0.009736
                  10,              0.1088,             0.17417,            0.036676,             0.44447,              0.1489,            0.099888,            0.039571,             0.10526,             0.24019,             0.03837,            0.009703,            0.009703,            0.009703
                  11,             0.10825,             0.17579,            0.036133,             0.42203,             0.14521,            0.098553,            0.038512,             0.10558,             0.23826,            0.038154,             0.00967,             0.00967,             0.00967
                  12,             0.10784,             0.17499,            0.035997,             0.46831,             0.16701,             0.11915,            0.050613,             0.10412,             0.23669,            0.037732,            0.009637,            0.009637,            0.009637
                  13,             0.10743,             0.17435,            0.035821,             0.47307,              0.1692,             0.11881,             0.04735,             0.10412,             0.23749,            0.037976,            0.009604,            0.009604,            0.009604
                  14,             0.10682,             0.17539,            0.035265,             0.48396,             0.16313,             0.11866,            0.049535,             0.10341,             0.23777,            0.037273,            0.009571,            0.009571,            0.009571
                  15,             0.10659,             0.17482,            0.035077,             0.47174,             0.17806,             0.12821,            0.054455,             0.10325,             0.23564,            0.037749,            0.009538,            0.009538,            0.009538
                  16,             0.10662,             0.17619,            0.034949,             0.48649,             0.17583,             0.13665,            0.057859,             0.10257,             0.23386,            0.036946,            0.009505,            0.009505,            0.009505
                  17,             0.10622,             0.17487,            0.034631,             0.46452,             0.17229,             0.12499,            0.051818,             0.10353,              0.2362,            0.037102,            0.009472,            0.009472,            0.009472
                  18,             0.10572,             0.17523,            0.034495,             0.28279,             0.18207,             0.12902,            0.052081,             0.10338,             0.23593,            0.037025,            0.009439,            0.009439,            0.009439
                  19,             0.10575,             0.17638,            0.034092,             0.48022,             0.18444,              0.1395,            0.059912,             0.10275,             0.23759,            0.036543,            0.009406,            0.009406,            0.009406
                  20,             0.10542,             0.17302,            0.034103,             0.42037,             0.18269,             0.14453,            0.064066,             0.10171,             0.23506,            0.036525,            0.009373,            0.009373,            0.009373
                  21,             0.10519,             0.17384,            0.033966,             0.42743,             0.18496,             0.14907,            0.065084,             0.10175,             0.23473,            0.035953,             0.00934,             0.00934,             0.00934
                  22,             0.10466,              0.1724,             0.03369,             0.42226,             0.19331,             0.14715,            0.064685,             0.10212,             0.23314,            0.036514,            0.009307,            0.009307,            0.009307
                  23,             0.10433,              0.1715,            0.033497,             0.31802,             0.19261,             0.15315,            0.067704,             0.10113,             0.23366,            0.035673,            0.009274,            0.009274,            0.009274
                  24,              0.1047,             0.17275,            0.033373,             0.33169,             0.19164,             0.15292,             0.06842,             0.10111,             0.23321,            0.036182,            0.009241,            0.009241,            0.009241
                  25,             0.10411,             0.17197,            0.033082,             0.30404,             0.19807,             0.15796,            0.068938,              0.1011,             0.23242,            0.035734,            0.009208,            0.009208,            0.009208
                  26,             0.10382,             0.17265,            0.032956,             0.41699,              0.1958,             0.16099,            0.071827,             0.10064,             0.23108,            0.035724,            0.009175,            0.009175,            0.009175
                  27,              0.1037,             0.17093,            0.032868,             0.33509,             0.19918,              0.1638,            0.073682,             0.10028,             0.23236,              0.0354,            0.009142,            0.009142,            0.009142
                  28,             0.10411,             0.17257,            0.032634,              0.3999,             0.19439,             0.16526,            0.073801,             0.10033,             0.23179,            0.035323,            0.009109,            0.009109,            0.009109
                  29,              0.1043,             0.17314,            0.032679,             0.36082,             0.20607,             0.16807,            0.075972,             0.10043,             0.23149,            0.035324,            0.009076,            0.009076,            0.009076
                  30,             0.10346,             0.17321,            0.032589,             0.47633,             0.19812,              0.1711,             0.07738,             0.10017,             0.23308,            0.034931,            0.009043,            0.009043,            0.009043
                  31,             0.10344,              0.1719,            0.032326,             0.37497,              0.2021,             0.17252,            0.077998,             0.10004,             0.22934,            0.034936,             0.00901,             0.00901,             0.00901
                  32,             0.10373,             0.17308,            0.032181,             0.35875,             0.20841,             0.17573,            0.080201,            0.099868,             0.23071,            0.034909,            0.008977,            0.008977,            0.008977
                  33,             0.10308,             0.17335,            0.032186,             0.36151,             0.19929,              0.1754,            0.079647,            0.099806,             0.22959,             0.03521,            0.008944,            0.008944,            0.008944
                  34,             0.10315,             0.17313,            0.032072,             0.36473,             0.20214,             0.17687,            0.080171,            0.099817,             0.23112,             0.03483,            0.008911,            0.008911,            0.008911
                  35,             0.10314,              0.1723,            0.031862,             0.27054,             0.20975,             0.17817,            0.080889,            0.099749,             0.23093,            0.034991,            0.008878,            0.008878,            0.008878
                  36,               0.103,             0.17111,            0.031589,             0.36422,             0.20246,             0.17648,            0.080057,            0.099687,              0.2317,            0.034737,            0.008845,            0.008845,            0.008845
