               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13979,             0.14306,            0.055603,          0.00031509,           0.0036832,          0.00018568,          4.7506e-05,             0.13292,             0.23649,            0.053314,            0.070294,           0.0033007,           0.0033007
                   1,              0.1306,              0.1569,            0.048305,            0.017269,            0.054921,            0.014433,           0.0040343,             0.12369,             0.23571,            0.052018,            0.040272,           0.0066121,           0.0066121
                   2,             0.12329,              0.1697,            0.046492,             0.11844,            0.079913,            0.021216,           0.0066079,             0.12095,             0.24718,            0.050984,            0.010228,           0.0099015,           0.0099015
                   3,             0.11806,             0.17493,            0.043474,              0.4568,            0.097984,            0.049977,            0.018213,             0.11324,             0.25322,            0.044151,            0.009901,            0.009901,            0.009901
                   4,             0.11505,             0.17846,            0.040741,             0.25163,             0.12274,            0.053282,            0.016084,              0.1141,             0.25713,            0.047368,            0.009901,            0.009901,            0.009901
                   5,             0.11314,             0.17662,            0.039621,             0.26574,             0.13387,            0.068037,            0.024641,             0.11054,             0.24904,            0.041905,            0.009868,            0.009868,            0.009868
                   6,             0.11175,             0.17617,            0.038593,             0.38601,              0.1356,             0.07938,            0.032717,             0.10842,             0.24236,            0.040267,            0.009835,            0.009835,            0.009835
                   7,             0.11081,              0.1755,            0.038042,             0.40095,              0.1275,             0.07969,            0.032703,             0.10778,             0.25133,            0.039695,            0.009802,            0.009802,            0.009802
                   8,             0.10996,             0.17657,            0.037572,             0.38785,             0.15217,            0.092168,            0.037253,             0.10643,             0.24026,            0.038956,            0.009769,            0.009769,            0.009769
                   9,              0.1091,             0.17627,            0.037018,             0.42127,             0.16103,             0.10242,            0.043103,             0.10525,             0.23984,            0.038474,            0.009736,            0.009736,            0.009736
                  10,             0.10873,              0.1742,             0.03663,             0.41882,              0.1564,             0.10218,             0.04214,             0.10501,             0.23871,            0.038505,            0.009703,            0.009703,            0.009703
                  11,             0.10818,             0.17561,            0.035977,             0.43518,             0.16275,             0.10693,            0.042517,               0.105,             0.23722,            0.038028,             0.00967,             0.00967,             0.00967
