               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14021,             0.13945,            0.055521,          0.00037287,           0.0043586,          0.00026398,          7.4329e-05,             0.13296,             0.23623,            0.053462,            0.070294,           0.0033007,           0.0033007
                   1,              0.1306,             0.15437,            0.048294,             0.41983,            0.033657,             0.01105,             0.00293,             0.12544,             0.23331,            0.051718,            0.040272,           0.0066121,           0.0066121
                   2,             0.12336,             0.16934,             0.04658,              0.1234,             0.08568,            0.027617,           0.0083805,             0.11911,             0.24622,            0.052039,            0.010228,           0.0099015,           0.0099015
                   3,             0.11796,             0.17457,            0.043749,             0.35136,             0.11003,            0.050428,            0.016795,             0.11385,             0.25187,            0.044593,            0.009901,            0.009901,            0.009901
                   4,             0.11507,             0.17873,             0.04079,             0.25405,             0.12401,            0.062192,            0.020482,             0.11248,             0.25281,            0.046543,            0.009901,            0.009901,            0.009901
                   5,             0.11307,             0.17694,             0.03964,             0.25996,             0.12744,            0.061347,            0.020711,             0.11114,             0.25423,            0.042056,            0.009868,            0.009868,            0.009868
                   6,             0.11156,             0.17652,            0.038572,             0.27174,             0.13951,            0.076602,            0.030707,             0.10861,             0.24692,            0.041351,            0.009835,            0.009835,            0.009835
                   7,             0.11071,             0.17587,            0.038124,              0.4069,             0.14223,            0.089856,            0.036629,             0.10635,             0.23856,            0.039265,            0.009802,            0.009802,            0.009802
                   8,              0.1098,             0.17665,            0.037516,             0.39223,             0.15182,            0.091576,            0.038007,             0.10633,             0.24445,            0.039118,            0.009769,            0.009769,            0.009769
                   9,             0.10889,             0.17624,            0.037009,             0.41342,             0.16184,            0.097724,            0.040843,             0.10577,             0.24142,             0.04003,            0.009736,            0.009736,            0.009736
                  10,              0.1086,             0.17434,            0.036555,             0.42901,             0.16468,             0.10183,            0.041591,             0.10501,             0.24044,             0.03867,            0.009703,            0.009703,            0.009703
                  11,             0.10802,             0.17589,            0.035961,             0.44326,             0.16691,             0.10791,            0.043811,             0.10457,              0.2392,              0.0379,             0.00967,             0.00967,             0.00967
                  12,             0.10759,             0.17519,            0.035806,             0.44381,             0.16725,             0.11263,            0.048344,             0.10411,             0.23607,            0.038027,            0.009637,            0.009637,            0.009637
                  13,             0.10718,              0.1746,            0.035634,             0.44601,             0.17202,             0.11195,            0.047182,             0.10372,             0.23695,            0.038031,            0.009604,            0.009604,            0.009604
                  14,             0.10658,             0.17553,            0.035088,             0.45798,                0.16,             0.12163,            0.051541,             0.10304,             0.23569,            0.036978,            0.009571,            0.009571,            0.009571
                  15,             0.10637,             0.17481,            0.034897,             0.45328,             0.17713,             0.12193,            0.051894,             0.10342,             0.23576,            0.038069,            0.009538,            0.009538,            0.009538
                  16,             0.10642,             0.17613,            0.034736,             0.47456,             0.17169,             0.12657,            0.054592,             0.10294,             0.23497,            0.037043,            0.009505,            0.009505,            0.009505
                  17,             0.10601,             0.17478,            0.034403,             0.35256,             0.16868,             0.11778,            0.047979,             0.10384,             0.23776,            0.037579,            0.009472,            0.009472,            0.009472
                  18,             0.10551,             0.17506,            0.034215,             0.36107,             0.16984,             0.12152,            0.047524,              0.1036,             0.23569,            0.037264,            0.009439,            0.009439,            0.009439
                  19,              0.1056,             0.17632,            0.033859,             0.48117,             0.18504,             0.13998,            0.059785,             0.10248,             0.23538,            0.036672,            0.009406,            0.009406,            0.009406
                  20,              0.1052,             0.17276,            0.033781,             0.39819,             0.18133,             0.14429,            0.063152,             0.10151,             0.23287,            0.036213,            0.009373,            0.009373,            0.009373
                  21,             0.10503,             0.17348,            0.033738,             0.48763,             0.17858,             0.14566,            0.063629,             0.10188,             0.23421,            0.036248,             0.00934,             0.00934,             0.00934
                  22,              0.1044,             0.17192,            0.033324,             0.49151,              0.1857,             0.14755,            0.065437,             0.10149,             0.23279,            0.036077,            0.009307,            0.009307,            0.009307
                  23,             0.10419,             0.17111,             0.03311,             0.33028,             0.19367,             0.14998,             0.06763,             0.10113,             0.23327,            0.035746,            0.009274,            0.009274,            0.009274
                  24,             0.10453,             0.17236,            0.033071,             0.49621,             0.18892,             0.15546,            0.069062,             0.10072,             0.23182,            0.035717,            0.009241,            0.009241,            0.009241
                  25,             0.10396,             0.17168,            0.032829,             0.29322,              0.1902,             0.15545,            0.068702,             0.10121,             0.23279,            0.036072,            0.009208,            0.009208,            0.009208
                  26,             0.10364,              0.1724,            0.032706,             0.49389,             0.19341,             0.15816,            0.070874,             0.10077,             0.23345,             0.03589,            0.009175,            0.009175,            0.009175
                  27,             0.10355,             0.17051,            0.032611,             0.40248,             0.20102,             0.16537,            0.075074,             0.10022,             0.23108,            0.035306,            0.009142,            0.009142,            0.009142
                  28,             0.10395,              0.1723,            0.032356,              0.5136,             0.19055,              0.1628,            0.074104,             0.10007,             0.23051,            0.035282,            0.009109,            0.009109,            0.009109
                  29,             0.10411,             0.17282,            0.032443,             0.38216,             0.20218,             0.16622,             0.07544,             0.10026,             0.23099,            0.035724,            0.009076,            0.009076,            0.009076
                  30,             0.10328,             0.17282,            0.032328,             0.41304,              0.1993,              0.1683,            0.076652,             0.10006,             0.23009,            0.034887,            0.009043,            0.009043,            0.009043
                  31,             0.10331,             0.17151,            0.032075,             0.37113,             0.20287,             0.17292,            0.079247,            0.099876,             0.22888,            0.034985,             0.00901,             0.00901,             0.00901
                  32,             0.10357,             0.17264,            0.032015,             0.38721,             0.20469,             0.17218,            0.078693,            0.099825,             0.22979,            0.034747,            0.008977,            0.008977,            0.008977
                  33,             0.10291,             0.17273,             0.03198,              0.3862,             0.20261,             0.17641,            0.081364,            0.099632,             0.23027,            0.034597,            0.008944,            0.008944,            0.008944
                  34,             0.10298,             0.17271,            0.031836,             0.42571,             0.19983,             0.17539,              0.0813,            0.099444,             0.22879,            0.034732,            0.008911,            0.008911,            0.008911
                  35,             0.10297,             0.17197,            0.031624,             0.48767,             0.20925,             0.17962,            0.082952,            0.099425,             0.22892,            0.034798,            0.008878,            0.008878,            0.008878
                  36,             0.10278,             0.17048,            0.031322,             0.35978,             0.20461,             0.18033,            0.083815,            0.099396,             0.22869,            0.034445,            0.008845,            0.008845,            0.008845
                  37,             0.10302,             0.17209,            0.031512,             0.38574,              0.2026,             0.18399,            0.085469,             0.09919,             0.22869,            0.034605,            0.008812,            0.008812,            0.008812
                  38,             0.10241,             0.17057,            0.031467,             0.39864,              0.2097,             0.18661,             0.08663,            0.099211,             0.22868,            0.034158,            0.008779,            0.008779,            0.008779
                  39,              0.1025,             0.17103,             0.03144,             0.36391,             0.21242,             0.19053,            0.088238,            0.098952,             0.22911,            0.034012,            0.008746,            0.008746,            0.008746
                  40,             0.10217,             0.16964,            0.031233,             0.39283,             0.21351,             0.19133,             0.08915,            0.098968,             0.22827,            0.034055,            0.008713,            0.008713,            0.008713
                  41,             0.10234,             0.16871,            0.030955,             0.39761,             0.21249,             0.19521,            0.092512,            0.098859,             0.22793,            0.033854,             0.00868,             0.00868,             0.00868
                  42,             0.10189,             0.16993,            0.031223,              0.2721,             0.21843,             0.19525,            0.092205,            0.098704,             0.22766,            0.033731,            0.008647,            0.008647,            0.008647
                  43,             0.10221,             0.17257,             0.03095,              0.3684,             0.21737,              0.1964,            0.091805,            0.098721,             0.22876,            0.033903,            0.008614,            0.008614,            0.008614
                  44,             0.10206,             0.16983,            0.030781,             0.28454,             0.22256,             0.19565,            0.091624,            0.098647,             0.22794,            0.033729,            0.008581,            0.008581,            0.008581
                  45,             0.10204,             0.16985,            0.030809,             0.37687,             0.22073,             0.19998,            0.093748,            0.098695,             0.22746,            0.033754,            0.008548,            0.008548,            0.008548
