               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13034,             0.12905,            0.049561,             0.25354,             0.14503,            0.056521,            0.020836,             0.11099,             0.24478,            0.041917,            0.070294,           0.0033007,           0.0033007
                   1,             0.11091,             0.16637,            0.038532,              0.2906,             0.18471,            0.088783,            0.032789,             0.10634,             0.23331,             0.03909,            0.040272,           0.0066121,           0.0066121
                   2,             0.10822,             0.17077,            0.035922,             0.40105,              0.1724,            0.078591,            0.028199,             0.10856,             0.24139,            0.037329,            0.010228,           0.0099015,           0.0099015
                   3,             0.10545,             0.16921,            0.033725,             0.46039,             0.18693,             0.14054,            0.052795,             0.10406,             0.24733,            0.035718,            0.009901,            0.009901,            0.009901
                   4,             0.10346,               0.171,            0.032128,             0.49242,             0.20155,             0.16078,            0.072867,             0.10124,             0.23881,             0.03616,            0.009901,            0.009901,            0.009901
                   5,               0.102,             0.16883,            0.031153,             0.40367,             0.19925,              0.1621,            0.065475,             0.10361,             0.24332,            0.034953,            0.009868,            0.009868,            0.009868
                   6,             0.10096,             0.16779,            0.030329,             0.45739,             0.22208,             0.19865,            0.091172,            0.098806,              0.2305,            0.034494,            0.009835,            0.009835,            0.009835
                   7,             0.10043,             0.16661,            0.029819,             0.42875,             0.23763,             0.21016,             0.10056,            0.097812,              0.2285,            0.033428,            0.009802,            0.009802,            0.009802
                   8,            0.099838,             0.16739,            0.029324,             0.32459,             0.25197,             0.22094,             0.10942,            0.097136,             0.22627,            0.032892,            0.009769,            0.009769,            0.009769
                   9,            0.099256,             0.16654,            0.028771,              0.3338,              0.2642,             0.23323,             0.11252,            0.096971,              0.2291,            0.032689,            0.009736,            0.009736,            0.009736
                  10,            0.099163,             0.16489,            0.028511,             0.33421,              0.2523,             0.23044,             0.11414,            0.096375,             0.22813,            0.032875,            0.009703,            0.009703,            0.009703
                  11,             0.09884,             0.16629,            0.028033,             0.33556,             0.27017,             0.23559,             0.10958,            0.097208,             0.22792,            0.032644,             0.00967,             0.00967,             0.00967
                  12,             0.09853,             0.16506,            0.027905,             0.34475,             0.27537,             0.24614,             0.12384,            0.096091,             0.22653,            0.032426,            0.009637,            0.009637,            0.009637
                  13,            0.098333,             0.16434,            0.027722,             0.34696,             0.28474,             0.25023,             0.12579,            0.096203,             0.22597,            0.032072,            0.009604,            0.009604,            0.009604
                  14,            0.097756,             0.16489,            0.027219,             0.34266,              0.2799,             0.24781,             0.12597,             0.09573,             0.22848,            0.032375,            0.009571,            0.009571,            0.009571
                  15,            0.097706,             0.16406,            0.027096,             0.35819,             0.28693,             0.26169,             0.13311,            0.095558,              0.2248,            0.032015,            0.009538,            0.009538,            0.009538
                  16,            0.097895,             0.16557,            0.026945,             0.35477,             0.30069,             0.27147,             0.13741,            0.095114,             0.22564,             0.03144,            0.009505,            0.009505,            0.009505
                  17,            0.097536,             0.16423,            0.026766,             0.37603,             0.27968,              0.2603,              0.1294,            0.095754,             0.22721,            0.031732,            0.009472,            0.009472,            0.009472
                  18,            0.097085,             0.16453,             0.02662,             0.36674,             0.28002,             0.25812,             0.12568,            0.095883,             0.22687,            0.031404,            0.009439,            0.009439,            0.009439
                  19,            0.097241,             0.16545,            0.026404,             0.37031,             0.30079,             0.27356,              0.1395,             0.09537,             0.22483,            0.031391,            0.009406,            0.009406,            0.009406
                  20,            0.097039,             0.16166,            0.026246,             0.37437,             0.29476,             0.27263,             0.13982,            0.095006,             0.22453,            0.031226,            0.009373,            0.009373,            0.009373
                  21,            0.096857,             0.16257,            0.026198,             0.39042,              0.3022,             0.28201,             0.14615,            0.094886,             0.22483,            0.031078,             0.00934,             0.00934,             0.00934
                  22,             0.09634,             0.16095,            0.025957,             0.38319,             0.29584,             0.28199,             0.14546,            0.094893,             0.22638,            0.031102,            0.009307,            0.009307,            0.009307
                  23,            0.096121,             0.16016,            0.025899,             0.39981,             0.29872,             0.28273,             0.14812,            0.094408,             0.22284,            0.030935,            0.009274,            0.009274,            0.009274
                  24,            0.096478,             0.16106,            0.025825,             0.39971,             0.30326,               0.289,             0.15066,            0.094098,             0.22253,            0.031191,            0.009241,            0.009241,            0.009241
                  25,            0.095964,             0.16011,            0.025634,             0.38993,             0.29408,             0.27503,               0.143,            0.094758,             0.22438,            0.031395,            0.009208,            0.009208,            0.009208
                  26,            0.095665,             0.16079,            0.025363,             0.39648,             0.30899,             0.29513,             0.15579,            0.093866,             0.22215,            0.030318,            0.009175,            0.009175,            0.009175
                  27,            0.095699,             0.15926,            0.025484,             0.40088,             0.30684,             0.28991,             0.15204,            0.094041,             0.22261,            0.030465,            0.009142,            0.009142,            0.009142
                  28,            0.096174,             0.16063,             0.02536,             0.40539,             0.30787,             0.29287,              0.1523,            0.094354,             0.22444,            0.030262,            0.009109,            0.009109,            0.009109
                  29,            0.096353,              0.1613,             0.02536,             0.40108,              0.3051,             0.28751,             0.15162,            0.093997,             0.22412,            0.030535,            0.009076,            0.009076,            0.009076
                  30,            0.095549,             0.16105,            0.025271,             0.40639,             0.29982,             0.29116,             0.15268,            0.094213,             0.22413,            0.030663,            0.009043,            0.009043,            0.009043
                  31,            0.095571,              0.1597,             0.02509,             0.40397,             0.30332,             0.28766,              0.1497,            0.094019,              0.2252,            0.030798,             0.00901,             0.00901,             0.00901
                  32,            0.095996,             0.16111,            0.025085,             0.39161,             0.31047,              0.2937,             0.15577,            0.093988,             0.22404,            0.030403,            0.008977,            0.008977,            0.008977
                  33,            0.095328,             0.16095,            0.025014,             0.39976,             0.31018,               0.295,             0.15688,            0.093763,             0.22174,             0.03033,            0.008944,            0.008944,            0.008944
                  34,            0.095342,             0.16082,            0.024929,             0.41035,             0.30746,             0.29678,             0.15732,            0.093772,             0.22236,            0.030461,            0.008911,            0.008911,            0.008911
                  35,            0.095485,              0.1599,            0.024753,              0.4198,             0.31057,             0.29881,              0.1581,            0.093763,             0.22298,            0.030242,            0.008878,            0.008878,            0.008878
                  36,            0.095325,             0.15853,            0.024548,             0.41369,             0.30758,              0.2987,             0.15859,            0.093731,             0.22349,            0.030759,            0.008845,            0.008845,            0.008845
                  37,            0.095544,             0.16005,            0.024814,             0.40758,             0.31348,             0.30503,             0.16028,            0.093746,             0.22329,            0.030238,            0.008812,            0.008812,            0.008812
                  38,               0.095,             0.15871,             0.02468,             0.40636,             0.31712,             0.30107,             0.15787,            0.093533,             0.22322,            0.029922,            0.008779,            0.008779,            0.008779
                  39,            0.095076,             0.15875,            0.024652,             0.41836,             0.31001,             0.30225,             0.15936,            0.093453,             0.22216,            0.029863,            0.008746,            0.008746,            0.008746
                  40,            0.094867,             0.15773,            0.024511,             0.40985,             0.32674,              0.3098,             0.16415,            0.093344,             0.22162,            0.029873,            0.008713,            0.008713,            0.008713
                  41,            0.095058,             0.15678,            0.024283,             0.40943,             0.32064,             0.30799,             0.16579,            0.093387,             0.22149,            0.029827,             0.00868,             0.00868,             0.00868
                  42,             0.09454,             0.15762,            0.024533,             0.41649,             0.30964,             0.30084,             0.16023,            0.093314,             0.22238,            0.030189,            0.008647,            0.008647,            0.008647
                  43,            0.094866,             0.16022,            0.024286,              0.4182,              0.3198,             0.30533,             0.16227,            0.093183,             0.22152,            0.029945,            0.008614,            0.008614,            0.008614
                  44,            0.094853,             0.15758,            0.024235,             0.40598,             0.31496,              0.3054,             0.16313,            0.093344,             0.22235,            0.029813,            0.008581,            0.008581,            0.008581
                  45,            0.094822,             0.15804,             0.02424,             0.43616,             0.31221,             0.30888,             0.16448,            0.093224,             0.22226,            0.029988,            0.008548,            0.008548,            0.008548
                  46,            0.094591,             0.15759,            0.024125,             0.41074,             0.32741,             0.31437,             0.16676,             0.09316,             0.22214,            0.029757,            0.008515,            0.008515,            0.008515
                  47,            0.095277,             0.15864,            0.024179,             0.42501,             0.32176,             0.31089,             0.16461,            0.093066,             0.22204,            0.030043,            0.008482,            0.008482,            0.008482
                  48,            0.094811,             0.15711,            0.023944,             0.41539,             0.31266,             0.30763,             0.16496,            0.093057,             0.22229,            0.030334,            0.008449,            0.008449,            0.008449
                  49,            0.094511,             0.15826,            0.024118,             0.42604,             0.32267,             0.30627,             0.16368,            0.093064,             0.22192,            0.030093,            0.008416,            0.008416,            0.008416
                  50,            0.094558,             0.15853,            0.024085,             0.41608,             0.32528,             0.31304,             0.16731,            0.092999,             0.22199,            0.029734,            0.008383,            0.008383,            0.008383
                  51,            0.094047,             0.15695,            0.023755,             0.42628,             0.31979,             0.31221,             0.16675,            0.092802,             0.22189,            0.029858,             0.00835,             0.00835,             0.00835
                  52,             0.09449,             0.15611,            0.023884,             0.41584,             0.32275,             0.31072,             0.16685,            0.092978,             0.22182,            0.029943,            0.008317,            0.008317,            0.008317
                  53,            0.094163,             0.15589,            0.023642,             0.42282,             0.32635,               0.318,             0.17109,            0.092823,             0.22153,            0.029866,            0.008284,            0.008284,            0.008284
                  54,             0.09445,             0.15673,            0.023805,             0.42696,             0.32072,              0.3133,             0.16828,             0.09278,             0.22175,            0.029808,            0.008251,            0.008251,            0.008251
                  55,            0.094663,             0.15878,            0.023807,             0.43614,             0.31863,             0.31773,             0.16997,            0.092747,              0.2218,            0.029751,            0.008218,            0.008218,            0.008218
                  56,            0.094304,             0.15533,            0.023743,             0.42109,             0.32329,             0.31235,             0.16816,            0.092837,             0.22171,            0.029997,            0.008185,            0.008185,            0.008185
                  57,            0.094222,             0.15623,            0.023509,              0.4391,             0.32386,             0.31631,             0.16993,            0.092678,             0.22194,            0.029538,            0.008152,            0.008152,            0.008152
                  58,            0.093738,             0.15565,            0.023505,             0.43706,             0.31953,             0.31614,             0.16964,            0.092642,             0.22131,            0.029857,            0.008119,            0.008119,            0.008119
                  59,            0.093903,             0.15489,            0.023441,             0.43296,             0.32263,             0.31714,             0.17119,            0.092512,             0.22112,            0.029778,            0.008086,            0.008086,            0.008086
                  60,             0.09398,             0.15527,            0.023587,             0.42727,              0.3255,             0.31468,             0.16956,            0.092647,             0.22153,             0.02954,            0.008053,            0.008053,            0.008053
                  61,            0.094079,             0.15692,            0.023635,             0.43196,             0.32628,              0.3215,             0.17296,            0.092574,             0.22141,            0.029729,             0.00802,             0.00802,             0.00802
                  62,            0.093988,             0.15698,            0.023382,             0.43619,             0.32332,             0.32004,             0.17347,            0.092538,             0.22144,            0.029623,            0.007987,            0.007987,            0.007987
                  63,            0.093943,             0.15659,            0.023436,             0.43363,             0.32514,             0.31742,             0.17067,            0.092454,             0.22173,            0.029679,            0.007954,            0.007954,            0.007954
                  64,            0.093625,              0.1545,            0.023326,             0.43474,             0.32951,             0.31846,             0.17159,             0.09254,             0.22237,            0.029817,            0.007921,            0.007921,            0.007921
                  65,             0.09388,             0.15523,            0.023347,               0.422,              0.3299,             0.32222,             0.17417,            0.092578,             0.22206,            0.029653,            0.007888,            0.007888,            0.007888
                  66,            0.093594,             0.15354,            0.023183,             0.44145,             0.32516,             0.32284,             0.17436,            0.092426,             0.22099,            0.029454,            0.007855,            0.007855,            0.007855
                  67,            0.093942,             0.15512,            0.023186,             0.44828,             0.32201,              0.3223,             0.17345,            0.092463,             0.22189,            0.029442,            0.007822,            0.007822,            0.007822
                  68,            0.094288,             0.15707,            0.023393,             0.43132,             0.32706,             0.32138,             0.17336,            0.092346,             0.22161,            0.029628,            0.007789,            0.007789,            0.007789
                  69,            0.093575,             0.15402,            0.023194,              0.4313,             0.33149,             0.32133,              0.1721,            0.092343,             0.22177,            0.029475,            0.007756,            0.007756,            0.007756
                  70,            0.093826,             0.15543,            0.023281,             0.42237,              0.3311,             0.31987,             0.17289,            0.092411,             0.22159,            0.029564,            0.007723,            0.007723,            0.007723
                  71,            0.094088,             0.15611,            0.023257,             0.42913,             0.33575,             0.32464,             0.17507,             0.09231,             0.22081,            0.029354,             0.00769,             0.00769,             0.00769
                  72,            0.093345,             0.15365,            0.023109,             0.43252,             0.33229,             0.32408,             0.17566,            0.092282,             0.22134,            0.029608,            0.007657,            0.007657,            0.007657
                  73,            0.093636,             0.15466,            0.023208,             0.43604,             0.32823,             0.32343,              0.1758,            0.092332,             0.22137,            0.029484,            0.007624,            0.007624,            0.007624
                  74,            0.093629,             0.15556,            0.023139,             0.44071,             0.33228,              0.3269,             0.17756,            0.092192,             0.22132,            0.029247,            0.007591,            0.007591,            0.007591
                  75,              0.0933,             0.15342,            0.022876,             0.44536,             0.33526,             0.32741,             0.17789,             0.09236,             0.22178,            0.029533,            0.007558,            0.007558,            0.007558
                  76,            0.093532,             0.15446,            0.022954,             0.44048,             0.32469,             0.32233,             0.17562,            0.092187,             0.22161,            0.029686,            0.007525,            0.007525,            0.007525
                  77,            0.093035,             0.15321,            0.022977,             0.43619,             0.33407,             0.32697,             0.17683,            0.092214,             0.22128,            0.029304,            0.007492,            0.007492,            0.007492
                  78,            0.093518,             0.15539,            0.023017,             0.44057,             0.33501,             0.33136,             0.17961,            0.092084,             0.22103,            0.029334,            0.007459,            0.007459,            0.007459
                  79,            0.093354,              0.1543,            0.022846,             0.44385,             0.33178,             0.33125,             0.17894,            0.092231,             0.22156,            0.029368,            0.007426,            0.007426,            0.007426
                  80,            0.093362,             0.15531,            0.022923,             0.43621,             0.34037,             0.33081,              0.1795,            0.092102,             0.22113,            0.029214,            0.007393,            0.007393,            0.007393
                  81,            0.093009,             0.15264,            0.022848,             0.44258,             0.33016,             0.32792,              0.1773,            0.092041,             0.22173,            0.029534,             0.00736,             0.00736,             0.00736
                  82,            0.093196,             0.15335,            0.022776,             0.43849,             0.33486,             0.32801,             0.17749,            0.092114,              0.2213,            0.029409,            0.007327,            0.007327,            0.007327
                  83,            0.093325,             0.15341,             0.02284,             0.43123,             0.33596,             0.32715,              0.1771,            0.092052,             0.22158,            0.029599,            0.007294,            0.007294,            0.007294
                  84,            0.092868,             0.15178,            0.022831,             0.44421,             0.33853,             0.32963,             0.17837,            0.092048,             0.22154,            0.029404,            0.007261,            0.007261,            0.007261
                  85,            0.093416,             0.15636,            0.022909,             0.44177,             0.33143,             0.32713,             0.17837,             0.09212,             0.22204,            0.029325,            0.007228,            0.007228,            0.007228
                  86,            0.093002,             0.15341,            0.022777,             0.43546,             0.33792,             0.32992,              0.1796,            0.092059,             0.22188,            0.029343,            0.007195,            0.007195,            0.007195
                  87,            0.093375,              0.1547,             0.02283,             0.44706,             0.33033,              0.3289,              0.1793,            0.092057,             0.22197,             0.02938,            0.007162,            0.007162,            0.007162
                  88,            0.093298,              0.1546,            0.022861,             0.43833,             0.34139,             0.33049,             0.17941,            0.092039,             0.22176,            0.029458,            0.007129,            0.007129,            0.007129
