               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13593,             0.13131,            0.052778,              0.1391,            0.093654,            0.032957,           0.0093389,             0.12199,              0.2075,            0.046373,            0.070074,           0.0033251,           0.0033251
                   1,             0.11853,             0.15381,             0.04052,             0.46825,             0.14467,            0.075082,            0.026683,             0.11021,             0.22782,            0.041003,            0.040052,           0.0066365,           0.0066365
                   2,             0.11229,             0.16545,            0.037612,             0.27857,             0.17616,            0.091306,            0.036221,              0.1061,             0.23241,            0.039179,            0.010008,           0.0099258,           0.0099258
                   3,             0.10886,             0.16614,            0.035833,             0.46974,             0.19105,             0.12403,             0.05155,             0.10266,             0.24079,             0.03772,            0.009901,            0.009901,            0.009901
                   4,             0.10609,             0.16769,            0.034249,             0.49052,             0.19718,             0.14317,            0.062748,             0.10088,             0.23395,            0.036747,            0.009901,            0.009901,            0.009901
                   5,             0.10458,             0.16666,            0.033058,             0.40296,             0.19966,             0.15828,            0.068729,             0.10069,              0.2337,            0.036422,            0.009868,            0.009868,            0.009868
                   6,             0.10377,             0.16604,            0.032216,             0.41165,             0.21525,             0.17103,            0.078622,            0.098916,             0.23205,             0.03534,            0.009835,            0.009835,            0.009835
                   7,             0.10318,             0.16631,            0.031679,             0.41858,             0.20947,               0.177,            0.081338,            0.098794,             0.23165,            0.035028,            0.009802,            0.009802,            0.009802
                   8,             0.10219,             0.16644,            0.031256,              0.4055,             0.21937,             0.19043,             0.08765,            0.098005,             0.23253,            0.034489,            0.009769,            0.009769,            0.009769
                   9,             0.10175,             0.16593,            0.030906,             0.44614,             0.22207,              0.1978,            0.092354,              0.0975,             0.23294,            0.034394,            0.009736,            0.009736,            0.009736
                  10,             0.10185,             0.16518,            0.030585,              0.4235,             0.22378,              0.2034,            0.093743,            0.097448,             0.23214,            0.033781,            0.009703,            0.009703,            0.009703
                  11,             0.10086,             0.16598,            0.030131,             0.51523,             0.22643,             0.21186,            0.099838,            0.097055,             0.23248,            0.033969,             0.00967,             0.00967,             0.00967
