               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13828,             0.13757,            0.054086,            0.016323,            0.046073,            0.011885,           0.0030272,             0.12968,             0.19929,              0.0525,            0.070294,           0.0033007,           0.0033007
                   1,             0.12445,               0.156,            0.047059,             0.33526,             0.10168,            0.034186,            0.011237,             0.11662,             0.22836,            0.048516,            0.040272,           0.0066121,           0.0066121
                   2,             0.11657,             0.16844,            0.041047,             0.55176,             0.12955,            0.051584,            0.017789,             0.11256,             0.25015,            0.041119,            0.010228,           0.0099015,           0.0099015
                   3,             0.11176,             0.16973,            0.037988,             0.37516,             0.16028,            0.083914,            0.031491,             0.10785,             0.24197,            0.039357,            0.009901,            0.009901,            0.009901
                   4,             0.10911,             0.17229,             0.03635,             0.31481,             0.18123,             0.10082,             0.03868,             0.10689,             0.24021,            0.041033,            0.009901,            0.009901,            0.009901
                   5,             0.10747,             0.17037,            0.035344,              0.4343,             0.18308,            0.099269,             0.03543,             0.10698,             0.24327,             0.03826,            0.009868,            0.009868,            0.009868
                   6,             0.10611,                0.17,            0.034221,             0.46121,             0.18816,             0.11931,            0.048718,             0.10436,             0.23299,            0.037113,            0.009835,            0.009835,            0.009835
                   7,             0.10539,             0.16911,            0.033605,             0.47887,             0.18202,              0.1367,            0.056826,             0.10248,             0.23398,            0.036026,            0.009802,            0.009802,            0.009802
                   8,             0.10464,             0.16993,            0.033017,             0.39128,             0.18413,             0.15057,            0.066682,              0.1015,             0.22984,            0.035696,            0.009769,            0.009769,            0.009769
                   9,              0.1039,             0.16916,            0.032326,               0.391,             0.19544,             0.15411,            0.067513,             0.10107,             0.23312,            0.035309,            0.009736,            0.009736,            0.009736
                  10,             0.10354,             0.16739,            0.031924,             0.40048,             0.19889,             0.15939,            0.071939,              0.1007,             0.23318,            0.035069,            0.009703,            0.009703,            0.009703
                  11,             0.10309,             0.16885,            0.031355,             0.41281,             0.19353,             0.16474,            0.072391,             0.10079,             0.23195,            0.035051,             0.00967,             0.00967,             0.00967
                  12,             0.10267,             0.16797,            0.031245,             0.53719,             0.19874,             0.17729,            0.083829,             0.10016,             0.23052,            0.034961,            0.009637,            0.009637,            0.009637
                  13,             0.10234,             0.16713,            0.031072,             0.53463,             0.21049,             0.18906,            0.086171,            0.099655,             0.23025,            0.034045,            0.009604,            0.009604,            0.009604
                  14,             0.10175,             0.16811,            0.030479,             0.35657,             0.21865,             0.18752,            0.087006,            0.099059,             0.23048,             0.03415,            0.009571,            0.009571,            0.009571
                  15,             0.10153,             0.16728,            0.030312,             0.44383,             0.21248,              0.1936,            0.090091,            0.099152,             0.22869,            0.034374,            0.009538,            0.009538,            0.009538
